,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
181,1B,2B,Stolen Base 2B,276055,Adam Dunn,Mike Lieberthal,3,4,5,False,2002-09-21,Stolen,2B,2002
443,2B,3B,Stolen Base 3B,276055,Adam Dunn,Jason Kendall,5,3,5,False,2002-09-09,Stolen,3B,2002
555,1B,,Caught Stealing 2B,276055,Adam Dunn,Eli Marrero,1,3,3,True,2002-09-02,Caught,2B,2002
557,1B,2B,Stolen Base 2B,276055,Adam Dunn,Eli Marrero,3,5,9,True,2002-09-02,Stolen,2B,2002
688,1B,2B,Stolen Base 2B,276055,Adam Dunn,Mike Matheny,5,4,7,False,2002-08-27,Stolen,2B,2002
714,1B,2B,Stolen Base 2B,276055,Adam Dunn,Brad Ausmus,1,0,4,True,2002-08-25,Stolen,2B,2002
1008,1B,2B,Stolen Base 2B,276055,Adam Dunn,Tom Lampkin,5,2,5,False,2002-08-11,Stolen,2B,2002
1016,1B,2B,Stolen Base 2B,276055,Adam Dunn,Wil Nieves,7,0,6,False,2002-08-10,Stolen,2B,2002
1488,1B,,Caught Stealing 2B,276055,Adam Dunn,Jason Kendall,0,0,1,True,2002-07-18,Caught,2B,2002
1553,1B,2B,Stolen Base 2B,276055,Adam Dunn,Paul Bako,0,2,7,True,2002-07-15,Stolen,2B,2002
1554,2B,3B,Stolen Base 3B,276055,Adam Dunn,Paul Bako,0,2,7,True,2002-07-15,Stolen,3B,2002
1584,1B,2B,Stolen Base 2B,276055,Adam Dunn,Gregg Zaun,1,6,7,True,2002-07-14,Stolen,2B,2002
1587,1B,2B,Stolen Base 2B,276055,Adam Dunn,Gregg Zaun,3,6,9,True,2002-07-14,Stolen,2B,2002
1716,1B,,Caught Stealing 2B,276055,Adam Dunn,Robert Machado,1,0,4,False,2002-07-06,Caught,2B,2002
1738,1B,2B,Stolen Base 2B,276055,Adam Dunn,Paul Bako,7,6,7,False,2002-07-05,Stolen,2B,2002
2183,1B,2B,Stolen Base 2B,276055,Adam Dunn,Jason Kendall,2,3,8,False,2002-06-14,Stolen,2B,2002
2525,1B,2B,Stolen Base 2B,276055,Adam Dunn,Charles Johnson,0,2,1,True,2002-05-29,Stolen,2B,2002
2665,1B,2B,Stolen Base 2B,276055,Adam Dunn,Javy Lopez,11,2,8,True,2002-05-24,Stolen,2B,2002
2822,1B,,Caught Stealing 2B,276055,Adam Dunn,Mike DiFelice,2,3,6,True,2002-05-18,Caught,2B,2002
2961,1B,2B,Stolen Base 2B,276055,Adam Dunn,Raul Casanova,0,4,7,True,2002-05-13,Stolen,2B,2002
3080,1B,2B,Stolen Base 2B,276055,Adam Dunn,Paul Bako,5,5,5,False,2002-05-08,Stolen,2B,2002
3434,1B,2B,Stolen Base 2B,276055,Adam Dunn,Gary Bennett,1,0,1,False,2002-04-23,Stolen,2B,2002
3455,1B,2B,Stolen Base 2B,276055,Adam Dunn,Robert Machado,0,4,3,True,2002-04-21,Stolen,2B,2002
3650,3B,,Caught Stealing Home,276055,Adam Dunn,Mike Lieberthal,2,5,8,True,2002-04-13,Caught,Home,2002
1411,1B,2B,Stolen Base 2B,276055,Adam Dunn,Eddie Pérez,3,0,2,False,2003-07-21,Stolen,2B,2003
1848,2B,3B,Stolen Base 3B,276055,Adam Dunn,Mike Matheny,0,1,2,True,2003-06-26,Stolen,3B,2003
1998,1B,2B,Stolen Base 2B,276055,Adam Dunn,Damian Miller,3,1,8,False,2003-06-19,Stolen,2B,2003
2048,2B,3B,Stolen Base 3B,276055,Adam Dunn,Damian Miller,0,0,1,False,2003-06-16,Stolen,3B,2003
2305,1B,2B,Stolen Base 2B,276055,Adam Dunn,Jorge Posada,3,2,5,False,2003-06-04,Stolen,2B,2003
2532,1B,2B,Stolen Base 2B,276055,Adam Dunn,Ivan Rodriguez,3,8,9,False,2003-05-23,Stolen,2B,2003
2829,1B,,Caught Stealing 2B,276055,Adam Dunn,Eddie Pérez,3,4,4,False,2003-05-09,Caught,2B,2003
2833,1B,2B,Stolen Base 2B,276055,Adam Dunn,Eddie Pérez,5,5,9,False,2003-05-09,Stolen,2B,2003
3180,2B,3B,Stolen Base 3B,276055,Adam Dunn,Paul Lo Duca,1,0,6,False,2003-04-22,Stolen,3B,2003
3339,3B,,Caught Stealing Home,276055,Adam Dunn,Damian Miller,1,5,6,True,2003-04-14,Caught,Home,2003
11,1B,2B,Stolen Base 2B,276055,Adam Dunn,Michael Barrett,1,1,12,True,2004-09-30,Stolen,2B,2004
440,3B,score,Stolen Base Home,276055,Adam Dunn,Mark Johnson,6,2,5,False,2004-09-10,Stolen,Home,2004
1246,1B,,Caught Stealing 2B,276055,Adam Dunn,Brad Ausmus,0,1,4,False,2004-07-31,Caught,2B,2004
1522,1B,2B,Stolen Base 2B,276055,Adam Dunn,Mike Matheny,0,1,2,False,2004-07-18,Stolen,2B,2004
1638,1B,2B,Stolen Base 2B,276055,Adam Dunn,Chad Moeller,0,3,8,True,2004-07-09,Stolen,2B,2004
3099,2B,3B,Stolen Base 3B,276055,Adam Dunn,Jason Kendall,2,5,7,True,2004-04-26,Stolen,3B,2004
3408,1B,2B,Stolen Base 2B,276055,Adam Dunn,Jason Kendall,3,4,8,False,2004-04-11,Stolen,2B,2004
850,1B,2B,Stolen Base 2B,276055,Adam Dunn,Yamid Haad,2,0,1,False,2005-08-18,Stolen,2B,2005
2552,1B,,Caught Stealing 2B,276055,Adam Dunn,Victor Martinez,0,0,4,False,2005-05-20,Caught,2B,2005
2692,1B,2B,Stolen Base 2B,276055,Adam Dunn,Mike Lieberthal,5,7,8,True,2005-05-12,Stolen,2B,2005
2764,1B,2B,Stolen Base 2B,276055,Adam Dunn,Jason Phillips,0,0,2,False,2005-05-08,Stolen,2B,2005
3042,1B,,Caught Stealing 2B,276055,Adam Dunn,Michael Barrett,1,5,2,True,2005-04-26,Caught,2B,2005
3119,1B,2B,Stolen Base 2B,276055,Adam Dunn,Paul Lo Duca,0,1,1,True,2005-04-22,Stolen,2B,2005
781,1B,2B,Stolen Base 2B,276055,Adam Dunn,Ronny Paulino,2,2,8,True,2007-08-28,Stolen,2B,2007
1249,1B,2B,Stolen Base 2B,276055,Adam Dunn,Ronny Paulino,2,2,8,True,2007-08-05,Stolen,2B,2007
1919,1B,2B,Stolen Base 2B,276055,Adam Dunn,Bengie Molina,6,3,7,False,2007-07-05,Stolen,2B,2007
2338,1B,,Caught Stealing 2B,276055,Adam Dunn,Gerald Laird,7,3,7,False,2007-06-16,Caught,2B,2007
2967,1B,2B,Stolen Base 2B,276055,Adam Dunn,Josh Bard,0,2,1,True,2007-05-16,Stolen,2B,2007
3266,1B,2B,Stolen Base 2B,276055,Adam Dunn,Brad Ausmus,0,4,3,True,2007-05-01,Stolen,2B,2007
3343,1B,2B,Stolen Base 2B,276055,Adam Dunn,Ronny Paulino,0,1,5,True,2007-04-28,Stolen,2B,2007
3574,1B,2B,Stolen Base 2B,276055,Adam Dunn,Johnny Estrada,4,4,5,False,2007-04-17,Stolen,2B,2007
3656,1B,2B,Stolen Base 2B,276055,Adam Dunn,Michael Barrett,0,0,4,True,2007-04-14,Stolen,2B,2007
3782,1B,2B,Stolen Base 2B,276055,Adam Dunn,Humberto Cota,4,2,2,False,2007-04-07,Stolen,2B,2007
3784,1B,2B,Stolen Base 2B,276055,Adam Dunn,Humberto Cota,6,5,6,False,2007-04-07,Stolen,2B,2007
890,1B,2B,Stolen Base 2B,276055,Adam Dunn,Humberto Quintero,1,7,5,True,2008-08-16,Stolen,2B,2008
2289,1B,,Caught Stealing 2B,276055,Adam Dunn,Chris Coste,0,0,5,True,2008-06-04,Caught,2B,2008
3563,1B,2B,Stolen Base 2B,276055,Adam Dunn,Jason Kendall,0,0,2,True,2008-04-09,Stolen,2B,2008
2399,1B,,Caught Stealing 2B,276055,Adam Dunn,John Baker,3,2,6,False,2009-04-19,Caught,2B,2009
252,1B,,Caught Stealing 2B,276055,Adam Dunn,Brian Schneider,0,1,4,True,2010-09-19,Caught,2B,2010
3212,1B,,Caught Stealing 2B,276055,Adam Dunn,Carlos Santana,6,1,2,False,2011-05-19,Caught,2B,2011
1533,1B,2B,Stolen Base 2B,276055,Adam Dunn,Yorvit Torrealba,4,5,7,True,2012-07-27,Stolen,2B,2012
1777,1B,2B,Stolen Base 2B,276055,Adam Dunn,Jarrod Saltalamacchia,2,3,3,True,2012-07-17,Stolen,2B,2012
2405,1B,2B,Caught Stealing 3B,276055,Adam Dunn,A.J. Ellis,0,3,3,True,2012-06-16,Caught,3B,2012
3248,1B,,Caught Stealing 2B,276055,Adam Dunn,Humberto Quintero,1,0,5,False,2012-05-13,Caught,2B,2012
