,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
14,1B,2B,Stolen Base 2B,666969,Adolis García,Max Stassi,0,5,1,False,2021-09-30,Stolen,2B,2021
28,1B,2B,Stolen Base 2B,666969,Adolis García,Kurt Suzuki,2,2,5,False,2021-09-29,Stolen,2B,2021
47,1B,2B,Stolen Base 2B,666969,Adolis García,Max Stassi,5,2,7,False,2021-09-28,Stolen,2B,2021
108,3B,score,Stolen Base Home,666969,Adolis García,Pedro Severino,5,8,9,True,2021-09-24,Stolen,Home,2021
136,1B,2B,Stolen Base 2B,666969,Adolis García,Gary Sánchez,0,1,2,True,2021-09-22,Stolen,2B,2021
139,1B,,Caught Stealing 2B,666969,Adolis García,Gary Sánchez,3,3,8,True,2021-09-22,Caught,2B,2021
211,1B,2B,Stolen Base 2B,666969,Adolis García,Yasmani Grandal,2,1,7,False,2021-09-18,Stolen,2B,2021
315,1B,2B,Stolen Base 2B,666969,Adolis García,Sean Murphy,0,1,1,True,2021-09-10,Stolen,2B,2021
480,1B,2B,Stolen Base 2B,666969,Adolis García,Elias Díaz,1,1,3,False,2021-08-31,Stolen,2B,2021
1309,1B,,Caught Stealing 2B,666969,Adolis García,Jake Rogers,0,1,4,False,2021-07-06,Caught,2B,2021
1398,2B,3B,Stolen Base 3B,666969,Adolis García,Aramis Garcia,0,1,1,True,2021-07-01,Stolen,3B,2021
1837,1B,2B,Stolen Base 2B,666969,Adolis García,Dom Nuñez,4,3,8,True,2021-06-02,Stolen,2B,2021
1900,1B,2B,Stolen Base 2B,666969,Adolis García,José Godoy,0,0,2,True,2021-05-29,Stolen,2B,2021
2094,1B,2B,Stolen Base 2B,666969,Adolis García,Gary Sánchez,3,0,3,False,2021-05-18,Stolen,2B,2021
2107,3B,score,Stolen Base Home,666969,Adolis García,Kyle Higashioka,5,1,6,False,2021-05-17,Stolen,Home,2021
2229,1B,2B,Stolen Base 2B,666969,Adolis García,Tom Murphy,9,2,6,False,2021-05-09,Stolen,2B,2021
2236,1B,2B,Stolen Base 2B,666969,Adolis García,Luis Torrens,3,5,4,False,2021-05-08,Stolen,2B,2021
2403,1B,,Caught Stealing 2B,666969,Adolis García,Christian Vázquez,0,0,2,False,2021-04-29,Caught,2B,2021
2446,1B,2B,Stolen Base 2B,666969,Adolis García,Kurt Suzuki,4,8,6,False,2021-04-26,Stolen,2B,2021
2544,1B,,Caught Stealing 2B,666969,Adolis García,Kurt Suzuki,0,0,2,True,2021-04-20,Caught,2B,2021
122,1B,2B,Stolen Base 2B,666969,Adolis García,Luke Maile,0,0,2,False,2022-09-23,Stolen,2B,2022
170,2B,,Caught Stealing 3B,666969,Adolis García,Matt Thaiss,3,2,3,False,2022-09-21,Caught,3B,2022
303,1B,2B,Stolen Base 2B,666969,Adolis García,Sean Murphy,7,7,7,False,2022-09-13,Stolen,2B,2022
453,1B,2B,Stolen Base 2B,666969,Adolis García,Martín Maldonado,3,4,7,True,2022-09-06,Stolen,2B,2022
582,1B,2B,Stolen Base 2B,666969,Adolis García,Christian Vázquez,2,3,6,False,2022-08-30,Stolen,2B,2022
650,1B,2B,Stolen Base 2B,666969,Adolis García,Eric Haase,4,2,3,False,2022-08-26,Stolen,2B,2022
687,2B,3B,Stolen Base 3B,666969,Adolis García,Elias Díaz,3,3,4,True,2022-08-23,Stolen,3B,2022
723,1B,2B,Stolen Base 2B,666969,Adolis García,Sandy León,0,1,7,True,2022-08-21,Stolen,2B,2022
788,2B,3B,Stolen Base 3B,666969,Adolis García,Shea Langeliers,4,2,4,False,2022-08-18,Stolen,3B,2022
860,1B,2B,Stolen Base 2B,666969,Adolis García,Curt Casali,5,3,7,False,2022-08-14,Stolen,2B,2022
946,1B,2B,Stolen Base 2B,666969,Adolis García,Christian Vázquez,2,2,6,True,2022-08-10,Stolen,2B,2022
1176,1B,2B,Stolen Base 2B,666969,Adolis García,Cal Raleigh,1,1,5,True,2022-07-27,Stolen,2B,2022
1211,1B,,Caught Stealing 2B,666969,Adolis García,Cal Raleigh,4,2,8,True,2022-07-25,Caught,2B,2022
1240,1B,2B,Stolen Base 2B,666969,Adolis García,Stephen Vogt,0,4,3,True,2022-07-24,Stolen,2B,2022
1394,1B,2B,Stolen Base 2B,666969,Adolis García,Sean Murphy,2,1,4,False,2022-07-12,Stolen,2B,2022
1575,1B,2B,Stolen Base 2B,666969,Adolis García,Adley Rutschman,5,5,7,True,2022-07-04,Stolen,2B,2022
1833,1B,2B,Stolen Base 2B,666969,Adolis García,Tucker Barnhart,3,1,4,True,2022-06-19,Stolen,2B,2022
1898,1B,2B,Stolen Base 2B,666969,Adolis García,Martín Maldonado,1,6,1,False,2022-06-15,Stolen,2B,2022
1956,1B,2B,Stolen Base 2B,666969,Adolis García,Seby Zavala,6,6,12,True,2022-06-12,Stolen,2B,2022
2008,1B,2B,Stolen Base 2B,666969,Adolis García,Reese McGuire,3,3,8,True,2022-06-10,Stolen,2B,2022
2072,1B,2B,Stolen Base 2B,666969,Adolis García,Austin Hedges,1,1,3,True,2022-06-07,Stolen,2B,2022
2176,1B,2B,Stolen Base 2B,666969,Adolis García,Francisco Mejía,2,2,8,False,2022-06-01,Stolen,2B,2022
2197,1B,2B,Stolen Base 2B,666969,Adolis García,Mike Zunino,3,0,8,False,2022-05-31,Stolen,2B,2022
2368,2B,,Caught Stealing 3B,666969,Adolis García,Jason Castro,2,1,8,True,2022-05-21,Caught,3B,2022
2741,1B,2B,Stolen Base 2B,666969,Adolis García,William Contreras,3,0,2,False,2022-05-01,Stolen,2B,2022
2814,1B,2B,Stolen Base 2B,666969,Adolis García,Jason Castro,1,1,2,False,2022-04-27,Stolen,2B,2022
2946,1B,2B,Stolen Base 2B,666969,Adolis García,Tom Murphy,0,0,1,True,2022-04-19,Stolen,2B,2022
3106,1B,,Caught Stealing 2B,666969,Adolis García,Elias Díaz,3,3,8,False,2022-04-11,Caught,2B,2022
3120,1B,2B,Stolen Base 2B,666969,Adolis García,Danny Jansen,6,7,5,True,2022-04-10,Stolen,2B,2022
3242,1B,2B,Stolen Base 2B,666969,Adolis García,Curt Casali,0,1,1,True,2022-04-01,Stolen,2B,2022
180,1B,2B,Stolen Base 2B,666969,Adolis García,Cal Raleigh,2,0,4,False,2023-09-23,Stolen,2B,2023
181,1B,,Caught Stealing 2B,666969,Adolis García,Cal Raleigh,2,0,8,False,2023-09-23,Caught,2B,2023
1077,1B,2B,Stolen Base 2B,666969,Adolis García,William Contreras,4,3,6,False,2023-08-18,Stolen,2B,2023
1487,1B,2B,Stolen Base 2B,666969,Adolis García,Gary Sánchez,0,0,3,True,2023-07-30,Stolen,2B,2023
2529,1B,2B,Stolen Base 2B,666969,Adolis García,Chad Wallach,5,5,7,False,2023-06-12,Stolen,2B,2023
2622,1B,2B,Stolen Base 2B,666969,Adolis García,Christian Bethancourt,4,1,4,True,2023-06-09,Stolen,2B,2023
2856,1B,2B,Stolen Base 2B,666969,Adolis García,Jake Rogers,4,5,5,True,2023-05-30,Stolen,2B,2023
3302,1B,2B,Stolen Base 2B,666969,Adolis García,Cal Raleigh,2,4,7,True,2023-05-10,Stolen,2B,2023
3357,1B,2B,Stolen Base 2B,666969,Adolis García,Matt Thaiss,7,11,6,True,2023-05-07,Stolen,2B,2023
3999,1B,2B,Stolen Base 2B,666969,Adolis García,MJ Melendez,5,5,10,False,2023-04-11,Stolen,2B,2023
