,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
17,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Wil Nieves,2,1,6,False,2009-08-02,Caught,2B,2009
343,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Bengie Molina,0,0,1,False,2009-07-19,Stolen,2B,2009
370,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Eli Whiteside,1,0,6,False,2009-07-18,Stolen,2B,2009
456,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Paul Bako,3,5,7,True,2009-07-11,Stolen,2B,2009
602,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,John Baker,2,0,3,True,2009-07-05,Stolen,2B,2009
646,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,John Baker,0,3,3,True,2009-07-03,Stolen,2B,2009
815,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Miguel Olivo,3,2,5,False,2009-06-26,Stolen,2B,2009
870,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Victor Martinez,4,5,9,False,2009-06-23,Stolen,2B,2009
1063,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Gerald Laird,3,1,4,False,2009-06-14,Stolen,2B,2009
1292,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Omir Santos,11,5,7,False,2009-06-04,Stolen,2B,2009
82,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Matt Pagnozzi,6,4,9,True,2010-09-27,Stolen,2B,2010
165,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Humberto Quintero,3,4,5,False,2010-09-24,Stolen,2B,2010
269,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Miguel Montero,0,0,1,False,2010-09-18,Caught,2B,2010
419,2B,3B,Stolen Base 3B,457705,Andrew McCutchen,Ramon Hernandez,3,4,8,True,2010-09-11,Stolen,3B,2010
452,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Ryan Hanigan,3,1,6,True,2010-09-10,Caught,2B,2010
453,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Ryan Hanigan,3,2,9,True,2010-09-10,Stolen,2B,2010
523,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Brian McCann,1,0,1,False,2010-09-06,Stolen,2B,2010
649,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Koyie Hill,0,5,2,True,2010-08-31,Stolen,2B,2010
670,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Koyie Hill,2,0,3,True,2010-08-30,Stolen,2B,2010
892,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Josh Thole,2,7,5,False,2010-08-20,Stolen,2B,2010
971,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Brett Hayes,2,1,6,False,2010-08-16,Stolen,2B,2010
1014,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Jason Castro,1,2,7,True,2010-08-14,Stolen,2B,2010
1042,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Humberto Quintero,0,0,3,True,2010-08-13,Stolen,2B,2010
1072,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Yorvit Torrealba,0,0,1,True,2010-08-11,Caught,2B,2010
1149,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Chris Iannetta,1,8,3,False,2010-08-08,Stolen,2B,2010
1349,2B,,Caught Stealing 3B,457705,Andrew McCutchen,Miguel Olivo,2,5,7,True,2010-07-28,Caught,3B,2010
1648,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Jason Castro,9,6,8,False,2010-07-17,Stolen,2B,2010
1884,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Dane Sardinha,2,0,5,False,2010-07-02,Stolen,2B,2010
2038,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Kurt Suzuki,2,2,3,True,2010-06-25,Stolen,2B,2010
2188,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Mike Redmond,5,4,6,False,2010-06-19,Stolen,2B,2010
2272,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Ramon Castro,3,4,5,False,2010-06-15,Stolen,2B,2010
2273,2B,3B,Stolen Base 3B,457705,Andrew McCutchen,Ramon Castro,3,4,5,False,2010-06-15,Stolen,3B,2010
2274,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Ramon Castro,4,5,7,False,2010-06-15,Stolen,2B,2010
2369,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Ivan Rodriguez,0,0,4,True,2010-06-10,Caught,2B,2010
2398,2B,3B,Stolen Base 3B,457705,Andrew McCutchen,Wil Nieves,2,1,3,True,2010-06-09,Stolen,3B,2010
2601,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Koyie Hill,1,2,5,False,2010-06-01,Stolen,2B,2010
2998,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Geovany Soto,4,4,3,True,2010-05-14,Stolen,2B,2010
2999,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Geovany Soto,6,6,6,True,2010-05-14,Stolen,2B,2010
3122,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Yadier Molina,1,0,7,False,2010-05-08,Caught,2B,2010
3428,1B,,Caught Stealing 2B,457705,Andrew McCutchen,J.R. Towles,2,1,3,True,2010-04-25,Caught,2B,2010
3433,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,J.R. Towles,8,1,5,True,2010-04-25,Stolen,2B,2010
3528,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Gregg Zaun,0,1,1,False,2010-04-21,Stolen,2B,2010
3529,2B,3B,Stolen Base 3B,457705,Andrew McCutchen,Gregg Zaun,0,1,1,False,2010-04-21,Stolen,3B,2010
3597,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Ryan Hanigan,5,1,5,False,2010-04-18,Stolen,2B,2010
3627,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Ramon Hernandez,3,4,7,False,2010-04-17,Caught,2B,2010
3669,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Ryan Hanigan,4,3,9,False,2010-04-16,Stolen,2B,2010
3721,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Bengie Molina,0,0,1,True,2010-04-13,Stolen,2B,2010
3722,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Bengie Molina,0,2,3,True,2010-04-13,Stolen,2B,2010
3728,2B,3B,Stolen Base 3B,457705,Andrew McCutchen,Bengie Molina,0,0,1,True,2010-04-12,Stolen,3B,2010
3786,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Chris Snyder,0,5,7,True,2010-04-10,Stolen,2B,2010
3890,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Russell Martin,3,2,5,False,2010-04-05,Stolen,2B,2010
3919,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Carlos Ruiz,0,0,1,True,2010-04-03,Caught,2B,2010
143,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Devin Mesoraco,0,1,1,False,2011-09-24,Stolen,2B,2011
264,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Miguel Montero,0,0,4,True,2011-09-19,Stolen,2B,2011
285,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Tim Federowicz,0,0,1,True,2011-09-18,Stolen,2B,2011
371,1B,,Caught Stealing 2B,457705,Andrew McCutchen,Tim Federowicz,1,4,5,True,2011-09-15,Caught,2B,2011
