,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
406,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Erik Kratz,3,4,7,False,2012-09-13,Stolen,2B,2012
4168,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Landon Powell,0,1,2,False,2012-04-02,Stolen,2B,2012
4169,3B,,Caught Stealing Home,488681,Brandon Barnes,Landon Powell,0,1,2,False,2012-04-02,Caught,Home,2012
472,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Kurt Suzuki,2,1,8,True,2013-09-07,Stolen,2B,2013
473,2B,,Caught Stealing 3B,488681,Brandon Barnes,Kurt Suzuki,2,1,8,True,2013-09-07,Caught,3B,2013
538,1B,,Caught Stealing 2B,488681,Brandon Barnes,Josmil Pinto,5,3,5,False,2013-09-04,Caught,2B,2013
548,3B,,Caught Stealing Home,488681,Brandon Barnes,Josmil Pinto,3,4,7,False,2013-09-03,Caught,Home,2013
580,1B,,Caught Stealing 2B,488681,Brandon Barnes,Chris Herrmann,6,5,5,False,2013-09-02,Caught,2B,2013
636,3B,score,Caught Stealing 2B,488681,Brandon Barnes,Humberto Quintero,1,3,4,False,2013-08-31,Caught,2B,2013
1046,2B,3B,Stolen Base 3B,488681,Brandon Barnes,A.J. Pierzynski,3,3,7,False,2013-08-10,Stolen,3B,2013
1137,1B,2B,Caught Stealing 3B,488681,Brandon Barnes,Ryan Lavarnway,7,3,4,False,2013-08-06,Caught,3B,2013
1222,1B,,Caught Stealing 2B,488681,Brandon Barnes,Joe Mauer,1,2,7,True,2013-08-02,Caught,2B,2013
1668,1B,,Caught Stealing 2B,488681,Brandon Barnes,A.J. Pierzynski,3,2,2,True,2013-07-07,Caught,2B,2013
1758,2B,3B,Stolen Base 3B,488681,Brandon Barnes,Jose Lobaton,2,1,5,False,2013-07-04,Stolen,3B,2013
1760,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Jose Lobaton,5,5,9,False,2013-07-04,Stolen,2B,2013
1829,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Hank Conger,0,1,6,False,2013-06-30,Stolen,2B,2013
2092,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Hector Gimenez,2,0,3,False,2013-06-17,Stolen,2B,2013
2094,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Hector Gimenez,2,0,5,False,2013-06-17,Stolen,2B,2013
2132,2B,,Caught Stealing 3B,488681,Brandon Barnes,Tyler Flowers,4,1,5,False,2013-06-15,Caught,3B,2013
2316,1B,,Caught Stealing 2B,488681,Brandon Barnes,Matt Wieters,5,1,2,False,2013-06-05,Caught,2B,2013
2676,1B,,Caught Stealing 2B,488681,Brandon Barnes,Michael McKenry,0,0,3,True,2013-05-19,Caught,2B,2013
2864,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Chris Iannetta,3,2,5,False,2013-05-09,Stolen,2B,2013
3067,2B,3B,Stolen Base 3B,488681,Brandon Barnes,Austin Romine,0,5,4,True,2013-04-29,Stolen,3B,2013
3167,1B,,Caught Stealing 2B,488681,Brandon Barnes,Kelly Shoppach,1,0,3,False,2013-04-24,Caught,2B,2013
3168,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Kelly Shoppach,7,1,6,False,2013-04-24,Stolen,2B,2013
3329,1B,2B,Stolen Base 2B,488681,Brandon Barnes,John Jaso,7,2,7,True,2013-04-17,Stolen,2B,2013
131,1B,,Caught Stealing 2B,488681,Brandon Barnes,René Rivera,2,3,9,True,2014-09-23,Caught,2B,2014
206,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Miguel Montero,5,1,6,False,2014-09-20,Stolen,2B,2014
1806,1B,,Caught Stealing 2B,488681,Brandon Barnes,Wilson Ramos,1,0,5,True,2014-06-30,Caught,2B,2014
2518,2B,3B,Stolen Base 3B,488681,Brandon Barnes,Carlos Ruiz,2,6,8,True,2014-05-27,Stolen,3B,2014
3108,1B,,Caught Stealing 2B,488681,Brandon Barnes,Tim Federowicz,1,3,5,True,2014-04-27,Caught,2B,2014
3219,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Buster Posey,0,0,1,False,2014-04-22,Stolen,2B,2014
3260,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Wil Nieves,5,3,5,False,2014-04-20,Stolen,2B,2014
3473,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Héctor Sánchez,0,1,3,True,2014-04-12,Stolen,2B,2014
147,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Francisco Cervelli,1,4,3,False,2015-09-22,Stolen,2B,2015
569,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Welington Castillo,0,0,2,False,2015-08-31,Stolen,2B,2015
873,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Derek Norris,5,8,8,False,2015-08-14,Stolen,2B,2015
1367,1B,,Caught Stealing 2B,488681,Brandon Barnes,Austin Hedges,0,0,3,True,2015-07-18,Caught,2B,2015
1453,1B,,Caught Stealing 2B,488681,Brandon Barnes,A.J. Pierzynski,3,0,4,False,2015-07-10,Caught,2B,2015
1930,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Hank Conger,8,5,6,True,2015-06-16,Stolen,2B,2015
911,1B,2B,Stolen Base 2B,488681,Brandon Barnes,Chris Herrmann,1,2,6,False,2016-06-24,Stolen,2B,2016
2422,1B,,Caught Stealing 2B,488681,Brandon Barnes,Chris Herrmann,2,3,5,True,2016-04-06,Caught,2B,2016
