,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
248,1B,,Caught Stealing 2B,461235,Brandon Moss,A.J. Ellis,1,0,2,False,2008-09-17,Caught,2B,2008
1588,1B,2B,Stolen Base 2B,461235,Brandon Moss,Joe Mauer,6,5,8,False,2008-07-08,Stolen,2B,2008
1754,1B,,Caught Stealing 2B,461235,Brandon Moss,Dioner Navarro,3,1,5,True,2008-06-30,Caught,2B,2008
133,1B,,Caught Stealing 2B,461235,Brandon Moss,Bengie Molina,4,0,5,True,2009-07-27,Caught,2B,2009
402,1B,,Caught Stealing 2B,461235,Brandon Moss,Bengie Molina,1,0,2,False,2009-07-17,Caught,2B,2009
647,1B,,Caught Stealing 2B,461235,Brandon Moss,John Baker,0,4,3,True,2009-07-03,Caught,2B,2009
9,1B,2B,Stolen Base 2B,461235,Brandon Moss,Jesus Montero,5,2,8,False,2012-09-30,Stolen,2B,2012
1002,1B,,Caught Stealing 2B,461235,Brandon Moss,Carlos Santana,4,0,4,False,2012-08-18,Caught,2B,2012
377,1B,,Caught Stealing 2B,461235,Brandon Moss,Eric Fryer,0,3,3,True,2013-09-11,Caught,2B,2013
675,1B,2B,Stolen Base 2B,461235,Brandon Moss,Brayan Peña,0,2,1,True,2013-08-29,Stolen,2B,2013
1303,1B,2B,Stolen Base 2B,461235,Brandon Moss,Hank Conger,5,5,5,False,2013-07-28,Stolen,2B,2013
1738,1B,2B,Stolen Base 2B,461235,Brandon Moss,Salvador Perez,0,3,9,True,2013-07-05,Stolen,2B,2013
3054,1B,2B,Stolen Base 2B,461235,Brandon Moss,Chris Iannetta,0,2,2,False,2013-04-29,Stolen,2B,2013
3113,1B,2B,Stolen Base 2B,461235,Brandon Moss,Carlos Corporán,5,1,9,True,2014-04-27,Stolen,2B,2014
184,1B,,Caught Stealing 2B,461235,Brandon Moss,David Ross,0,3,2,True,2015-09-20,Caught,2B,2015
1319,1B,2B,Stolen Base 2B,461235,Brandon Moss,Kevan Smith,0,1,3,False,2017-07-22,Stolen,2B,2017
3095,1B,2B,Stolen Base 2B,461235,Brandon Moss,Nick Hundley,0,0,2,False,2017-04-18,Stolen,2B,2017
