,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
17,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Carlos Hernandez,0,0,1,True,2000-09-30,Stolen,2B,2000
20,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Carlos Hernandez,0,2,3,True,2000-09-30,Stolen,2B,2000
281,2B,3B,Stolen Base 3B,116326,Brian L. Hunter,Bobby Estalella,0,2,5,True,2000-09-18,Stolen,3B,2000
819,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Ramon Castro,6,6,9,True,2000-08-27,Stolen,2B,2000
851,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Ramon Castro,1,3,7,True,2000-08-26,Stolen,2B,2000
1420,2B,3B,Stolen Base 3B,116326,Brian L. Hunter,Jeff Reed,0,1,1,True,2000-08-01,Stolen,3B,2000
1546,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Paul Lo Duca,10,4,5,False,2000-07-26,Stolen,2B,2000
2157,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Kelly Stinnett,0,0,4,True,2000-06-24,Stolen,2B,2000
2161,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Kelly Stinnett,0,4,5,True,2000-06-24,Stolen,2B,2000
2527,2B,3B,Stolen Base 3B,116326,Brian L. Hunter,Tom Lampkin,1,3,7,True,2000-06-07,Stolen,3B,2000
2572,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Dan Wilson,1,1,3,True,2000-06-05,Stolen,2B,2000
3127,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Doug Mirabelli,1,2,1,False,2000-05-13,Stolen,2B,2000
3281,2B,3B,Stolen Base 3B,116326,Brian L. Hunter,Doug Mirabelli,0,0,3,True,2000-05-06,Stolen,3B,2000
3477,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Mike Piazza,0,0,3,False,2000-04-28,Stolen,2B,2000
3478,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Mike Piazza,7,2,6,False,2000-04-28,Stolen,2B,2000
3670,2B,,Caught Stealing 3B,116326,Brian L. Hunter,Damian Miller,8,7,9,True,2000-04-19,Caught,3B,2000
3726,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Kelly Stinnett,0,5,6,True,2000-04-17,Stolen,2B,2000
3740,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Eli Marrero,14,9,8,False,2000-04-16,Stolen,2B,2000
3786,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Eli Marrero,0,0,1,False,2000-04-14,Stolen,2B,2000
3866,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Eddie Taubensee,0,5,3,False,2000-04-11,Stolen,2B,2000
3867,2B,3B,Stolen Base 3B,116326,Brian L. Hunter,Eddie Taubensee,2,5,3,False,2000-04-11,Stolen,3B,2000
460,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Henry Blanco,0,0,2,False,2001-05-17,Stolen,2B,2001
551,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Damian Miller,0,0,2,True,2001-05-13,Stolen,2B,2001
871,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Brent Mayne,2,3,7,False,2001-05-02,Stolen,2B,2001
894,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Ben Petrick,2,0,6,False,2001-05-01,Stolen,2B,2001
1491,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Charles Johnson,3,4,7,True,2001-04-03,Stolen,2B,2001
2350,2B,3B,Stolen Base 3B,116326,Brian L. Hunter,Damian Miller,1,3,3,True,2002-06-05,Stolen,3B,2002
2354,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Damian Miller,3,3,8,True,2002-06-05,Stolen,2B,2002
2373,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Damian Miller,4,6,8,True,2002-06-04,Stolen,2B,2002
2705,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Mike Matheny,1,2,8,True,2002-05-22,Stolen,2B,2002
3297,1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Henry Blanco,0,7,8,True,2002-04-28,Stolen,2B,2002
