,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1528,1B,2B,Stolen Base 2B,571788,Brock Holt,John Jaso,0,2,7,True,2013-07-14,Stolen,2B,2013
537,1B,2B,Stolen Base 2B,571788,Brock Holt,Dioner Navarro,1,2,1,False,2014-09-05,Stolen,2B,2014
645,1B,2B,Stolen Base 2B,571788,Brock Holt,José Molina,0,2,5,True,2014-08-31,Stolen,2B,2014
769,1B,2B,Stolen Base 2B,571788,Brock Holt,Dioner Navarro,3,3,10,True,2014-08-25,Stolen,2B,2014
770,2B,3B,Stolen Base 3B,571788,Brock Holt,Dioner Navarro,3,4,10,True,2014-08-25,Stolen,3B,2014
786,1B,2B,Stolen Base 2B,571788,Brock Holt,Mike Zunino,6,8,9,False,2014-08-24,Stolen,2B,2014
848,1B,2B,Stolen Base 2B,571788,Brock Holt,Chris Iannetta,0,1,1,False,2014-08-21,Stolen,2B,2014
1572,2B,,Caught Stealing 3B,571788,Brock Holt,Jason Castro,0,0,1,True,2014-07-11,Caught,3B,2014
1685,1B,2B,Stolen Base 2B,571788,Brock Holt,Caleb Joseph,4,6,7,False,2014-07-06,Stolen,2B,2014
2096,2B,3B,Stolen Base 3B,571788,Brock Holt,Kurt Suzuki,2,0,3,False,2014-06-17,Stolen,3B,2014
2166,1B,2B,Stolen Base 2B,571788,Brock Holt,Yan Gomes,1,1,5,False,2014-06-14,Stolen,2B,2014
2248,1B,,Caught Stealing 2B,571788,Brock Holt,Caleb Joseph,0,0,1,True,2014-06-09,Caught,2B,2014
2408,1B,2B,Stolen Base 2B,571788,Brock Holt,José Molina,3,0,7,False,2014-06-01,Stolen,2B,2014
2678,1B,2B,Stolen Base 2B,571788,Brock Holt,Alex Avila,2,5,6,False,2014-05-18,Stolen,2B,2014
3259,1B,2B,Stolen Base 2B,571788,Brock Holt,Matt Wieters,0,3,3,False,2014-04-20,Stolen,2B,2014
474,2B,3B,Stolen Base 3B,571788,Brock Holt,Carlos Ruiz,8,2,6,False,2015-09-05,Stolen,3B,2015
682,1B,2B,Stolen Base 2B,571788,Brock Holt,Tyler Flowers,2,5,8,True,2015-08-24,Stolen,2B,2015
835,1B,2B,Stolen Base 2B,571788,Brock Holt,Mike Zunino,5,8,7,False,2015-08-16,Stolen,2B,2015
1408,1B,2B,Stolen Base 2B,571788,Brock Holt,Yadier Molina,2,4,7,True,2015-07-14,Stolen,2B,2015
1605,2B,3B,Stolen Base 3B,571788,Brock Holt,Russell Martin,4,8,4,True,2015-07-02,Stolen,3B,2015
1859,2B,3B,Stolen Base 3B,571788,Brock Holt,Drew Butera,1,7,7,True,2015-06-19,Stolen,3B,2015
1919,1B,,Caught Stealing 2B,571788,Brock Holt,Ryan Lavarnway,2,2,5,False,2015-06-16,Caught,2B,2015
2151,1B,2B,Stolen Base 2B,571788,Brock Holt,Josh Phegley,4,1,5,False,2015-06-05,Stolen,2B,2015
2199,1B,2B,Stolen Base 2B,571788,Brock Holt,Kurt Suzuki,5,1,5,False,2015-06-03,Stolen,2B,2015
2221,1B,2B,Stolen Base 2B,571788,Brock Holt,Kurt Suzuki,5,1,5,False,2015-06-01,Stolen,2B,2015
3172,1B,2B,Stolen Base 2B,571788,Brock Holt,Caleb Joseph,1,2,7,False,2015-04-18,Stolen,2B,2015
3502,1B,2B,Stolen Base 2B,571788,Brock Holt,Jack Murphy,1,4,4,False,2015-04-01,Stolen,2B,2015
171,1B,,Caught Stealing 2B,571788,Brock Holt,Mike Zunino,2,3,11,True,2016-08-04,Caught,2B,2016
416,1B,,Caught Stealing 2B,571788,Brock Holt,Juan Centeno,8,3,6,False,2016-07-24,Caught,2B,2016
671,1B,2B,Stolen Base 2B,571788,Brock Holt,Hank Conger,4,2,4,False,2016-07-08,Stolen,2B,2016
2136,1B,2B,Stolen Base 2B,571788,Brock Holt,Curt Casali,5,1,1,False,2016-04-21,Stolen,2B,2016
2153,1B,2B,Stolen Base 2B,571788,Brock Holt,Hank Conger,6,0,5,False,2016-04-20,Stolen,2B,2016
382,1B,2B,Stolen Base 2B,571788,Brock Holt,Wilson Ramos,1,0,2,False,2017-09-10,Stolen,2B,2017
805,1B,,Caught Stealing 2B,571788,Brock Holt,Gary Sánchez,3,4,9,False,2017-08-19,Caught,2B,2017
1370,1B,2B,Stolen Base 2B,571788,Brock Holt,Miguel Montero,2,0,2,False,2017-07-19,Stolen,2B,2017
370,1B,2B,Stolen Base 2B,571788,Brock Holt,Danny Jansen,1,0,5,False,2018-09-12,Stolen,2B,2018
