,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
107,1B,2B,Stolen Base 2B,232694,Casey Blake,Rob Bowen,2,2,8,True,2003-09-24,Stolen,2B,2003
260,1B,,Caught Stealing 2B,232694,Casey Blake,Brent Mayne,4,6,3,False,2003-09-16,Caught,2B,2003
707,1B,2B,Stolen Base 2B,232694,Casey Blake,Toby Hall,5,6,7,True,2003-08-23,Stolen,2B,2003
795,1B,,Caught Stealing 2B,232694,Casey Blake,A.J. Pierzynski,0,0,1,False,2003-08-19,Caught,2B,2003
836,1B,2B,Stolen Base 2B,232694,Casey Blake,Toby Hall,0,0,1,False,2003-08-17,Stolen,2B,2003
1269,2B,,Caught Stealing 3B,232694,Casey Blake,A.J. Pierzynski,0,0,1,False,2003-07-27,Caught,3B,2003
1400,1B,2B,Stolen Base 2B,232694,Casey Blake,Sandy Alomar Jr.,4,3,5,True,2003-07-21,Stolen,2B,2003
1629,1B,,Caught Stealing 2B,232694,Casey Blake,John Flaherty,2,0,6,False,2003-07-08,Caught,2B,2003
1768,2B,,Caught Stealing 3B,232694,Casey Blake,Mike DiFelice,5,8,5,True,2003-06-30,Caught,3B,2003
2077,1B,2B,Stolen Base 2B,232694,Casey Blake,Paul Lo Duca,0,1,2,False,2003-06-15,Stolen,2B,2003
2122,1B,,Caught Stealing 2B,232694,Casey Blake,Paul Lo Duca,3,3,9,False,2003-06-13,Caught,2B,2003
2190,1B,,Caught Stealing 2B,232694,Casey Blake,Gary Bennett,7,5,5,False,2003-06-10,Caught,2B,2003
2548,1B,2B,Stolen Base 2B,232694,Casey Blake,Brandon Inge,2,2,10,False,2003-05-22,Stolen,2B,2003
2612,1B,2B,Stolen Base 2B,232694,Casey Blake,Brandon Inge,0,1,2,False,2003-05-19,Stolen,2B,2003
3438,1B,,Caught Stealing 2B,232694,Casey Blake,Josh Paul,4,1,4,False,2003-04-09,Caught,2B,2003
3467,2B,,Caught Stealing 3B,232694,Casey Blake,Mike DiFelice,5,8,5,True,2003-04-06,Caught,3B,2003
735,1B,2B,Caught Stealing 3B,232694,Casey Blake,Jorge Posada,2,1,4,False,2004-08-25,Caught,3B,2004
1407,1B,,Caught Stealing 2B,232694,Casey Blake,John Buck,1,1,4,False,2004-07-23,Caught,2B,2004
1784,1B,2B,Stolen Base 2B,232694,Casey Blake,Ivan Rodriguez,5,6,6,True,2004-07-01,Stolen,2B,2004
1786,1B,2B,Stolen Base 2B,232694,Casey Blake,Ivan Rodriguez,5,6,8,True,2004-07-01,Stolen,2B,2004
1874,1B,2B,Stolen Base 2B,232694,Casey Blake,Todd Greene,3,3,8,False,2004-06-26,Stolen,2B,2004
2309,1B,,Caught Stealing 2B,232694,Casey Blake,José Molina,2,1,2,True,2004-06-04,Caught,2B,2004
2375,1B,,Caught Stealing 2B,232694,Casey Blake,Ken Huckaby,3,3,8,False,2004-06-02,Caught,2B,2004
2480,1B,,Caught Stealing 2B,232694,Casey Blake,Adam Melhuse,0,0,5,False,2004-05-28,Caught,2B,2004
2488,1B,,Caught Stealing 2B,232694,Casey Blake,Dan Wilson,6,1,3,False,2004-05-27,Caught,2B,2004
2570,1B,,Caught Stealing 2B,232694,Casey Blake,Toby Hall,4,4,8,True,2004-05-23,Caught,2B,2004
2830,1B,2B,Stolen Base 2B,232694,Casey Blake,Javy Lopez,1,0,2,True,2004-05-09,Stolen,2B,2004
3439,1B,2B,Stolen Base 2B,232694,Casey Blake,Benito Santiago,0,0,7,True,2004-04-09,Stolen,2B,2004
889,1B,2B,Stolen Base 2B,232694,Casey Blake,Rod Barajas,6,2,7,False,2005-08-16,Stolen,2B,2005
2356,1B,2B,Stolen Base 2B,232694,Casey Blake,Adam Melhuse,5,1,7,False,2005-05-29,Stolen,2B,2005
2357,2B,,Caught Stealing 3B,232694,Casey Blake,Adam Melhuse,5,1,7,False,2005-05-29,Caught,3B,2005
3110,1B,,Caught Stealing 2B,232694,Casey Blake,Miguel Olivo,1,5,3,True,2005-04-22,Caught,2B,2005
3154,1B,,Caught Stealing 2B,232694,Casey Blake,José Molina,1,0,7,True,2005-04-20,Caught,2B,2005
3375,1B,,Caught Stealing 2B,232694,Casey Blake,Ivan Rodriguez,5,7,8,True,2005-04-10,Caught,2B,2005
3425,1B,2B,Stolen Base 2B,232694,Casey Blake,Ivan Rodriguez,2,4,8,True,2005-04-08,Stolen,2B,2005
3455,1B,2B,Stolen Base 2B,232694,Casey Blake,A.J. Pierzynski,0,2,6,True,2005-04-06,Stolen,2B,2005
31,1B,,Caught Stealing 2B,232694,Casey Blake,Paul Phillips,3,2,5,True,2007-09-29,Caught,2B,2007
261,1B,2B,Stolen Base 2B,232694,Casey Blake,Mike Rabelo,2,2,5,False,2007-09-19,Stolen,2B,2007
444,1B,2B,Caught Stealing 3B,232694,Casey Blake,A.J. Pierzynski,0,0,2,True,2007-09-12,Caught,3B,2007
1205,1B,2B,Stolen Base 2B,232694,Casey Blake,Toby Hall,4,4,13,True,2007-08-08,Stolen,2B,2007
1608,1B,,Caught Stealing 2B,232694,Casey Blake,Gerald Laird,0,0,4,True,2007-07-20,Caught,2B,2007
3058,1B,2B,Stolen Base 2B,232694,Casey Blake,Adam Melhuse,3,5,6,True,2007-05-12,Stolen,2B,2007
3337,1B,2B,Stolen Base 2B,232694,Casey Blake,Paul Bako,3,0,7,False,2007-04-29,Stolen,2B,2007
3380,1B,,Caught Stealing 2B,232694,Casey Blake,Ramon Hernandez,0,1,3,False,2007-04-27,Caught,2B,2007
3815,1B,,Caught Stealing 2B,232694,Casey Blake,A.J. Pierzynski,1,2,4,True,2007-04-05,Caught,2B,2007
556,1B,2B,Stolen Base 2B,232694,Casey Blake,Nick Hundley,2,1,2,False,2008-09-01,Stolen,2B,2008
1812,1B,2B,Stolen Base 2B,232694,Casey Blake,David Ross,2,0,6,False,2008-06-27,Stolen,2B,2008
3577,1B,2B,Stolen Base 2B,232694,Casey Blake,Jeff Mathis,0,0,3,True,2008-04-08,Stolen,2B,2008
72,1B,,Caught Stealing 2B,232694,Casey Blake,Yadier Molina,3,3,8,True,2009-07-30,Caught,2B,2009
309,1B,,Caught Stealing 2B,232694,Casey Blake,Ryan Hanigan,7,3,5,False,2009-07-20,Caught,2B,2009
356,2B,,Caught Stealing 3B,232694,Casey Blake,Humberto Quintero,2,0,1,False,2009-07-18,Caught,3B,2009
837,1B,2B,Stolen Base 2B,232694,Casey Blake,A.J. Pierzynski,0,3,4,True,2009-06-25,Stolen,2B,2009
838,1B,2B,Stolen Base 2B,232694,Casey Blake,A.J. Pierzynski,5,5,10,True,2009-06-25,Stolen,2B,2009
1143,2B,,Caught Stealing 3B,232694,Casey Blake,Henry Blanco,1,3,7,False,2009-06-10,Caught,3B,2009
1818,1B,,Caught Stealing 2B,232694,Casey Blake,Ronny Paulino,4,6,5,False,2010-07-05,Caught,2B,2010
1970,1B,,Caught Stealing 2B,232694,Casey Blake,Bengie Molina,1,2,4,True,2010-06-28,Caught,2B,2010
2072,1B,,Caught Stealing 2B,232694,Casey Blake,Jeff Mathis,2,6,5,True,2010-06-24,Caught,2B,2010
1319,1B,,Caught Stealing 2B,232694,Casey Blake,Miguel Montero,0,6,4,True,2011-08-05,Caught,2B,2011
4198,2B,3B,Stolen Base 3B,232694,Casey Blake,Nick Hundley,0,1,4,True,2011-04-09,Stolen,3B,2011
4232,2B,3B,Stolen Base 3B,232694,Casey Blake,Nick Hundley,0,1,4,True,2011-04-08,Stolen,3B,2011
