,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
62,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Mike Zunino,0,0,1,False,2019-09-27,Stolen,2B,2019
226,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Chance Sisco,3,3,6,True,2019-09-17,Stolen,2B,2019
227,2B,3B,Stolen Base 3B,624415,Cavan Biggio,Chance Sisco,4,4,8,True,2019-09-17,Stolen,3B,2019
340,2B,3B,Stolen Base 3B,624415,Cavan Biggio,Christian Vázquez,1,0,4,False,2019-09-11,Stolen,3B,2019
427,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Mike Zunino,3,1,6,True,2019-09-05,Stolen,2B,2019
883,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Travis d'Arnaud,6,6,7,True,2019-08-06,Stolen,2B,2019
975,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Cam Gallagher,1,1,6,True,2019-07-31,Stolen,2B,2019
1036,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Mike Zunino,9,9,11,False,2019-07-27,Stolen,2B,2019
1282,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Gary Sánchez,0,2,6,True,2019-07-13,Stolen,2B,2019
1378,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Christian Vázquez,5,3,7,False,2019-07-03,Stolen,2B,2019
1455,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Martín Maldonado,6,2,8,False,2019-06-28,Stolen,2B,2019
1566,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Christian Vázquez,5,5,10,True,2019-06-21,Stolen,2B,2019
1879,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Gary Sánchez,3,2,5,False,2019-06-04,Stolen,2B,2019
1909,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Tony Wolters,3,0,2,True,2019-06-01,Stolen,2B,2019
218,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Andrew Knapp,0,1,3,False,2020-09-18,Stolen,2B,2020
420,2B,3B,Stolen Base 3B,624415,Cavan Biggio,Kyle Higashioka,1,2,1,False,2020-09-07,Stolen,3B,2020
737,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Mike Zunino,1,1,7,True,2020-08-22,Stolen,2B,2020
906,2B,3B,Stolen Base 3B,624415,Cavan Biggio,Ryan Lavarnway,8,11,6,False,2020-08-12,Stolen,3B,2020
930,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Francisco Cervelli,4,1,7,False,2020-08-11,Stolen,2B,2020
1060,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Andrew Knapp,0,1,3,False,2020-08-02,Stolen,2B,2020
1169,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Yan Gomes,1,3,8,True,2020-07-28,Stolen,2B,2020
1268,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Mike Zunino,2,1,4,True,2021-07-09,Stolen,2B,2021
1365,1B,2B,Caught Stealing 3B,624415,Cavan Biggio,Mike Zunino,6,1,6,False,2021-07-03,Caught,3B,2021
2142,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Andrew Knapp,3,0,6,False,2021-05-15,Stolen,2B,2021
2182,1B,2B,Stolen Base 2B,624415,Cavan Biggio,William Contreras,1,0,6,True,2021-05-12,Stolen,2B,2021
2256,1B,,Caught Stealing 2B,624415,Cavan Biggio,Martín Maldonado,3,2,5,True,2021-05-07,Caught,2B,2021
1249,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Christian Vázquez,0,2,1,True,2022-07-24,Stolen,2B,2022
2279,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Max Stassi,1,1,3,True,2022-05-27,Stolen,2B,2022
828,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Keibert Ruiz,1,5,7,False,2023-08-29,Stolen,2B,2023
1106,1B,2B,Stolen Base 2B,624415,Cavan Biggio,J.T. Realmuto,0,1,2,False,2023-08-16,Stolen,2B,2023
1667,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Cal Raleigh,9,8,9,True,2023-07-22,Stolen,2B,2023
2654,1B,,Caught Stealing 2B,624415,Cavan Biggio,Yainer Diaz,3,2,8,False,2023-06-07,Caught,2B,2023
2720,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Francisco Alvarez,2,4,6,True,2023-06-04,Stolen,2B,2023
3060,1B,,Caught Stealing 2B,624415,Cavan Biggio,James McCann,2,2,8,False,2023-05-21,Caught,2B,2023
3964,1B,2B,Stolen Base 2B,624415,Cavan Biggio,Jake Rogers,0,1,3,False,2023-04-13,Stolen,2B,2023
