,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
526,1B,,Caught Stealing 2B,460051,Chris Getz,Kelly Shoppach,2,4,9,True,2008-09-03,Caught,2B,2008
743,1B,2B,Stolen Base 2B,460051,Chris Getz,Shawn Riggans,5,5,9,False,2008-08-24,Stolen,2B,2008
44,1B,2B,Stolen Base 2B,460051,Chris Getz,Jorge Posada,7,4,7,False,2009-08-01,Stolen,2B,2009
45,2B,3B,Stolen Base 3B,460051,Chris Getz,Jorge Posada,7,4,7,False,2009-08-01,Stolen,3B,2009
55,1B,2B,Stolen Base 2B,460051,Chris Getz,Jorge Posada,10,5,7,False,2009-07-31,Stolen,2B,2009
197,1B,2B,Stolen Base 2B,460051,Chris Getz,Gerald Laird,2,3,6,True,2009-07-25,Stolen,2B,2009
519,1B,2B,Stolen Base 2B,460051,Chris Getz,Kelly Shoppach,7,9,5,False,2009-07-09,Stolen,2B,2009
520,1B,2B,Stolen Base 2B,460051,Chris Getz,Kelly Shoppach,8,10,7,False,2009-07-09,Stolen,2B,2009
756,3B,score,Stolen Base Home,460051,Chris Getz,Geovany Soto,4,0,6,False,2009-06-28,Stolen,Home,2009
792,1B,2B,Stolen Base 2B,460051,Chris Getz,Geovany Soto,2,2,4,False,2009-06-27,Stolen,2B,2009
950,1B,2B,Stolen Base 2B,460051,Chris Getz,Ryan Hanigan,3,2,7,True,2009-06-19,Stolen,2B,2009
1022,1B,2B,Stolen Base 2B,460051,Chris Getz,Koyie Hill,0,3,8,True,2009-06-16,Stolen,2B,2009
1135,1B,2B,Stolen Base 2B,460051,Chris Getz,Gerald Laird,3,3,9,False,2009-06-11,Stolen,2B,2009
1147,1B,2B,Stolen Base 2B,460051,Chris Getz,Dane Sardinha,0,0,3,False,2009-06-10,Stolen,2B,2009
1200,1B,2B,Stolen Base 2B,460051,Chris Getz,Dane Sardinha,4,4,8,False,2009-06-08,Stolen,2B,2009
1392,1B,2B,Stolen Base 2B,460051,Chris Getz,John Buck,1,0,3,True,2009-05-30,Stolen,2B,2009
1459,1B,2B,Stolen Base 2B,460051,Chris Getz,Mike Napoli,1,3,9,True,2009-05-26,Stolen,2B,2009
1851,1B,,Caught Stealing 2B,460051,Chris Getz,Kelly Shoppach,2,0,3,True,2009-05-11,Caught,2B,2009
1968,1B,2B,Stolen Base 2B,460051,Chris Getz,Dane Sardinha,4,4,8,False,2009-05-06,Stolen,2B,2009
