,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
7,1B,2B,Stolen Base 2B,518568,Christian Colón,Geovany Soto,9,8,12,False,2014-09-30,Stolen,2B,2014
755,1B,2B,Stolen Base 2B,518568,Christian Colón,Kurt Suzuki,0,0,3,False,2014-08-26,Stolen,2B,2014
974,1B,2B,Stolen Base 2B,518568,Christian Colón,John Jaso,1,0,3,False,2014-08-14,Stolen,2B,2014
203,1B,2B,Stolen Base 2B,518568,Christian Colón,Alex Avila,5,5,9,True,2015-09-19,Stolen,2B,2015
2873,2B,,Caught Stealing 3B,518568,Christian Colón,Alex Avila,3,0,2,False,2015-05-01,Caught,3B,2015
2893,1B,2B,Stolen Base 2B,518568,Christian Colón,James McCann,8,0,5,False,2015-04-30,Stolen,2B,2015
3113,2B,3B,Stolen Base 3B,518568,Christian Colón,Kurt Suzuki,4,5,6,False,2015-04-21,Stolen,3B,2015
1136,2B,,Caught Stealing 3B,518568,Christian Colón,Alex Avila,0,2,2,True,2016-06-12,Caught,3B,2016
1073,2B,3B,Stolen Base 3B,518568,Christian Colón,Grayson Greiner,0,2,2,True,2020-08-02,Stolen,3B,2020
1079,2B,3B,Stolen Base 3B,518568,Christian Colón,Grayson Greiner,0,2,2,True,2020-08-01,Stolen,3B,2020
