,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
185,1B,2B,Stolen Base 2B,425549,Clint Barmes,Ramon Hernandez,2,0,5,False,2005-09-22,Stolen,2B,2005
298,1B,2B,Stolen Base 2B,425549,Clint Barmes,Chris Snyder,3,2,4,True,2005-09-16,Stolen,2B,2005
2426,1B,2B,Stolen Base 2B,425549,Clint Barmes,Michael Barrett,1,5,9,True,2005-05-26,Stolen,2B,2005
2797,1B,,Caught Stealing 2B,425549,Clint Barmes,Paul Lo Duca,0,0,1,True,2005-05-07,Caught,2B,2005
2913,1B,2B,Stolen Base 2B,425549,Clint Barmes,Ramon Hernandez,5,4,7,True,2005-05-02,Stolen,2B,2005
2914,2B,,Caught Stealing 3B,425549,Clint Barmes,Ramon Hernandez,5,4,7,True,2005-05-02,Caught,3B,2005
3241,1B,2B,Stolen Base 2B,425549,Clint Barmes,Mike Matheny,0,0,1,False,2005-04-16,Stolen,2B,2005
3245,1B,2B,Stolen Base 2B,425549,Clint Barmes,Mike Matheny,4,2,6,False,2005-04-16,Stolen,2B,2005
3246,2B,,Caught Stealing 3B,425549,Clint Barmes,Mike Matheny,4,2,6,False,2005-04-16,Caught,3B,2005
91,1B,2B,Stolen Base 2B,425549,Clint Barmes,Steve Holm,0,0,1,True,2008-09-24,Stolen,2B,2008
92,2B,3B,Stolen Base 3B,425549,Clint Barmes,Steve Holm,0,0,1,True,2008-09-24,Stolen,3B,2008
287,1B,2B,Stolen Base 2B,425549,Clint Barmes,Danny Ardoin,0,0,7,False,2008-09-14,Stolen,2B,2008
440,1B,2B,Stolen Base 2B,425549,Clint Barmes,Brad Ausmus,0,0,1,False,2008-09-07,Stolen,2B,2008
756,1B,2B,Stolen Base 2B,425549,Clint Barmes,Paul Bako,2,1,2,False,2008-08-23,Stolen,2B,2008
768,1B,2B,Stolen Base 2B,425549,Clint Barmes,Ryan Hanigan,0,2,1,False,2008-08-22,Stolen,2B,2008
808,1B,2B,Stolen Base 2B,425549,Clint Barmes,Russell Martin,0,0,1,True,2008-08-21,Stolen,2B,2008
1041,1B,,Caught Stealing 2B,425549,Clint Barmes,Nick Hundley,4,2,7,False,2008-08-08,Caught,2B,2008
1116,1B,2B,Stolen Base 2B,425549,Clint Barmes,Jesus Flores,3,1,2,False,2008-08-04,Stolen,2B,2008
1281,1B,,Caught Stealing 2B,425549,Clint Barmes,David Ross,0,0,1,True,2008-07-26,Caught,2B,2008
1372,1B,2B,Stolen Base 2B,425549,Clint Barmes,Russell Martin,4,16,5,False,2008-07-21,Stolen,2B,2008
1537,1B,2B,Stolen Base 2B,425549,Clint Barmes,Mike Rivera,0,1,1,True,2008-07-10,Stolen,2B,2008
2668,2B,,Caught Stealing 3B,425549,Clint Barmes,Mike Redmond,0,0,1,False,2008-05-18,Caught,3B,2008
2750,1B,2B,Stolen Base 2B,425549,Clint Barmes,Chris Snyder,5,0,6,True,2008-05-15,Stolen,2B,2008
2827,1B,2B,Stolen Base 2B,425549,Clint Barmes,Luke Carlin,0,0,5,True,2008-05-11,Stolen,2B,2008
3276,1B,,Caught Stealing 2B,425549,Clint Barmes,Carlos Ruiz,5,2,5,False,2008-04-21,Caught,2B,2008
3495,1B,2B,Stolen Base 2B,425549,Clint Barmes,Chris Snyder,10,1,7,True,2008-04-12,Stolen,2B,2008
183,1B,,Caught Stealing 2B,425549,Clint Barmes,Bengie Molina,3,0,5,False,2009-07-25,Caught,2B,2009
285,1B,2B,Stolen Base 2B,425549,Clint Barmes,Miguel Montero,4,4,7,False,2009-07-21,Stolen,2B,2009
312,1B,2B,Stolen Base 2B,425549,Clint Barmes,Luke Carlin,0,0,1,False,2009-07-20,Stolen,2B,2009
552,1B,2B,Stolen Base 2B,425549,Clint Barmes,Josh Bard,0,0,1,False,2009-07-07,Stolen,2B,2009
774,1B,2B,Stolen Base 2B,425549,Clint Barmes,Kurt Suzuki,0,2,1,True,2009-06-27,Stolen,2B,2009
973,1B,,Caught Stealing 2B,425549,Clint Barmes,Dioner Navarro,4,1,8,False,2009-06-18,Caught,2B,2009
1275,1B,,Caught Stealing 2B,425549,Clint Barmes,Ivan Rodriguez,1,7,6,True,2009-06-04,Caught,2B,2009
1391,1B,2B,Stolen Base 2B,425549,Clint Barmes,Nick Hundley,6,7,9,False,2009-05-30,Stolen,2B,2009
1409,1B,2B,Stolen Base 2B,425549,Clint Barmes,Nick Hundley,3,0,7,False,2009-05-29,Stolen,2B,2009
1495,2B,,Caught Stealing 3B,425549,Clint Barmes,Russell Martin,1,7,4,False,2009-05-25,Caught,3B,2009
1585,1B,,Caught Stealing 2B,425549,Clint Barmes,Gerald Laird,3,1,7,True,2009-05-22,Caught,2B,2009
1710,1B,2B,Stolen Base 2B,425549,Clint Barmes,Jason Jaramillo,5,4,6,True,2009-05-16,Stolen,2B,2009
2223,1B,2B,Stolen Base 2B,425549,Clint Barmes,Nick Hundley,6,4,3,False,2009-04-27,Stolen,2B,2009
2379,2B,3B,Stolen Base 3B,425549,Clint Barmes,Miguel Montero,6,2,7,True,2009-04-20,Stolen,3B,2009
880,1B,,Caught Stealing 2B,425549,Clint Barmes,John Hester,3,3,10,True,2010-08-20,Caught,2B,2010
1345,1B,2B,Stolen Base 2B,425549,Clint Barmes,Jason Jaramillo,5,1,2,False,2010-07-29,Stolen,2B,2010
1992,1B,,Caught Stealing 2B,425549,Clint Barmes,Jeff Mathis,4,2,5,True,2010-06-27,Caught,2B,2010
2040,1B,2B,Stolen Base 2B,425549,Clint Barmes,Jeff Mathis,1,2,5,True,2010-06-25,Stolen,2B,2010
2231,1B,2B,Stolen Base 2B,425549,Clint Barmes,Drew Butera,1,5,9,True,2010-06-17,Stolen,2B,2010
293,1B,2B,Stolen Base 2B,425549,Clint Barmes,Koyie Hill,0,3,1,True,2011-09-18,Stolen,2B,2011
958,1B,2B,Stolen Base 2B,425549,Clint Barmes,Chris Stewart,0,3,2,False,2011-08-21,Stolen,2B,2011
1274,2B,,Caught Stealing 3B,425549,Clint Barmes,Jonathan Lucroy,0,4,3,False,2011-08-07,Caught,3B,2011
2035,1B,2B,Stolen Base 2B,425549,Clint Barmes,Michael McKenry,1,0,2,True,2011-07-06,Stolen,2B,2011
3216,1B,,Caught Stealing 2B,425549,Clint Barmes,John Buck,2,3,7,True,2012-05-14,Caught,2B,2012
3652,1B,,Caught Stealing 2B,425549,Clint Barmes,Wilin Rosario,1,1,7,False,2012-04-25,Caught,2B,2012
4205,1B,,Caught Stealing 2B,425549,Clint Barmes,J.P. Arencibia,1,0,5,True,2012-04-01,Caught,2B,2012
2059,1B,,Caught Stealing 2B,425549,Clint Barmes,Devin Mesoraco,3,2,8,False,2014-06-19,Caught,2B,2014
2609,1B,2B,Stolen Base 2B,425549,Clint Barmes,Wilson Ramos,4,1,6,False,2014-05-23,Stolen,2B,2014
3315,1B,,Caught Stealing 2B,425549,Clint Barmes,Héctor Sánchez,2,0,2,False,2015-04-11,Caught,2B,2015
