,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
2953,1B,,Caught Stealing 2B,502261,Cole Gillespie,David Ross,7,1,6,True,2010-05-16,Caught,2B,2010
2215,1B,,Caught Stealing 2B,502261,Cole Gillespie,Brian McCann,1,2,1,False,2014-06-10,Caught,2B,2014
2412,1B,2B,Stolen Base 2B,502261,Cole Gillespie,Alex Avila,3,1,4,False,2014-05-31,Stolen,2B,2014
2922,1B,2B,Stolen Base 2B,502261,Cole Gillespie,Derek Norris,3,7,9,True,2014-05-06,Stolen,2B,2014
3140,1B,,Caught Stealing 2B,502261,Cole Gillespie,J.P. Arencibia,0,2,5,False,2014-04-25,Caught,2B,2014
122,1B,,Caught Stealing 2B,502261,Cole Gillespie,Carlos Ruiz,2,2,9,False,2015-09-23,Caught,2B,2015
953,1B,2B,Stolen Base 2B,502261,Cole Gillespie,A.J. Pierzynski,0,2,3,True,2015-08-09,Stolen,2B,2015
1102,1B,2B,Stolen Base 2B,502261,Cole Gillespie,Derek Norris,2,2,9,False,2015-08-02,Stolen,2B,2015
1360,1B,2B,Stolen Base 2B,502261,Cole Gillespie,Carlos Ruiz,5,5,3,True,2015-07-19,Stolen,2B,2015
1595,1B,2B,Stolen Base 2B,502261,Cole Gillespie,Miguel Montero,1,2,9,True,2015-07-03,Stolen,2B,2015
