,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
3217,1B,2B,Stolen Base 2B,150339,Craig Wilson,Scott Hatteberg,0,4,7,True,2000-05-09,Stolen,2B,2000
290,1B,2B,Caught Stealing 2B,346852,Craig Wilson,Mike Lieberthal,0,0,2,True,2002-09-15,Caught,2B,2002
988,1B,2B,Stolen Base 2B,346852,Craig Wilson,Eli Marrero,5,7,6,False,2002-08-12,Stolen,2B,2002
2432,1B,2B,Stolen Base 2B,346852,Craig Wilson,Mike Matheny,2,2,6,True,2002-06-02,Stolen,2B,2002
2567,1B,,Caught Stealing 2B,346852,Craig Wilson,Joe Girardi,1,0,2,False,2002-05-27,Caught,2B,2002
1429,1B,,Caught Stealing 2B,346852,Craig Wilson,Eddie Pérez,1,0,2,False,2003-07-20,Caught,2B,2003
1637,1B,2B,Stolen Base 2B,346852,Craig Wilson,Keith Osik,2,0,2,True,2003-07-07,Stolen,2B,2003
1939,1B,2B,Stolen Base 2B,346852,Craig Wilson,Josh Bard,6,6,14,False,2003-06-21,Stolen,2B,2003
2761,1B,2B,Stolen Base 2B,346852,Craig Wilson,Brad Ausmus,3,3,6,False,2003-05-13,Stolen,2B,2003
242,1B,,Caught Stealing 2B,346852,Craig Wilson,Jason Phillips,0,0,2,False,2004-09-19,Caught,2B,2004
284,1B,,Caught Stealing 2B,346852,Craig Wilson,Jason Phillips,0,0,2,False,2004-09-17,Caught,2B,2004
2439,1B,2B,Stolen Base 2B,346852,Craig Wilson,Michael Barrett,6,5,6,False,2004-05-29,Stolen,2B,2004
2496,1B,2B,Stolen Base 2B,346852,Craig Wilson,Cody McKay,5,0,4,True,2004-05-27,Stolen,2B,2004
2966,1B,,Caught Stealing 2B,346852,Craig Wilson,Chad Moeller,1,3,5,True,2004-05-02,Caught,2B,2004
26,1B,2B,Stolen Base 2B,346852,Craig Wilson,Damian Miller,4,0,5,False,2005-09-30,Stolen,2B,2005
2863,1B,2B,Caught Stealing 3B,346852,Craig Wilson,Brad Ausmus,3,1,4,True,2005-05-04,Caught,3B,2005
3099,1B,2B,Stolen Base 2B,346852,Craig Wilson,Michael Barrett,3,3,9,True,2005-04-23,Stolen,2B,2005
3431,1B,2B,Stolen Base 2B,346852,Craig Wilson,Ramon Hernandez,0,0,7,True,2005-04-07,Stolen,2B,2005
