,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
236,1B,,Caught Stealing 2B,434158,Curtis Granderson,John Buck,4,4,7,True,2005-09-20,Caught,2B,2005
702,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Doug Mirabelli,9,8,8,True,2005-08-26,Stolen,2B,2005
8,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Toby Hall,0,0,1,True,2007-09-30,Stolen,2B,2007
9,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Toby Hall,1,3,5,True,2007-09-30,Stolen,2B,2007
11,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Toby Hall,3,6,7,True,2007-09-30,Stolen,2B,2007
315,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Chris Heintz,0,3,2,True,2007-09-16,Stolen,2B,2007
470,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Gerald Laird,0,1,1,False,2007-09-11,Stolen,2B,2007
471,2B,3B,Stolen Base 3B,434158,Curtis Granderson,Gerald Laird,1,1,1,False,2007-09-11,Stolen,3B,2007
511,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kenji Johjima,0,2,1,False,2007-09-09,Stolen,2B,2007
575,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,0,1,3,False,2007-09-05,Stolen,2B,2007
576,2B,3B,Stolen Base 3B,434158,Curtis Granderson,A.J. Pierzynski,0,1,3,False,2007-09-05,Stolen,3B,2007
788,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jorge Posada,0,0,1,False,2007-08-27,Stolen,2B,2007
815,1B,2B,Stolen Base 2B,434158,Curtis Granderson,José Molina,5,4,5,False,2007-08-26,Stolen,2B,2007
855,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jorge Posada,6,6,9,False,2007-08-24,Stolen,2B,2007
1229,1B,,Caught Stealing 2B,434158,Curtis Granderson,Dioner Navarro,5,1,4,False,2007-08-07,Caught,2B,2007
1269,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,0,3,5,False,2007-08-05,Stolen,2B,2007
1443,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jeff Mathis,3,3,7,True,2007-07-28,Stolen,2B,2007
1454,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Mike Napoli,0,0,1,True,2007-07-27,Stolen,2B,2007
1577,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jason LaRue,1,0,3,False,2007-07-22,Stolen,2B,2007
1734,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jamie Burke,2,1,3,True,2007-07-15,Stolen,2B,2007
2128,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Gerald Laird,0,0,1,False,2007-06-26,Stolen,2B,2007
2323,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Carlos Ruiz,0,1,1,True,2007-06-17,Stolen,2B,2007
2387,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Johnny Estrada,0,1,3,False,2007-06-14,Stolen,2B,2007
3006,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Doug Mirabelli,1,1,3,True,2007-05-15,Stolen,2B,2007
3062,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Mike Redmond,0,0,1,True,2007-05-12,Stolen,2B,2007
3252,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Ramon Hernandez,1,2,5,False,2007-05-02,Stolen,2B,2007
3280,2B,3B,Stolen Base 3B,434158,Curtis Granderson,Ramon Hernandez,4,3,8,False,2007-05-01,Stolen,3B,2007
3445,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Mike Napoli,0,2,2,True,2007-04-23,Stolen,2B,2007
3837,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Gregg Zaun,1,0,3,False,2007-04-04,Stolen,2B,2007
1,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,1,0,3,True,2008-09-29,Stolen,2B,2008
4,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,6,2,7,True,2008-09-29,Stolen,2B,2008
301,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,1,0,3,True,2008-09-13,Stolen,2B,2008
304,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,6,2,7,True,2008-09-13,Stolen,2B,2008
339,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,1,0,3,True,2008-09-12,Stolen,2B,2008
342,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,6,2,7,True,2008-09-12,Stolen,2B,2008
547,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Mike Napoli,0,2,1,False,2008-09-02,Stolen,2B,2008
877,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Ramon Hernandez,5,9,4,False,2008-08-17,Stolen,2B,2008
1090,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,0,2,1,True,2008-08-05,Stolen,2B,2008
1284,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,5,7,7,False,2008-07-26,Stolen,2B,2008
1751,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Joe Mauer,4,5,8,True,2008-06-30,Stolen,2B,2008
1810,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Chris Iannetta,0,0,1,False,2008-06-27,Stolen,2B,2008
1831,1B,,Caught Stealing 2B,434158,Curtis Granderson,Jason LaRue,1,1,7,False,2008-06-26,Caught,2B,2008
1932,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Michael Barrett,0,1,3,True,2008-06-20,Stolen,2B,2008
1933,1B,,Caught Stealing 2B,434158,Curtis Granderson,Michael Barrett,1,1,5,True,2008-06-20,Caught,2B,2008
2345,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kenji Johjima,0,0,1,True,2008-06-01,Stolen,2B,2008
2462,1B,,Caught Stealing 2B,434158,Curtis Granderson,Jeff Mathis,0,2,6,True,2008-05-27,Caught,2B,2008
2893,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Chad Moeller,6,1,6,False,2008-05-09,Stolen,2B,2008
2983,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Joe Mauer,7,6,9,True,2008-05-04,Stolen,2B,2008
3226,1B,,Caught Stealing 2B,434158,Curtis Granderson,Adam Melhuse,2,2,5,False,2008-04-24,Caught,2B,2008
21,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kelly Shoppach,0,0,1,True,2009-08-02,Stolen,2B,2009
41,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Wyatt Toregas,1,2,9,True,2009-08-01,Stolen,2B,2009
64,1B,,Caught Stealing 2B,434158,Curtis Granderson,Chris Gimenez,2,2,4,True,2009-07-31,Caught,2B,2009
229,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,1,0,3,False,2009-07-24,Stolen,2B,2009
339,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jorge Posada,0,0,3,True,2009-07-19,Stolen,2B,2009
598,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Joe Mauer,0,0,3,True,2009-07-05,Stolen,2B,2009
635,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Joe Mauer,7,7,9,True,2009-07-03,Stolen,2B,2009
758,1B,,Caught Stealing 2B,434158,Curtis Granderson,Ivan Rodriguez,0,0,1,True,2009-06-28,Caught,2B,2009
856,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Geovany Soto,0,0,3,False,2009-06-24,Stolen,2B,2009
902,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jason Kendall,3,1,7,False,2009-06-21,Stolen,2B,2009
996,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Yadier Molina,0,0,1,True,2009-06-17,Stolen,2B,2009
1238,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Mike Napoli,2,1,3,False,2009-06-06,Stolen,2B,2009
1349,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jason Varitek,1,1,1,False,2009-06-02,Stolen,2B,2009
1430,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Gregg Zaun,2,1,6,True,2009-05-28,Stolen,2B,2009
1456,2B,3B,Stolen Base 3B,434158,Curtis Granderson,John Buck,1,2,2,True,2009-05-27,Stolen,3B,2009
1499,1B,2B,Stolen Base 2B,434158,Curtis Granderson,John Buck,0,2,2,True,2009-05-25,Stolen,2B,2009
1660,1B,,Caught Stealing 2B,434158,Curtis Granderson,Jarrod Saltalamacchia,0,0,1,False,2009-05-19,Caught,2B,2009
1802,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Mike Redmond,4,2,5,True,2009-05-13,Stolen,2B,2009
1908,1B,,Caught Stealing 2B,434158,Curtis Granderson,Victor Martinez,0,0,2,True,2009-05-09,Caught,2B,2009
1947,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kelly Shoppach,0,0,8,True,2009-05-08,Stolen,2B,2009
2133,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kelly Shoppach,0,5,6,False,2009-05-01,Stolen,2B,2009
2306,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jeff Mathis,0,0,1,True,2009-04-23,Stolen,2B,2009
2499,1B,2B,Stolen Base 2B,434158,Curtis Granderson,A.J. Pierzynski,1,0,3,False,2009-04-14,Stolen,2B,2009
2613,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Michael Barrett,6,2,7,True,2009-04-09,Stolen,2B,2009
235,1B,2B,Stolen Base 2B,434158,Curtis Granderson,John Jaso,8,5,8,False,2010-09-20,Stolen,2B,2010
488,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Matt Wieters,0,0,3,False,2010-09-08,Stolen,2B,2010
969,1B,,Caught Stealing 2B,434158,Curtis Granderson,Alex Avila,0,2,5,False,2010-08-16,Caught,2B,2010
1167,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Victor Martinez,4,2,6,False,2010-08-07,Stolen,2B,2010
1241,1B,2B,Stolen Base 2B,434158,Curtis Granderson,John Buck,2,0,2,False,2010-08-04,Stolen,2B,2010
1442,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jason Kendall,7,5,8,False,2010-07-25,Stolen,2B,2010
1796,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kurt Suzuki,1,6,7,True,2010-07-06,Stolen,2B,2010
2097,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Miguel Montero,4,3,6,True,2010-06-23,Stolen,2B,2010
2427,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Matt Wieters,3,6,7,True,2010-06-08,Stolen,2B,2010
3726,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Jeff Mathis,2,0,4,False,2010-04-13,Stolen,2B,2010
3770,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Dioner Navarro,2,3,6,True,2010-04-11,Stolen,2B,2010
3797,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Kelly Shoppach,0,4,6,True,2010-04-10,Stolen,2B,2010
3848,1B,2B,Stolen Base 2B,434158,Curtis Granderson,Victor Martinez,1,0,5,True,2010-04-07,Stolen,2B,2010
