,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
26,1B,2B,Stolen Base 2B,542454,Danny Santana,Alex Avila,0,0,3,True,2014-09-28,Stolen,2B,2014
215,1B,2B,Stolen Base 2B,542454,Danny Santana,Roberto Pérez,3,4,8,False,2014-09-19,Stolen,2B,2014
253,1B,2B,Stolen Base 2B,542454,Danny Santana,James McCann,7,4,8,False,2014-09-17,Stolen,2B,2014
280,1B,2B,Stolen Base 2B,542454,Danny Santana,Bryan Holaday,0,0,3,False,2014-09-16,Stolen,2B,2014
296,2B,3B,Stolen Base 3B,542454,Danny Santana,Bryan Holaday,6,6,8,False,2014-09-15,Stolen,3B,2014
530,1B,2B,Stolen Base 2B,542454,Danny Santana,Chris Iannetta,3,3,4,False,2014-09-05,Stolen,2B,2014
531,1B,2B,Stolen Base 2B,542454,Danny Santana,Chris Iannetta,4,6,9,False,2014-09-05,Stolen,2B,2014
585,1B,2B,Stolen Base 2B,542454,Danny Santana,Tyler Flowers,0,0,1,False,2014-09-02,Stolen,2B,2014
672,1B,,Caught Stealing 2B,542454,Danny Santana,Nick Hundley,0,0,3,True,2014-08-30,Caught,2B,2014
902,2B,3B,Stolen Base 3B,542454,Danny Santana,Salvador Perez,0,0,1,False,2014-08-18,Stolen,3B,2014
1000,1B,2B,Stolen Base 2B,542454,Danny Santana,Carlos Corporán,1,3,9,True,2014-08-13,Stolen,2B,2014
1022,1B,,Caught Stealing 2B,542454,Danny Santana,Jason Castro,2,2,7,True,2014-08-11,Caught,2B,2014
1043,1B,2B,Stolen Base 2B,542454,Danny Santana,John Jaso,1,1,8,True,2014-08-10,Stolen,2B,2014
1144,1B,2B,Stolen Base 2B,542454,Danny Santana,René Rivera,4,3,6,False,2014-08-06,Stolen,2B,2014
1188,1B,2B,Stolen Base 2B,542454,Danny Santana,Tyler Flowers,0,0,1,True,2014-08-03,Stolen,2B,2014
1189,1B,2B,Stolen Base 2B,542454,Danny Santana,Tyler Flowers,0,1,2,True,2014-08-03,Stolen,2B,2014
1394,1B,,Caught Stealing 2B,542454,Danny Santana,Roberto Pérez,3,1,7,False,2014-07-23,Caught,2B,2014
1992,1B,,Caught Stealing 2B,542454,Danny Santana,Tyler Flowers,6,5,6,False,2014-06-22,Caught,2B,2014
2095,1B,2B,Stolen Base 2B,542454,Danny Santana,David Ross,0,0,1,True,2014-06-17,Stolen,2B,2014
2180,2B,3B,Stolen Base 3B,542454,Danny Santana,Alex Avila,0,1,3,True,2014-06-13,Stolen,3B,2014
2296,1B,2B,Stolen Base 2B,542454,Danny Santana,Jason Castro,3,0,2,False,2014-06-07,Stolen,2B,2014
2324,1B,2B,Stolen Base 2B,542454,Danny Santana,Jonathan Lucroy,0,0,1,False,2014-06-05,Stolen,2B,2014
2458,2B,3B,Stolen Base 3B,542454,Danny Santana,John Ryan Murphy,0,1,3,True,2014-05-30,Stolen,3B,2014
2479,1B,2B,Stolen Base 2B,542454,Danny Santana,Robinson Chirinos,4,4,6,False,2014-05-29,Stolen,2B,2014
427,1B,2B,Stolen Base 2B,542454,Danny Santana,Salvador Perez,2,6,8,True,2015-09-07,Stolen,2B,2015
1285,1B,2B,Stolen Base 2B,542454,Danny Santana,Chris Iannetta,1,2,3,True,2015-07-22,Stolen,2B,2015
1457,1B,2B,Stolen Base 2B,542454,Danny Santana,Alex Avila,0,2,3,False,2015-07-10,Stolen,2B,2015
1641,1B,2B,Stolen Base 2B,542454,Danny Santana,Tucker Barnhart,1,3,6,True,2015-06-30,Stolen,2B,2015
2541,1B,2B,Stolen Base 2B,542454,Danny Santana,Bobby Wilson,1,2,3,False,2015-05-17,Stolen,2B,2015
2606,1B,2B,Stolen Base 2B,542454,Danny Santana,Bryan Holaday,3,0,3,True,2015-05-14,Stolen,2B,2015
2810,1B,2B,Stolen Base 2B,542454,Danny Santana,Stephen Vogt,4,4,2,False,2015-05-04,Stolen,2B,2015
2917,1B,,Caught Stealing 2B,542454,Danny Santana,James McCann,0,0,1,False,2015-04-29,Caught,2B,2015
3131,1B,,Caught Stealing 2B,542454,Danny Santana,Salvador Perez,1,1,5,True,2015-04-20,Caught,2B,2015
3329,1B,2B,Stolen Base 2B,542454,Danny Santana,Tyler Flowers,0,0,1,True,2015-04-11,Stolen,2B,2015
91,1B,,Caught Stealing 2B,542454,Danny Santana,Evan Gattis,3,0,5,False,2016-08-08,Caught,2B,2016
283,1B,2B,Stolen Base 2B,542454,Danny Santana,Dioner Navarro,2,4,7,False,2016-07-30,Stolen,2B,2016
548,1B,,Caught Stealing 2B,542454,Danny Santana,Jarrod Saltalamacchia,1,0,9,True,2016-07-18,Caught,2B,2016
744,1B,2B,Stolen Base 2B,542454,Danny Santana,Bobby Wilson,0,1,3,False,2016-07-03,Stolen,2B,2016
996,1B,,Caught Stealing 2B,542454,Danny Santana,Brian McCann,7,3,8,False,2016-06-19,Caught,2B,2016
1494,1B,2B,Stolen Base 2B,542454,Danny Santana,Salvador Perez,2,2,2,False,2016-05-23,Stolen,2B,2016
1567,1B,2B,Stolen Base 2B,542454,Danny Santana,Russell Martin,1,0,3,False,2016-05-19,Stolen,2B,2016
1568,1B,2B,Stolen Base 2B,542454,Danny Santana,Russell Martin,2,0,5,False,2016-05-19,Stolen,2B,2016
1569,1B,,Caught Stealing 2B,542454,Danny Santana,Russell Martin,2,3,11,False,2016-05-19,Caught,2B,2016
1744,1B,2B,Stolen Base 2B,542454,Danny Santana,Caleb Joseph,2,5,5,False,2016-05-11,Stolen,2B,2016
1757,1B,2B,Stolen Base 2B,542454,Danny Santana,Matt Wieters,3,3,7,False,2016-05-10,Stolen,2B,2016
1830,1B,,Caught Stealing 2B,542454,Danny Santana,Dioner Navarro,4,1,3,True,2016-05-06,Caught,2B,2016
1853,1B,2B,Stolen Base 2B,542454,Danny Santana,Jason Castro,6,3,3,True,2016-05-04,Stolen,2B,2016
1871,1B,2B,Stolen Base 2B,542454,Danny Santana,Jason Castro,6,3,5,True,2016-05-03,Stolen,2B,2016
1919,1B,2B,Stolen Base 2B,542454,Danny Santana,Jarrod Saltalamacchia,2,1,2,False,2016-05-01,Stolen,2B,2016
1943,1B,,Caught Stealing 2B,542454,Danny Santana,Jarrod Saltalamacchia,1,4,8,False,2016-04-30,Caught,2B,2016
1998,1B,2B,Stolen Base 2B,542454,Danny Santana,Yan Gomes,5,6,9,False,2016-04-27,Stolen,2B,2016
2010,1B,,Caught Stealing 2B,542454,Danny Santana,Yan Gomes,5,5,9,False,2016-04-26,Caught,2B,2016
2403,1B,,Caught Stealing 2B,542454,Danny Santana,Caleb Joseph,0,1,1,True,2016-04-07,Caught,2B,2016
2404,1B,2B,Stolen Base 2B,542454,Danny Santana,Caleb Joseph,0,2,3,True,2016-04-07,Stolen,2B,2016
2477,1B,2B,Stolen Base 2B,542454,Danny Santana,Jose Lobaton,5,8,7,True,2016-04-02,Stolen,2B,2016
2478,2B,3B,Stolen Base 3B,542454,Danny Santana,Jose Lobaton,5,8,7,True,2016-04-02,Stolen,3B,2016
986,1B,2B,Stolen Base 2B,542454,Danny Santana,Cameron Rupp,2,3,7,False,2017-08-09,Stolen,2B,2017
1386,2B,3B,Stolen Base 3B,542454,Danny Santana,Victor Caratini,0,2,5,False,2017-07-19,Stolen,3B,2017
1610,1B,2B,Stolen Base 2B,542454,Danny Santana,Bruce Maxwell,0,1,2,True,2017-07-02,Stolen,2B,2017
1643,1B,2B,Stolen Base 2B,542454,Danny Santana,Josh Phegley,1,2,7,True,2017-07-01,Stolen,2B,2017
1644,2B,3B,Stolen Base 3B,542454,Danny Santana,Josh Phegley,1,2,7,True,2017-07-01,Stolen,3B,2017
1645,1B,2B,Stolen Base 2B,542454,Danny Santana,Josh Phegley,3,4,9,True,2017-07-01,Stolen,2B,2017
2848,1B,2B,Stolen Base 2B,542454,Danny Santana,Salvador Perez,4,6,9,True,2017-04-30,Stolen,2B,2017
1775,1B,2B,Stolen Base 2B,542454,Danny Santana,Curt Casali,4,3,5,False,2018-06-27,Stolen,2B,2018
1859,1B,,Caught Stealing 2B,542454,Danny Santana,Caleb Joseph,7,7,10,False,2018-06-22,Caught,2B,2018
34,1B,2B,Stolen Base 2B,542454,Danny Santana,Kyle Higashioka,2,1,1,False,2019-09-28,Stolen,2B,2019
37,1B,2B,Stolen Base 2B,542454,Danny Santana,Kyle Higashioka,2,1,3,False,2019-09-28,Stolen,2B,2019
81,1B,2B,Stolen Base 2B,542454,Danny Santana,Juan Centeno,0,3,4,False,2019-09-26,Stolen,2B,2019
186,1B,2B,Stolen Base 2B,542454,Danny Santana,Martín Maldonado,2,1,7,True,2019-09-18,Stolen,2B,2019
261,1B,2B,Stolen Base 2B,542454,Danny Santana,Josh Phegley,3,5,4,False,2019-09-14,Stolen,2B,2019
288,1B,2B,Stolen Base 2B,542454,Danny Santana,Sean Murphy,0,3,2,False,2019-09-13,Stolen,2B,2019
346,1B,2B,Stolen Base 2B,542454,Danny Santana,Michael Pérez,3,3,9,False,2019-09-10,Stolen,2B,2019
347,2B,3B,Stolen Base 3B,542454,Danny Santana,Michael Pérez,3,3,9,False,2019-09-10,Stolen,3B,2019
841,1B,2B,Stolen Base 2B,542454,Danny Santana,Manny Piña,2,2,7,True,2019-08-09,Stolen,2B,2019
1017,1B,,Caught Stealing 2B,542454,Danny Santana,Josh Phegley,0,0,1,True,2019-07-28,Caught,2B,2019
1157,1B,2B,Stolen Base 2B,542454,Danny Santana,Robinson Chirinos,1,0,3,True,2019-07-19,Stolen,2B,2019
1267,1B,2B,Stolen Base 2B,542454,Danny Santana,Max Stassi,2,3,3,False,2019-07-13,Stolen,2B,2019
1292,1B,2B,Stolen Base 2B,542454,Danny Santana,Robinson Chirinos,4,7,6,False,2019-07-12,Stolen,2B,2019
1513,1B,,Caught Stealing 2B,542454,Danny Santana,James McCann,5,0,4,False,2019-06-23,Caught,2B,2019
1594,2B,3B,Stolen Base 3B,542454,Danny Santana,Kevin Plawecki,1,0,1,False,2019-06-20,Stolen,3B,2019
1639,1B,2B,Stolen Base 2B,542454,Danny Santana,Roberto Pérez,5,1,6,False,2019-06-17,Stolen,2B,2019
1709,1B,,Caught Stealing 2B,542454,Danny Santana,Christian Vázquez,5,6,5,True,2019-06-13,Caught,2B,2019
1760,2B,,Caught Stealing 3B,542454,Danny Santana,Christian Vázquez,2,0,4,True,2019-06-10,Caught,3B,2019
1918,1B,2B,Stolen Base 2B,542454,Danny Santana,Cam Gallagher,4,1,5,False,2019-06-01,Stolen,2B,2019
2337,1B,2B,Stolen Base 2B,542454,Danny Santana,Francisco Cervelli,5,4,8,True,2019-05-07,Stolen,2B,2019
