,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
306,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Carlos Santana,4,5,12,True,2012-09-18,Stolen,2B,2012
384,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,A.J. Pierzynski,0,2,5,False,2012-09-14,Stolen,2B,2012
448,2B,,Caught Stealing 3B,518991,Darin Mastroianni,Salvador Perez,0,4,5,False,2012-09-11,Caught,3B,2012
491,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Carlos Santana,3,4,4,False,2012-09-09,Stolen,2B,2012
630,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,A.J. Pierzynski,2,1,6,True,2012-09-03,Stolen,2B,2012
632,2B,3B,Caught Stealing 2B,518991,Darin Mastroianni,A.J. Pierzynski,2,1,6,True,2012-09-03,Caught,2B,2012
745,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Jesus Montero,4,5,9,False,2012-08-30,Stolen,2B,2012
746,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Jesus Montero,4,5,9,False,2012-08-30,Stolen,3B,2012
951,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Derek Norris,0,3,2,True,2012-08-20,Stolen,2B,2012
1108,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Alex Avila,0,0,1,False,2012-08-13,Stolen,2B,2012
1245,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Carlos Santana,5,5,9,True,2012-08-07,Stolen,2B,2012
1402,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Tyler Flowers,2,3,9,False,2012-08-01,Stolen,3B,2012
1414,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,A.J. Pierzynski,0,1,6,False,2012-07-31,Stolen,2B,2012
1415,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,A.J. Pierzynski,0,1,6,False,2012-07-31,Stolen,3B,2012
1931,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Mike Napoli,3,3,9,True,2012-07-07,Stolen,3B,2012
1981,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Gerald Laird,0,2,4,True,2012-07-05,Stolen,3B,2012
1984,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Gerald Laird,2,3,8,True,2012-07-05,Stolen,2B,2012
1985,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Gerald Laird,2,3,8,True,2012-07-05,Stolen,3B,2012
1986,3B,,Caught Stealing Home,518991,Darin Mastroianni,Gerald Laird,2,3,8,True,2012-07-05,Caught,Home,2012
2114,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Salvador Perez,4,1,4,False,2012-06-30,Stolen,2B,2012
2115,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Salvador Perez,5,1,6,False,2012-06-30,Stolen,2B,2012
2119,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Brayan Peña,5,0,5,False,2012-06-30,Stolen,3B,2012
2661,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Brayan Peña,1,0,6,True,2012-06-05,Stolen,2B,2012
2869,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Kurt Suzuki,2,3,6,False,2012-05-28,Stolen,3B,2012
3573,2B,3B,Stolen Base 3B,518991,Darin Mastroianni,Brayan Peña,5,0,5,False,2012-04-28,Stolen,3B,2012
600,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,A.J. Pierzynski,1,0,4,True,2013-09-01,Stolen,2B,2013
3361,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Chris Iannetta,1,2,3,False,2013-04-15,Stolen,2B,2013
3504,1B,,Caught Stealing 2B,518991,Darin Mastroianni,Taylor Teagarden,3,4,8,True,2013-04-07,Caught,2B,2013
3351,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Dioner Navarro,6,5,8,False,2014-04-17,Stolen,2B,2014
3365,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Dioner Navarro,6,5,8,False,2014-04-16,Stolen,2B,2014
1541,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Russell Martin,0,2,5,False,2016-05-21,Stolen,2B,2016
2479,1B,2B,Stolen Base 2B,518991,Darin Mastroianni,Jose Lobaton,5,8,7,True,2016-04-02,Stolen,2B,2016
