,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
224,1B,,Caught Stealing 2B,662139,Daulton Varsho,Anthony Bemboom,0,0,1,True,2020-09-17,Caught,2B,2020
286,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Joseph Odom,1,2,2,False,2020-09-13,Stolen,2B,2020
287,2B,3B,Stolen Base 3B,662139,Daulton Varsho,Joseph Odom,1,2,2,False,2020-09-13,Stolen,3B,2020
648,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Drew Butera,7,8,9,False,2020-08-26,Stolen,2B,2020
144,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Travis d'Arnaud,0,2,1,False,2021-09-21,Stolen,2B,2021
361,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Jonah Heim,0,0,3,False,2021-09-07,Stolen,2B,2021
756,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Austin Nola,1,0,2,False,2021-08-13,Stolen,2B,2021
1154,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Robinson Chirinos,4,2,7,False,2021-07-18,Stolen,2B,2021
1198,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Willson Contreras,1,0,2,False,2021-07-17,Stolen,2B,2021
1546,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Omar Narváez,0,1,5,False,2021-06-22,Stolen,2B,2021
46,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Martín Maldonado,2,3,10,True,2022-09-28,Stolen,2B,2022
85,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Austin Wynns,1,2,8,False,2022-09-25,Stolen,2B,2022
165,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Austin Barnes,0,0,1,True,2022-09-21,Stolen,2B,2022
198,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Austin Barnes,1,3,4,True,2022-09-20,Stolen,2B,2022
358,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Brian Serven,6,11,9,True,2022-09-11,Stolen,2B,2022
393,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Elias Díaz,9,10,7,True,2022-09-09,Stolen,2B,2022
486,1B,,Caught Stealing 2B,662139,Daulton Varsho,Omar Narváez,2,0,5,False,2022-09-04,Caught,2B,2022
927,2B,3B,Stolen Base 3B,662139,Daulton Varsho,José Godoy,8,3,7,False,2022-08-11,Stolen,3B,2022
1073,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Austin Hedges,5,2,7,True,2022-08-03,Stolen,2B,2022
1239,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Keibert Ruiz,2,1,4,False,2022-07-24,Stolen,2B,2022
1491,1B,,Caught Stealing 2B,662139,Daulton Varsho,Elias Díaz,2,2,2,False,2022-07-07,Caught,2B,2022
1561,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Curt Casali,8,3,8,False,2022-07-04,Stolen,2B,2022
2019,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Garrett Stubbs,7,5,9,True,2022-06-10,Stolen,2B,2022
2088,1B,,Caught Stealing 2B,662139,Daulton Varsho,Tyler Stephenson,0,0,1,True,2022-06-06,Caught,2B,2022
2595,1B,2B,Stolen Base 2B,662139,Daulton Varsho,Jacob Stallings,3,2,2,False,2022-05-09,Stolen,2B,2022
2744,1B,,Caught Stealing 2B,662139,Daulton Varsho,Andrew Knizner,0,1,1,True,2022-05-01,Caught,2B,2022
