,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
43,1B,2B,Stolen Base 2B,452655,Denard Span,John Buck,1,0,3,False,2008-09-27,Stolen,2B,2008
317,2B,3B,Stolen Base 3B,452655,Denard Span,Guillermo Quiroz,0,0,1,True,2008-09-13,Stolen,3B,2008
319,2B,,Caught Stealing 3B,452655,Denard Span,Guillermo Quiroz,6,11,5,True,2008-09-13,Caught,3B,2008
335,2B,3B,Stolen Base 3B,452655,Denard Span,Guillermo Quiroz,0,0,1,True,2008-09-12,Stolen,3B,2008
337,2B,,Caught Stealing 3B,452655,Denard Span,Guillermo Quiroz,6,11,5,True,2008-09-12,Caught,3B,2008
364,1B,2B,Stolen Base 2B,452655,Denard Span,Miguel Olivo,0,0,1,False,2008-09-11,Stolen,2B,2008
446,1B,2B,Stolen Base 2B,452655,Denard Span,Dusty Ryan,3,2,5,False,2008-09-07,Stolen,2B,2008
517,1B,,Caught Stealing 2B,452655,Denard Span,Curtis Thigpen,0,0,3,True,2008-09-03,Caught,2B,2008
545,2B,3B,Stolen Base 3B,452655,Denard Span,Rod Barajas,1,4,4,True,2008-09-02,Stolen,3B,2008
655,2B,3B,Stolen Base 3B,452655,Denard Span,Rob Bowen,1,0,6,True,2008-08-28,Stolen,3B,2008
715,1B,2B,Stolen Base 2B,452655,Denard Span,Jamie Burke,0,1,3,True,2008-08-25,Stolen,2B,2008
798,1B,2B,Stolen Base 2B,452655,Denard Span,Mike Napoli,1,2,12,True,2008-08-21,Stolen,2B,2008
844,1B,2B,Stolen Base 2B,452655,Denard Span,Kurt Suzuki,0,0,1,False,2008-08-19,Stolen,2B,2008
893,1B,2B,Stolen Base 2B,452655,Denard Span,Jamie Burke,2,0,2,False,2008-08-16,Stolen,2B,2008
956,1B,,Caught Stealing 2B,452655,Denard Span,José Molina,0,1,1,False,2008-08-12,Caught,2B,2008
979,1B,2B,Stolen Base 2B,452655,Denard Span,Ivan Rodriguez,3,0,8,False,2008-08-11,Stolen,2B,2008
1044,1B,2B,Stolen Base 2B,452655,Denard Span,Miguel Olivo,0,3,6,True,2008-08-08,Stolen,2B,2008
1077,1B,2B,Stolen Base 2B,452655,Denard Span,Jeff Clement,3,7,8,True,2008-08-06,Stolen,2B,2008
