,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
202,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Drew Butera,2,2,9,True,2011-09-22,Stolen,2B,2011
414,2B,3B,Stolen Base 3B,554429,Dustin Ackley,Russell Martin,2,3,8,False,2011-09-13,Stolen,3B,2011
578,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Bobby Wilson,0,1,3,True,2011-09-06,Stolen,2B,2011
672,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Kurt Suzuki,0,0,4,True,2011-09-03,Stolen,2B,2011
2053,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Kurt Suzuki,0,0,2,True,2011-07-05,Stolen,2B,2011
2207,1B,2B,Stolen Base 2B,554429,Dustin Ackley,David Ross,0,0,2,False,2011-06-29,Stolen,2B,2011
605,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Jarrod Saltalamacchia,0,0,1,False,2012-09-04,Stolen,2B,2012
1405,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Jeff Mathis,7,2,6,False,2012-07-31,Stolen,2B,2012
1586,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Chris Stewart,3,2,8,False,2012-07-24,Stolen,2B,2012
1614,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Russell Martin,1,0,3,False,2012-07-23,Stolen,2B,2012
1715,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Jose Lobaton,0,1,5,True,2012-07-20,Stolen,2B,2012
2047,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Matt Wieters,1,3,7,False,2012-07-02,Stolen,2B,2012
2067,1B,,Caught Stealing 2B,554429,Dustin Ackley,Kelly Shoppach,1,0,6,False,2012-07-01,Caught,2B,2012
2262,1B,2B,Stolen Base 2B,554429,Dustin Ackley,John Baker,1,4,4,True,2012-06-23,Stolen,2B,2012
2837,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Yorvit Torrealba,1,2,5,True,2012-05-29,Stolen,2B,2012
2911,1B,2B,Stolen Base 2B,554429,Dustin Ackley,John Hester,2,1,5,False,2012-05-26,Stolen,2B,2012
3053,3B,score,Stolen Base Home,554429,Dustin Ackley,Wilin Rosario,0,1,1,True,2012-05-20,Stolen,Home,2012
3149,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Carlos Santana,0,1,3,True,2012-05-17,Stolen,2B,2012
3467,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Chris Gimenez,4,2,3,True,2012-05-03,Stolen,2B,2012
4067,1B,,Caught Stealing 2B,554429,Dustin Ackley,Kurt Suzuki,7,8,9,True,2012-04-07,Caught,2B,2012
289,1B,,Caught Stealing 2B,554429,Dustin Ackley,Yadier Molina,5,2,5,True,2013-09-15,Caught,2B,2013
332,1B,,Caught Stealing 2B,554429,Dustin Ackley,Yadier Molina,1,1,9,True,2013-09-13,Caught,2B,2013
898,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Geovany Soto,0,2,2,True,2013-08-17,Stolen,2B,2013
1844,1B,,Caught Stealing 2B,554429,Dustin Ackley,Welington Castillo,2,1,2,False,2013-06-29,Caught,2B,2013
2713,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Carlos Santana,2,1,5,True,2013-05-17,Stolen,2B,2013
817,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Christian Vázquez,0,0,1,True,2014-08-23,Stolen,2B,2014
894,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Carlos Ruiz,0,1,1,True,2014-08-19,Stolen,2B,2014
962,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Bryan Holaday,0,0,1,True,2014-08-15,Stolen,2B,2014
1006,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Dioner Navarro,4,1,5,False,2014-08-12,Stolen,2B,2014
1071,1B,,Caught Stealing 2B,554429,Dustin Ackley,Tyler Flowers,1,0,6,False,2014-08-09,Caught,2B,2014
1239,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Caleb Joseph,2,1,8,True,2014-08-01,Stolen,2B,2014
1420,1B,,Caught Stealing 2B,554429,Dustin Ackley,Travis d'Arnaud,4,1,6,False,2014-07-21,Caught,2B,2014
2394,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Bryan Holaday,2,0,5,False,2014-06-01,Stolen,2B,2014
2527,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Hank Conger,2,0,2,False,2014-05-26,Stolen,2B,2014
3038,1B,,Caught Stealing 2B,554429,Dustin Ackley,Brian McCann,1,1,2,True,2014-05-01,Caught,2B,2014
3706,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Hank Conger,3,6,9,True,2014-04-01,Stolen,2B,2014
1364,2B,3B,Stolen Base 3B,554429,Dustin Ackley,Brian McCann,1,1,7,True,2015-07-19,Stolen,3B,2015
2115,1B,,Caught Stealing 2B,554429,Dustin Ackley,René Rivera,2,1,8,False,2015-06-06,Caught,2B,2015
2630,1B,,Caught Stealing 2B,554429,Dustin Ackley,Derek Norris,5,0,5,False,2015-05-12,Caught,2B,2015
2686,1B,2B,Stolen Base 2B,554429,Dustin Ackley,Josh Phegley,2,0,2,False,2015-05-09,Stolen,2B,2015
