,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
110,1B,2B,Stolen Base 2B,642201,Eli White,Carson Kelly,0,0,2,True,2020-09-22,Stolen,2B,2020
517,1B,,Caught Stealing 2B,642201,Eli White,Martín Maldonado,2,1,8,True,2020-09-02,Caught,2B,2020
961,1B,2B,Stolen Base 2B,642201,Eli White,Tom Murphy,2,2,5,False,2021-07-31,Stolen,2B,2021
1132,3B,,Caught Stealing Home,642201,Eli White,Eric Haase,0,0,1,True,2021-07-20,Caught,Home,2021
1348,1B,2B,Stolen Base 2B,642201,Eli White,Tom Murphy,3,7,9,True,2021-07-03,Stolen,2B,2021
2291,1B,2B,Stolen Base 2B,642201,Eli White,Mitch Garver,1,3,7,True,2021-05-05,Stolen,2B,2021
2430,1B,2B,Stolen Base 2B,642201,Eli White,Anthony Bemboom,5,1,4,False,2021-04-27,Stolen,2B,2021
2668,1B,,Caught Stealing 2B,642201,Eli White,Francisco Mejía,0,0,5,True,2021-04-12,Caught,2B,2021
2682,1B,,Caught Stealing 2B,642201,Eli White,Victor Caratini,0,1,8,False,2021-04-11,Caught,2B,2021
2068,1B,2B,Stolen Base 2B,642201,Eli White,Luke Maile,0,5,6,True,2022-06-07,Stolen,2B,2022
2069,2B,3B,Stolen Base 3B,642201,Eli White,Luke Maile,0,5,6,True,2022-06-07,Stolen,3B,2022
2080,1B,2B,Stolen Base 2B,642201,Eli White,Luke Maile,0,5,6,True,2022-06-06,Stolen,2B,2022
2081,2B,3B,Stolen Base 3B,642201,Eli White,Luke Maile,0,5,6,True,2022-06-06,Stolen,3B,2022
2094,1B,2B,Stolen Base 2B,642201,Eli White,Cal Raleigh,5,5,9,False,2022-06-05,Stolen,2B,2022
2195,1B,2B,Stolen Base 2B,642201,Eli White,Mike Zunino,3,0,5,False,2022-05-31,Stolen,2B,2022
2196,2B,,Caught Stealing 3B,642201,Eli White,Mike Zunino,3,0,5,False,2022-05-31,Caught,3B,2022
2462,1B,2B,Stolen Base 2B,642201,Eli White,Austin Romine,0,3,1,False,2022-05-16,Stolen,2B,2022
2504,1B,2B,Stolen Base 2B,642201,Eli White,Christian Vázquez,0,1,1,False,2022-05-14,Stolen,2B,2022
2505,2B,3B,Stolen Base 3B,642201,Eli White,Christian Vázquez,1,1,1,False,2022-05-14,Stolen,3B,2022
2531,1B,2B,Stolen Base 2B,642201,Eli White,Sebastián  Rivero,1,0,2,False,2022-05-12,Stolen,2B,2022
2577,1B,2B,Stolen Base 2B,642201,Eli White,MJ Melendez,6,1,6,False,2022-05-10,Stolen,2B,2022
2701,1B,2B,Stolen Base 2B,642201,Eli White,J.T. Realmuto,0,2,10,True,2022-05-04,Stolen,2B,2022
2947,2B,3B,Stolen Base 3B,642201,Eli White,Tom Murphy,4,1,3,True,2022-04-19,Stolen,3B,2022
3039,1B,2B,Stolen Base 2B,642201,Eli White,Kurt Suzuki,3,2,4,False,2022-04-15,Stolen,2B,2022
