,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
19,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Jesus Montero,6,7,8,False,2011-09-28,Stolen,2B,2011
824,1B,2B,Stolen Base 2B,471107,Elliot Johnson,J.P. Arencibia,2,3,6,True,2011-08-27,Stolen,2B,2011
825,1B,,Caught Stealing 2B,471107,Elliot Johnson,J.P. Arencibia,3,6,8,True,2011-08-27,Caught,2B,2011
1166,1B,,Caught Stealing 2B,471107,Elliot Johnson,Russell Martin,1,4,7,True,2011-08-12,Caught,2B,2011
3118,2B,,Caught Stealing 3B,471107,Elliot Johnson,Alex Avila,0,1,5,True,2011-05-23,Caught,3B,2011
3145,1B,,Caught Stealing 2B,471107,Elliot Johnson,Brett Hayes,0,2,2,True,2011-05-22,Caught,2B,2011
3174,1B,2B,Stolen Base 2B,471107,Elliot Johnson,John Buck,5,3,9,True,2011-05-21,Stolen,2B,2011
3189,1B,,Caught Stealing 2B,471107,Elliot Johnson,John Buck,3,2,5,True,2011-05-20,Caught,2B,2011
3273,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Russell Martin,1,4,7,False,2011-05-17,Stolen,2B,2011
3514,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Matt Wieters,0,3,5,True,2011-05-06,Stolen,2B,2011
3600,1B,2B,Stolen Base 2B,471107,Elliot Johnson,J.P. Arencibia,1,2,5,False,2011-05-03,Stolen,2B,2011
4372,1B,2B,Caught Stealing 3B,471107,Elliot Johnson,Matt Wieters,1,1,3,False,2011-04-03,Caught,3B,2011
398,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Russell Martin,2,3,7,True,2012-09-14,Stolen,2B,2012
1390,1B,,Caught Stealing 2B,471107,Elliot Johnson,Kurt Suzuki,0,1,3,True,2012-08-01,Caught,2B,2012
1391,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Kurt Suzuki,0,2,5,True,2012-08-01,Stolen,2B,2012
1753,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Carlos Santana,2,0,2,False,2012-07-18,Stolen,2B,2012
1823,1B,,Caught Stealing 2B,471107,Elliot Johnson,Jarrod Saltalamacchia,3,3,2,False,2012-07-15,Caught,2B,2012
2006,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Russell Martin,1,0,5,False,2012-07-04,Stolen,3B,2012
2024,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Russell Martin,0,3,3,False,2012-07-03,Stolen,2B,2012
2210,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Salvador Perez,1,0,3,True,2012-06-25,Stolen,2B,2012
2211,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Salvador Perez,1,0,3,True,2012-06-25,Stolen,3B,2012
2256,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Carlos Ruiz,0,0,5,True,2012-06-24,Stolen,2B,2012
2395,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Brett Hayes,2,0,6,False,2012-06-17,Stolen,2B,2012
2526,1B,,Caught Stealing 2B,471107,Elliot Johnson,Josh Thole,2,3,6,False,2012-06-12,Caught,2B,2012
2843,1B,2B,Stolen Base 2B,471107,Elliot Johnson,A.J. Pierzynski,0,0,3,False,2012-05-29,Stolen,2B,2012
3012,1B,2B,Stolen Base 2B,471107,Elliot Johnson,J.P. Arencibia,1,0,3,False,2012-05-22,Stolen,2B,2012
3015,2B,,Caught Stealing 3B,471107,Elliot Johnson,J.P. Arencibia,8,5,6,False,2012-05-22,Caught,3B,2012
3164,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Jarrod Saltalamacchia,1,0,3,False,2012-05-16,Stolen,2B,2012
3184,1B,,Caught Stealing 2B,471107,Elliot Johnson,Jeff Mathis,3,4,9,True,2012-05-15,Caught,2B,2012
3220,1B,2B,Stolen Base 2B,471107,Elliot Johnson,J.P. Arencibia,1,0,3,True,2012-05-14,Stolen,2B,2012
3260,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Matt Wieters,1,5,4,True,2012-05-13,Stolen,3B,2012
3319,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Chris Stewart,5,2,9,True,2012-05-10,Stolen,2B,2012
3468,1B,2B,Stolen Base 2B,471107,Elliot Johnson,John Jaso,4,3,6,False,2012-05-03,Stolen,2B,2012
3724,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Joe Mauer,2,0,3,False,2012-04-22,Stolen,2B,2012
3791,1B,2B,Stolen Base 2B,471107,Elliot Johnson,J.P. Arencibia,3,6,8,True,2012-04-19,Stolen,2B,2012
4123,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Jose Lobaton,2,1,5,False,2012-04-04,Stolen,3B,2012
4125,3B,,Caught Stealing Home,471107,Elliot Johnson,Jose Lobaton,2,1,5,False,2012-04-04,Caught,Home,2012
15,1B,,Caught Stealing 2B,471107,Elliot Johnson,Erik Kratz,5,0,3,False,2013-09-29,Caught,2B,2013
68,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Erik Kratz,2,0,1,False,2013-09-26,Stolen,2B,2013
268,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Jhonatan Solano,1,0,8,True,2013-09-17,Stolen,2B,2013
270,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Wilson Ramos,3,4,9,True,2013-09-17,Stolen,3B,2013
272,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Wilson Ramos,3,4,9,True,2013-09-16,Stolen,3B,2013
304,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Nick Hundley,1,0,5,False,2013-09-14,Stolen,2B,2013
365,1B,,Caught Stealing 2B,471107,Elliot Johnson,Rob Brantly,1,4,4,True,2013-09-12,Caught,2B,2013
404,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Rob Brantly,3,4,8,True,2013-09-10,Stolen,2B,2013
421,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Rob Brantly,0,5,4,True,2013-09-09,Stolen,2B,2013
588,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Anthony Recker,10,5,7,False,2013-09-02,Stolen,2B,2013
745,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Yadier Molina,1,4,8,True,2013-08-25,Stolen,2B,2013
973,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Koyie Hill,1,1,4,False,2013-08-14,Stolen,2B,2013
1226,1B,2B,Stolen Base 2B,471107,Elliot Johnson,John Buck,2,0,7,True,2013-08-02,Stolen,2B,2013
1595,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Carlos Santana,0,0,5,True,2013-07-12,Stolen,2B,2013
2053,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Carlos Santana,0,1,4,True,2013-06-19,Stolen,2B,2013
2164,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Jose Lobaton,2,5,6,True,2013-06-14,Stolen,2B,2013
2212,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Alex Avila,2,3,9,False,2013-06-11,Stolen,2B,2013
2404,1B,2B,Stolen Base 2B,471107,Elliot Johnson,A.J. Pierzynski,1,1,5,True,2013-06-01,Stolen,2B,2013
2441,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Yadier Molina,2,1,5,True,2013-05-30,Stolen,2B,2013
2627,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Jason Castro,3,6,9,True,2013-05-21,Stolen,2B,2013
2628,2B,3B,Stolen Base 3B,471107,Elliot Johnson,Jason Castro,3,7,9,True,2013-05-21,Stolen,3B,2013
2739,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Chris Iannetta,0,8,3,True,2013-05-15,Stolen,2B,2013
2827,1B,2B,Stolen Base 2B,471107,Elliot Johnson,Chris Stewart,0,1,3,False,2013-05-11,Stolen,2B,2013
