,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
13,1B,2B,Caught Stealing Home,682829,Elly De La Cruz,Iván Herrera,5,0,2,True,2023-09-30,Caught,Home,2023
98,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Cam Gallagher,4,0,5,True,2023-09-27,Stolen,2B,2023
100,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Cam Gallagher,4,1,7,True,2023-09-27,Stolen,2B,2023
182,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Endy Rodríguez,4,0,2,False,2023-09-23,Stolen,2B,2023
183,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,Endy Rodríguez,4,0,2,False,2023-09-23,Stolen,3B,2023
221,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Endy Rodríguez,0,0,2,False,2023-09-22,Stolen,2B,2023
222,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,Endy Rodríguez,1,0,2,False,2023-09-22,Stolen,3B,2023
362,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Francisco Alvarez,2,3,6,True,2023-09-16,Stolen,2B,2023
413,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Jake Rogers,1,0,3,True,2023-09-14,Stolen,2B,2023
427,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Carson Kelly,3,4,6,True,2023-09-13,Stolen,2B,2023
630,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Cal Raleigh,3,7,6,False,2023-09-06,Stolen,2B,2023
655,1B,,Caught Stealing 2B,682829,Elly De La Cruz,Cal Raleigh,0,2,2,False,2023-09-05,Caught,2B,2023
658,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Cal Raleigh,7,6,9,False,2023-09-05,Stolen,2B,2023
778,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Miguel Amaya,0,0,3,False,2023-09-01,Stolen,2B,2023
803,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Patrick Bailey,0,2,6,True,2023-08-30,Stolen,2B,2023
877,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,Jose Herrera,4,2,8,True,2023-08-26,Stolen,3B,2023
951,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Matt Thaiss,1,1,3,True,2023-08-23,Stolen,2B,2023
982,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Logan O'Hoppe,0,1,1,True,2023-08-22,Stolen,2B,2023
985,1B,,Caught Stealing 2B,682829,Elly De La Cruz,Logan O'Hoppe,3,4,7,True,2023-08-22,Caught,2B,2023
1008,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Matt Thaiss,1,1,3,True,2023-08-21,Stolen,2B,2023
1115,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Bo Naylor,7,2,8,False,2023-08-16,Stolen,2B,2023
1181,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Endy Rodríguez,0,0,1,True,2023-08-13,Stolen,2B,2023
1188,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Endy Rodríguez,0,0,1,True,2023-08-12,Stolen,2B,2023
1706,1B,,Caught Stealing 2B,682829,Elly De La Cruz,Patrick Bailey,0,0,1,False,2023-07-20,Caught,2B,2023
1765,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Patrick Bailey,2,2,9,False,2023-07-18,Stolen,2B,2023
1778,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Patrick Bailey,2,2,9,False,2023-07-17,Stolen,2B,2023
1895,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,William Contreras,5,7,7,True,2023-07-08,Stolen,2B,2023
1896,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,William Contreras,5,7,7,True,2023-07-08,Stolen,3B,2023
1897,3B,score,Stolen Base Home,682829,Elly De La Cruz,William Contreras,5,7,7,True,2023-07-08,Stolen,Home,2023
1923,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Victor Caratini,4,2,5,True,2023-07-07,Stolen,2B,2023
1957,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Riley Adams,0,0,2,True,2023-07-06,Stolen,2B,2023
1978,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,Keibert Ruiz,2,8,8,True,2023-07-05,Stolen,3B,2023
2014,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Riley Adams,0,2,3,True,2023-07-04,Stolen,2B,2023
2016,1B,,Caught Stealing 2B,682829,Elly De La Cruz,Riley Adams,2,7,6,True,2023-07-04,Caught,2B,2023
2158,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Adley Rutschman,7,7,9,True,2023-06-28,Stolen,2B,2023
2241,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Travis d'Arnaud,4,6,5,False,2023-06-24,Stolen,2B,2023
2273,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Travis d'Arnaud,6,7,5,False,2023-06-23,Stolen,2B,2023
2275,3B,,Caught Stealing Home,682829,Elly De La Cruz,Travis d'Arnaud,11,7,6,False,2023-06-23,Caught,Home,2023
2401,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,Yainer Diaz,2,6,7,True,2023-06-17,Stolen,3B,2023
2510,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Salvador Perez,1,1,2,True,2023-06-13,Stolen,2B,2023
2524,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Salvador Perez,3,3,6,True,2023-06-12,Stolen,2B,2023
2537,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Willson Contreras,3,2,6,True,2023-06-11,Stolen,2B,2023
2583,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Andrew Knizner,0,5,5,True,2023-06-10,Stolen,2B,2023
2638,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Austin Barnes,0,0,2,False,2023-06-08,Stolen,2B,2023
4136,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,Miguel Amaya,0,0,3,False,2023-04-05,Stolen,2B,2023
