,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
63,1B,2B,Stolen Base 2B,136767,Eric Chavez,Bengie Molina,0,3,5,False,2000-09-28,Stolen,2B,2000
725,3B,score,Stolen Base Home,136767,Eric Chavez,Darrin Fletcher,0,3,2,True,2000-09-01,Stolen,Home,2000
1160,1B,,Caught Stealing 2B,136767,Eric Chavez,Brad Ausmus,6,0,6,False,2000-08-12,Caught,2B,2000
2308,2B,,Caught Stealing 3B,136767,Eric Chavez,Gregg Zaun,1,3,5,True,2000-06-17,Caught,3B,2000
570,1B,,Caught Stealing 2B,136767,Eric Chavez,Jason Varitek,1,0,3,True,2001-05-13,Caught,2B,2001
735,2B,3B,Stolen Base 3B,136767,Eric Chavez,Jason Varitek,3,5,8,False,2001-05-06,Stolen,3B,2001
784,1B,2B,Stolen Base 2B,136767,Eric Chavez,Scott Hatteberg,0,3,3,False,2001-05-04,Stolen,2B,2001
136,1B,2B,Stolen Base 2B,136767,Eric Chavez,Ivan Rodriguez,6,5,7,False,2002-09-22,Stolen,2B,2002
229,1B,2B,Stolen Base 2B,136767,Eric Chavez,José Molina,7,4,8,False,2002-09-18,Stolen,2B,2002
322,1B,2B,Stolen Base 2B,136767,Eric Chavez,Ben Davis,0,0,1,False,2002-09-14,Stolen,2B,2002
553,1B,2B,Stolen Base 2B,136767,Eric Chavez,A.J. Hinch,6,5,6,False,2002-09-02,Stolen,2B,2002
724,1B,,Caught Stealing 2B,136767,Eric Chavez,Brandon Inge,0,2,1,True,2002-08-25,Caught,2B,2002
1361,1B,2B,Stolen Base 2B,136767,Eric Chavez,José Molina,0,0,2,True,2002-07-23,Stolen,2B,2002
1826,1B,2B,Stolen Base 2B,136767,Eric Chavez,A.J. Pierzynski,4,5,9,False,2002-07-01,Stolen,2B,2002
2127,1B,,Caught Stealing 2B,136767,Eric Chavez,Benito Santiago,1,2,6,True,2002-06-16,Caught,2B,2002
2534,1B,2B,Stolen Base 2B,136767,Eric Chavez,Geronimo Gil,5,5,5,True,2002-05-29,Stolen,2B,2002
2561,1B,2B,Stolen Base 2B,136767,Eric Chavez,Geronimo Gil,2,4,3,True,2002-05-28,Stolen,2B,2002
2915,1B,,Caught Stealing 2B,136767,Eric Chavez,Jason Varitek,0,0,1,True,2002-05-15,Caught,2B,2002
1294,1B,,Caught Stealing 2B,136767,Eric Chavez,José Molina,1,4,7,True,2003-07-26,Caught,2B,2003
1306,1B,2B,Stolen Base 2B,136767,Eric Chavez,Bengie Molina,0,0,6,True,2003-07-25,Stolen,2B,2003
1564,1B,2B,Stolen Base 2B,136767,Eric Chavez,Geronimo Gil,0,0,4,False,2003-07-11,Stolen,2B,2003
1890,1B,2B,Stolen Base 2B,136767,Eric Chavez,Todd Greene,0,0,2,True,2003-06-24,Stolen,2B,2003
2394,1B,2B,Stolen Base 2B,136767,Eric Chavez,Brent Mayne,0,2,1,True,2003-05-30,Stolen,2B,2003
2524,1B,2B,Stolen Base 2B,136767,Eric Chavez,Brent Mayne,2,0,6,False,2003-05-23,Stolen,2B,2003
2934,1B,2B,Stolen Base 2B,136767,Eric Chavez,John Flaherty,0,1,1,True,2003-05-04,Stolen,2B,2003
3194,1B,,Caught Stealing 2B,136767,Eric Chavez,Einar Díaz,1,1,6,False,2003-04-20,Caught,2B,2003
3297,1B,2B,Stolen Base 2B,136767,Eric Chavez,Ben Davis,1,2,6,True,2003-04-16,Stolen,2B,2003
3515,1B,2B,Stolen Base 2B,136767,Eric Chavez,Bengie Molina,3,0,1,False,2003-04-04,Stolen,2B,2003
237,1B,2B,Stolen Base 2B,136767,Eric Chavez,Dan Wilson,1,2,5,True,2004-09-19,Stolen,2B,2004
594,1B,,Caught Stealing 2B,136767,Eric Chavez,Ben Davis,0,0,1,True,2004-09-02,Caught,2B,2004
