,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
690,2B,3B,Stolen Base 3B,553993,Eugenio Suárez,Tyler Flowers,1,6,4,True,2014-08-29,Stolen,3B,2014
1171,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Brian McCann,2,1,5,True,2014-08-04,Stolen,2B,2014
1359,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Hank Conger,3,5,8,True,2014-07-24,Stolen,2B,2014
1908,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Robinson Chirinos,0,3,2,True,2014-06-25,Caught,2B,2014
522,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Miguel Montero,0,2,2,True,2015-09-02,Stolen,2B,2015
1664,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Kurt Suzuki,9,7,4,False,2015-06-29,Stolen,2B,2015
1668,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Kurt Suzuki,10,7,6,False,2015-06-29,Stolen,2B,2015
2031,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Miguel Montero,4,5,10,True,2015-06-12,Stolen,2B,2015
169,2B,3B,Stolen Base 3B,553993,Eugenio Suárez,Francisco Cervelli,2,2,9,True,2016-08-05,Stolen,3B,2016
506,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,A.J. Pierzynski,6,2,7,False,2016-07-20,Stolen,2B,2016
507,2B,,Caught Stealing 3B,553993,Eugenio Suárez,A.J. Pierzynski,6,2,7,False,2016-07-20,Caught,3B,2016
791,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Jose Lobaton,1,1,4,True,2016-07-01,Stolen,2B,2016
792,2B,,Caught Stealing 3B,553993,Eugenio Suárez,Jose Lobaton,1,1,4,True,2016-07-01,Caught,3B,2016
940,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Robinson Chirinos,0,0,2,True,2016-06-22,Stolen,2B,2016
998,2B,,Caught Stealing 3B,553993,Eugenio Suárez,Evan Gattis,2,0,5,True,2016-06-19,Caught,3B,2016
1706,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Carlos Ruiz,0,2,3,True,2016-05-13,Caught,2B,2016
2037,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Kevin Plawecki,3,1,6,True,2016-04-25,Stolen,2B,2016
2179,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Tony Wolters,4,1,2,False,2016-04-19,Stolen,2B,2016
2284,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Miguel Montero,0,0,1,True,2016-04-13,Stolen,2B,2016
2389,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Francisco Cervelli,1,0,1,False,2016-04-08,Stolen,2B,2016
787,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Tyler Flowers,0,0,2,True,2017-08-20,Caught,2B,2017
845,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Alex Avila,10,12,8,True,2017-08-17,Stolen,2B,2017
1073,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Yadier Molina,1,0,2,False,2017-08-05,Caught,2B,2017
2306,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Andrew Knapp,0,1,1,True,2017-05-28,Caught,2B,2017
2333,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Cameron Rupp,3,3,6,True,2017-05-27,Stolen,2B,2017
2640,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Nick Hundley,1,1,4,True,2017-05-11,Stolen,2B,2017
2787,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Francisco Cervelli,4,2,8,False,2017-05-04,Caught,2B,2017
3239,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Francisco Cervelli,0,5,2,True,2017-04-10,Stolen,2B,2017
162,1B,,Caught Stealing 2B,553993,Eugenio Suárez,J.T. Realmuto,0,0,2,True,2018-09-22,Caught,2B,2018
1742,2B,3B,Stolen Base 3B,553993,Eugenio Suárez,Erik Kratz,2,0,1,False,2018-06-28,Stolen,3B,2018
916,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Tyler Flowers,0,3,7,True,2019-08-04,Stolen,2B,2019
1142,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Matt Wieters,3,2,8,False,2019-07-20,Stolen,2B,2019
2237,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Stephen Vogt,0,2,1,True,2019-05-12,Stolen,2B,2019
2295,2B,,Caught Stealing 3B,553993,Eugenio Suárez,Josh Phegley,0,3,8,True,2019-05-09,Caught,3B,2019
671,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Omar Narváez,0,2,4,True,2020-08-25,Stolen,2B,2020
784,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Meibrys Viloria,0,4,5,True,2020-08-19,Stolen,2B,2020
793,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Meibrys Viloria,0,4,5,True,2020-08-18,Stolen,2B,2020
1561,1B,,Caught Stealing 2B,553993,Eugenio Suárez,Ryan Jeffers,0,0,2,True,2021-06-22,Caught,2B,2021
1439,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Connor Wong,6,3,7,False,2023-08-02,Stolen,2B,2023
3304,1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Jonah Heim,3,4,8,False,2023-05-10,Stolen,2B,2023
3853,2B,,Caught Stealing 3B,553993,Eugenio Suárez,William Contreras,1,3,4,False,2023-04-17,Caught,3B,2023
