,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
199,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Javier Valentin,8,8,10,False,2007-09-21,Stolen,2B,2007
221,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Javier Valentin,0,0,1,False,2007-09-20,Stolen,2B,2007
239,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Chris Snyder,6,4,8,True,2007-09-19,Stolen,2B,2007
312,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Josh Bard,4,1,8,True,2007-09-16,Stolen,2B,2007
50,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Danny Ardoin,4,5,9,False,2008-09-26,Stolen,2B,2008
190,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Danny Ardoin,0,2,2,True,2008-09-19,Stolen,2B,2008
234,1B,,Caught Stealing 2B,464299,Eugenio Velez,Chris Snyder,6,3,4,True,2008-09-17,Caught,2B,2008
255,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Chris Snyder,1,0,5,True,2008-09-16,Stolen,2B,2008
804,1B,2B,Stolen Base 2B,464299,Eugenio Velez,John Baker,2,2,4,False,2008-08-21,Stolen,2B,2008
910,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Brian McCann,0,2,4,True,2008-08-15,Stolen,2B,2008
1277,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Chris Snyder,1,0,1,False,2008-07-26,Stolen,2B,2008
1359,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Jesus Flores,1,0,1,False,2008-07-22,Stolen,2B,2008
2918,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Ryan Doumit,5,4,9,True,2008-05-08,Stolen,2B,2008
3003,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Carlos Ruiz,1,2,5,True,2008-05-03,Stolen,2B,2008
3088,1B,2B,Caught Stealing Home,464299,Eugenio Velez,Yorvit Torrealba,1,1,1,False,2008-04-29,Caught,Home,2008
3117,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Yorvit Torrealba,4,0,8,False,2008-04-28,Stolen,2B,2008
3151,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Paul Bako,2,3,3,False,2008-04-26,Stolen,2B,2008
3181,2B,3B,Stolen Base 3B,464299,Eugenio Velez,David Ross,2,0,8,False,2008-04-25,Stolen,3B,2008
3234,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Josh Bard,0,0,3,True,2008-04-23,Stolen,2B,2008
3424,1B,,Caught Stealing 2B,464299,Eugenio Velez,Chris Snyder,0,3,4,False,2008-04-15,Caught,2B,2008
3490,1B,,Caught Stealing 2B,464299,Eugenio Velez,Jason LaRue,0,0,3,False,2008-04-12,Caught,2B,2008
3576,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Colt Morton,2,2,10,False,2008-04-08,Stolen,2B,2008
3698,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Russell Martin,0,0,1,True,2008-04-02,Stolen,2B,2008
70,1B,,Caught Stealing 2B,464299,Eugenio Velez,Carlos Ruiz,3,1,3,False,2009-07-30,Caught,2B,2009
1643,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Nick Hundley,0,0,1,True,2009-05-19,Stolen,2B,2009
3924,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Landon Powell,1,1,7,False,2010-04-02,Stolen,2B,2010
1662,1B,2B,Stolen Base 2B,464299,Eugenio Velez,Wilson Ramos,5,6,7,False,2011-07-23,Stolen,2B,2011
