,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
119,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Craig Tatum,2,2,4,True,2009-07-28,Stolen,3B,2009
120,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Craig Tatum,2,2,6,True,2009-07-28,Stolen,2B,2009
174,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Josh Bard,0,0,1,True,2009-07-26,Stolen,2B,2009
189,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Wil Nieves,7,0,3,True,2009-07-25,Stolen,2B,2009
221,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Josh Bard,0,1,1,True,2009-07-24,Stolen,2B,2009
240,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Carlos Ruiz,9,4,8,True,2009-07-23,Stolen,2B,2009
440,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Eli Whiteside,2,1,8,True,2009-07-11,Stolen,3B,2009
541,1B,,Caught Stealing 2B,465784,Everth Cabrera,Miguel Montero,0,2,5,True,2009-07-08,Caught,2B,2009
573,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,3,5,8,True,2009-07-06,Stolen,2B,2009
574,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Miguel Montero,3,5,8,True,2009-07-06,Stolen,3B,2009
628,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Russell Martin,0,6,3,False,2009-07-03,Stolen,2B,2009
779,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Jarrod Saltalamacchia,1,4,4,True,2009-06-27,Stolen,3B,2009
858,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Jamie Burke,1,4,5,True,2009-06-23,Stolen,2B,2009
859,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Jamie Burke,1,4,5,True,2009-06-23,Stolen,3B,2009
2378,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Carlos Ruiz,9,4,8,True,2009-04-20,Stolen,2B,2009
2730,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ryan Budde,4,6,6,False,2009-04-03,Stolen,2B,2009
2732,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ryan Budde,5,6,8,False,2009-04-03,Stolen,2B,2009
2777,1B,2B,Stolen Base 2B,465784,Everth Cabrera,A.J. Pierzynski,1,6,9,True,2009-04-01,Stolen,2B,2009
2778,2B,3B,Stolen Base 3B,465784,Everth Cabrera,A.J. Pierzynski,1,6,9,True,2009-04-01,Stolen,3B,2009
76,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Koyie Hill,0,1,9,False,2010-09-27,Stolen,2B,2010
136,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ramon Hernandez,3,3,8,False,2010-09-25,Stolen,2B,2010
436,1B,,Caught Stealing 2B,465784,Everth Cabrera,Eli Whiteside,0,1,8,False,2010-09-10,Caught,2B,2010
1379,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Russell Martin,0,2,7,False,2010-07-27,Stolen,2B,2010
1567,1B,,Caught Stealing 2B,465784,Everth Cabrera,Brian McCann,2,1,5,True,2010-07-20,Caught,2B,2010
1596,3B,,Caught Stealing Home,465784,Everth Cabrera,Miguel Montero,4,3,6,False,2010-07-18,Caught,Home,2010
2053,1B,,Caught Stealing 2B,465784,Everth Cabrera,Ronny Paulino,0,3,9,True,2010-06-25,Caught,2B,2010
2770,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Rob Johnson,0,1,2,True,2010-05-23,Stolen,2B,2010
2771,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Rob Johnson,0,2,7,True,2010-05-23,Stolen,2B,2010
2855,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Russell Martin,4,8,7,True,2010-05-19,Stolen,2B,2010
3443,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ramon Hernandez,5,4,9,True,2010-04-25,Stolen,2B,2010
3584,1B,2B,Stolen Base 2B,465784,Everth Cabrera,John Hester,2,2,7,False,2010-04-18,Stolen,2B,2010
3697,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Brian McCann,0,0,3,False,2010-04-14,Stolen,2B,2010
3818,1B,,Caught Stealing 2B,465784,Everth Cabrera,Miguel Olivo,3,0,8,True,2010-04-09,Caught,2B,2010
3867,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,3,5,8,True,2010-04-06,Stolen,2B,2010
3931,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Robert Lara,0,4,2,True,2010-04-02,Stolen,2B,2010
3932,2B,,Caught Stealing 3B,465784,Everth Cabrera,Robert Lara,0,4,2,True,2010-04-02,Caught,3B,2010
1789,2B,3B,Stolen Base 3B,465784,Everth Cabrera,John Buck,0,2,5,True,2011-07-19,Stolen,3B,2011
1825,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Eli Whiteside,1,0,1,False,2011-07-17,Stolen,2B,2011
4,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Eli Whiteside,2,1,3,False,2012-09-30,Stolen,2B,2012
5,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Eli Whiteside,2,1,3,False,2012-09-30,Stolen,3B,2012
6,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Eli Whiteside,4,2,5,False,2012-09-30,Stolen,2B,2012
7,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Eli Whiteside,4,2,5,False,2012-09-30,Stolen,3B,2012
144,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Eli Whiteside,0,0,1,True,2012-09-23,Stolen,2B,2012
147,1B,,Caught Stealing 2B,465784,Everth Cabrera,Eli Whiteside,2,1,5,True,2012-09-23,Caught,2B,2012
150,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Eli Whiteside,3,6,8,True,2012-09-23,Stolen,2B,2012
151,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Eli Whiteside,3,6,8,True,2012-09-23,Stolen,3B,2012
198,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Buster Posey,5,1,8,True,2012-09-21,Stolen,2B,2012
320,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Wilin Rosario,3,5,4,False,2012-09-16,Stolen,2B,2012
321,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Wilin Rosario,9,5,5,False,2012-09-16,Stolen,3B,2012
377,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Wilin Rosario,4,5,2,False,2012-09-14,Stolen,2B,2012
442,1B,,Caught Stealing 2B,465784,Everth Cabrera,Yadier Molina,0,0,1,False,2012-09-11,Caught,2B,2012
444,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Yadier Molina,5,4,7,False,2012-09-11,Stolen,2B,2012
511,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Miguel Montero,2,3,2,False,2012-09-08,Stolen,3B,2012
586,1B,2B,Stolen Base 2B,465784,Everth Cabrera,A.J. Ellis,3,4,9,True,2012-09-05,Stolen,2B,2012
587,2B,3B,Stolen Base 3B,465784,Everth Cabrera,A.J. Ellis,3,4,9,True,2012-09-05,Stolen,3B,2012
625,1B,2B,Stolen Base 2B,465784,Everth Cabrera,A.J. Ellis,0,2,3,True,2012-09-03,Stolen,2B,2012
769,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Brian McCann,0,2,9,False,2012-08-28,Stolen,2B,2012
833,1B,,Caught Stealing 2B,465784,Everth Cabrera,Miguel Montero,2,1,3,True,2012-08-25,Caught,2B,2012
909,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Michael McKenry,0,0,1,False,2012-08-22,Stolen,2B,2012
911,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Michael McKenry,3,0,3,False,2012-08-22,Stolen,2B,2012
927,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Michael McKenry,0,0,1,False,2012-08-21,Stolen,2B,2012
975,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Buster Posey,3,1,4,False,2012-08-19,Stolen,3B,2012
1059,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Brian McCann,2,0,3,True,2012-08-16,Stolen,2B,2012
1330,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Josh Thole,1,1,6,False,2012-08-03,Stolen,3B,2012
1675,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ramon Hernandez,5,6,7,False,2012-07-21,Stolen,2B,2012
1762,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Chris Snyder,6,3,6,False,2012-07-18,Stolen,2B,2012
1831,3B,score,Stolen Base Home,465784,Everth Cabrera,A.J. Ellis,6,7,9,True,2012-07-14,Stolen,Home,2012
2018,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,0,2,2,True,2012-07-03,Stolen,2B,2012
2019,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Miguel Montero,0,2,2,True,2012-07-03,Stolen,3B,2012
2051,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,0,2,6,True,2012-07-02,Stolen,2B,2012
2167,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Chris Snyder,1,0,4,True,2012-06-27,Stolen,2B,2012
2338,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Yorvit Torrealba,2,0,4,False,2012-06-20,Stolen,2B,2012
2348,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Mike Napoli,1,0,2,False,2012-06-19,Stolen,2B,2012
2472,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Jesus Montero,0,0,1,True,2012-06-14,Stolen,2B,2012
2509,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Olivo,0,1,3,True,2012-06-12,Stolen,2B,2012
2511,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Olivo,1,5,9,True,2012-06-12,Stolen,2B,2012
2512,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Miguel Olivo,1,5,9,True,2012-06-12,Stolen,3B,2012
2592,1B,2B,Stolen Base 2B,465784,Everth Cabrera,George Kottaras,1,0,3,True,2012-06-09,Stolen,2B,2012
2812,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Steve Clevenger,0,0,1,True,2012-05-30,Stolen,2B,2012
2850,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Koyie Hill,0,1,5,True,2012-05-29,Stolen,3B,2012
2867,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Blake Lalli,8,7,7,True,2012-05-28,Stolen,2B,2012
2970,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Rob Johnson,1,5,4,True,2012-05-24,Stolen,2B,2012
1164,1B,,Caught Stealing 2B,465784,Everth Cabrera,Austin Romine,3,0,2,False,2013-08-04,Caught,2B,2013
1211,2B,,Caught Stealing 3B,465784,Everth Cabrera,Chris Stewart,2,2,2,False,2013-08-02,Caught,3B,2013
1263,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Devin Mesoraco,1,1,5,False,2013-07-30,Stolen,2B,2013
1282,1B,,Caught Stealing 2B,465784,Everth Cabrera,Devin Mesoraco,0,1,5,False,2013-07-29,Caught,2B,2013
1324,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,1,7,4,True,2013-07-27,Stolen,2B,2013
1325,1B,,Caught Stealing 2B,465784,Everth Cabrera,Miguel Montero,3,9,6,True,2013-07-27,Caught,2B,2013
1369,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Jonathan Lucroy,0,0,1,True,2013-07-25,Stolen,2B,2013
1523,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Guillermo Quiroz,3,1,3,False,2013-07-14,Stolen,2B,2013
1541,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Buster Posey,0,8,6,False,2013-07-13,Stolen,2B,2013
1613,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Yorvit Torrealba,0,3,5,False,2013-07-10,Stolen,2B,2013
2109,1B,,Caught Stealing 2B,465784,Everth Cabrera,Miguel Montero,0,0,1,False,2013-06-16,Caught,2B,2013
2123,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,6,3,7,False,2013-06-15,Stolen,2B,2013
2201,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Evan Gattis,5,1,5,False,2013-06-12,Stolen,2B,2013
2237,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Yorvit Torrealba,4,2,6,True,2013-06-09,Stolen,3B,2013
2258,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Wilin Rosario,0,1,1,True,2013-06-08,Stolen,2B,2013
2261,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Wilin Rosario,1,4,6,True,2013-06-08,Stolen,2B,2013
2285,1B,,Caught Stealing 2B,465784,Everth Cabrera,Yorvit Torrealba,0,0,1,True,2013-06-07,Caught,2B,2013
2301,2B,3B,Stolen Base 3B,465784,Everth Cabrera,Wilin Rosario,5,5,9,True,2013-06-06,Stolen,3B,2013
2314,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Tim Federowicz,2,3,9,True,2013-06-05,Stolen,2B,2013
2341,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Tim Federowicz,2,5,5,True,2013-06-04,Stolen,2B,2013
2359,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ramon Hernandez,0,0,1,True,2013-06-03,Stolen,2B,2013
2360,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Ramon Hernandez,2,1,8,True,2013-06-03,Stolen,2B,2013
2370,1B,2B,Stolen Base 2B,465784,Everth Cabrera,J.P. Arencibia,4,4,7,False,2013-06-02,Stolen,2B,2013
2371,2B,3B,Stolen Base 3B,465784,Everth Cabrera,J.P. Arencibia,4,4,7,False,2013-06-02,Stolen,3B,2013
2464,2B,,Caught Stealing 3B,465784,Everth Cabrera,Kelly Shoppach,1,1,4,False,2013-05-29,Caught,3B,2013
2551,1B,2B,Stolen Base 2B,465784,Everth Cabrera,Miguel Montero,0,0,1,True,2013-05-25,Stolen,2B,2013
