,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1195,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Carlos Ruiz,4,2,7,False,2010-08-05,Stolen,2B,2010
1523,2B,3B,Stolen Base 3B,459991,Gaby Sanchez,Miguel Olivo,1,0,1,False,2010-07-22,Stolen,3B,2010
2186,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,John Jaso,8,9,11,False,2010-06-19,Stolen,2B,2010
2259,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Max Ramirez,0,1,1,False,2010-06-15,Stolen,2B,2010
2782,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,A.J. Pierzynski,0,7,4,True,2010-05-23,Stolen,2B,2010
2900,1B,2B,Caught Stealing 3B,459991,Gaby Sanchez,Chris Snyder,0,0,2,False,2010-05-18,Caught,3B,2010
1225,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,David Ross,3,3,8,False,2011-08-09,Stolen,2B,2011
1417,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Josh Thole,1,3,5,True,2011-08-01,Stolen,2B,2011
2324,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Miguel Olivo,1,0,6,False,2011-06-24,Stolen,2B,2011
3385,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,John Baker,2,6,8,True,2012-05-06,Stolen,2B,2012
1832,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Martín Maldonado,1,1,14,False,2013-06-30,Stolen,2B,2013
2231,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Eli Whiteside,2,2,3,False,2014-06-10,Stolen,2B,2014
2845,1B,2B,Stolen Base 2B,459991,Gaby Sanchez,Tony Cruz,4,3,7,False,2014-05-10,Stolen,2B,2014
