,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
3417,1B,,Caught Stealing 2B,408042,Gerald Laird,José Molina,7,6,6,False,2004-04-10,Caught,2B,2004
714,1B,2B,Stolen Base 2B,408042,Gerald Laird,A.J. Pierzynski,3,1,3,False,2007-08-30,Stolen,2B,2007
897,1B,2B,Stolen Base 2B,408042,Gerald Laird,J.R. House,3,5,4,True,2007-08-22,Stolen,2B,2007
919,1B,2B,Stolen Base 2B,408042,Gerald Laird,J.R. House,3,5,4,True,2007-08-20,Stolen,2B,2007
1537,1B,2B,Stolen Base 2B,408042,Gerald Laird,Jamie Burke,1,0,4,False,2007-07-24,Stolen,2B,2007
2250,2B,,Caught Stealing 3B,408042,Gerald Laird,Koyie Hill,4,0,4,False,2007-06-20,Caught,3B,2007
2447,1B,2B,Stolen Base 2B,408042,Gerald Laird,Damian Miller,3,2,5,False,2007-06-10,Stolen,2B,2007
3031,1B,2B,Stolen Base 2B,408042,Gerald Laird,Mike Napoli,0,2,3,False,2007-05-13,Stolen,2B,2007
3423,1B,2B,Stolen Base 2B,408042,Gerald Laird,Jamie Burke,1,0,4,False,2007-04-24,Stolen,2B,2007
3802,1B,2B,Stolen Base 2B,408042,Gerald Laird,Doug Mirabelli,2,0,2,False,2007-04-06,Stolen,2B,2007
380,1B,,Caught Stealing 2B,408042,Gerald Laird,Kenji Johjima,4,4,5,True,2008-09-10,Caught,2B,2008
720,1B,2B,Stolen Base 2B,408042,Gerald Laird,John Buck,0,1,2,True,2008-08-25,Stolen,2B,2008
2008,1B,2B,Stolen Base 2B,408042,Gerald Laird,Brian McCann,5,0,4,False,2008-06-17,Stolen,2B,2008
3459,1B,,Caught Stealing 2B,408042,Gerald Laird,Rod Barajas,1,1,2,False,2008-04-13,Caught,2B,2008
93,2B,3B,Stolen Base 3B,408042,Gerald Laird,Taylor Teagarden,4,9,6,True,2009-07-29,Stolen,3B,2009
1400,1B,2B,Caught Stealing Home,408042,Gerald Laird,Matt Wieters,3,6,8,True,2009-05-30,Caught,Home,2009
2431,1B,2B,Stolen Base 2B,408042,Gerald Laird,Rob Johnson,0,3,4,True,2009-04-17,Stolen,2B,2009
1203,1B,2B,Stolen Base 2B,408042,Gerald Laird,Ramon Castro,0,0,2,False,2010-08-05,Stolen,2B,2010
2009,1B,2B,Stolen Base 2B,408042,Gerald Laird,Brian McCann,4,8,6,True,2010-06-27,Stolen,2B,2010
2329,1B,,Caught Stealing 2B,408042,Gerald Laird,Jason Jaramillo,3,3,8,False,2010-06-12,Caught,2B,2010
3295,1B,2B,Stolen Base 2B,408042,Gerald Laird,Mike Napoli,2,2,8,False,2010-05-01,Stolen,2B,2010
1081,1B,2B,Stolen Base 2B,408042,Gerald Laird,Ryan Doumit,3,3,8,True,2011-08-16,Stolen,2B,2011
3532,1B,,Caught Stealing 2B,408042,Gerald Laird,John Buck,1,0,4,False,2011-05-05,Caught,2B,2011
744,1B,,Caught Stealing 2B,408042,Gerald Laird,Yadier Molina,0,3,6,True,2013-08-25,Caught,2B,2013
3196,1B,2B,Stolen Base 2B,408042,Gerald Laird,Yorvit Torrealba,1,2,4,True,2013-04-23,Stolen,2B,2013
