,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
674,1B,2B,Stolen Base 2B,425785,Greg Dobbs,A.J. Pierzynski,0,2,2,False,2005-08-27,Stolen,2B,2005
676,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Matt Treanor,9,4,8,True,2007-09-01,Stolen,2B,2007
1135,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Brian McCann,0,1,2,False,2007-08-11,Stolen,2B,2007
2883,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Jason Phillips,3,0,3,False,2007-05-20,Stolen,2B,2007
848,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Jesus Flores,2,4,5,False,2008-08-19,Stolen,2B,2008
1901,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Mike Napoli,0,0,1,False,2008-06-22,Stolen,2B,2008
2692,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Rod Barajas,1,4,7,False,2008-05-17,Stolen,2B,2008
3524,1B,,Caught Stealing 2B,425785,Greg Dobbs,Geovany Soto,0,2,1,False,2008-04-11,Caught,2B,2008
1300,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Nick Hundley,0,3,4,True,2009-06-03,Stolen,2B,2009
1147,1B,,Caught Stealing 2B,425785,Greg Dobbs,Josh Thole,6,5,8,False,2010-08-08,Caught,2B,2010
2938,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Ryan Doumit,6,1,4,False,2010-05-17,Stolen,2B,2010
1903,1B,,Caught Stealing 2B,425785,Greg Dobbs,Tony Cruz,2,4,9,True,2012-07-08,Caught,2B,2012
2042,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Martín Maldonado,3,2,4,True,2012-07-03,Stolen,2B,2012
2092,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Carlos Ruiz,3,1,4,False,2012-07-01,Stolen,2B,2012
2318,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Jarrod Saltalamacchia,0,3,1,True,2012-06-21,Stolen,2B,2012
3408,1B,,Caught Stealing 2B,425785,Greg Dobbs,Nick Hundley,1,3,8,True,2012-05-05,Caught,2B,2012
3754,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Wilson Ramos,0,0,5,True,2012-04-21,Stolen,2B,2012
2630,1B,2B,Stolen Base 2B,425785,Greg Dobbs,Erik Kratz,0,0,2,False,2013-05-21,Stolen,2B,2013
3083,1B,,Caught Stealing 2B,425785,Greg Dobbs,Dioner Navarro,2,3,4,False,2013-04-28,Caught,2B,2013
