,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
197,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Mike Piazza,1,1,3,True,2002-09-20,Stolen,2B,2002
785,1B,,Caught Stealing 2B,425206,Jamey Carroll,Paul Lo Duca,5,7,9,True,2003-08-19,Caught,2B,2003
1079,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Chad Moeller,0,0,1,True,2003-08-05,Stolen,2B,2003
1541,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Ivan Rodriguez,5,0,2,False,2003-07-12,Stolen,2B,2003
1933,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Tom Wilson,0,0,3,False,2003-06-21,Stolen,2B,2003
2363,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Todd Pratt,1,1,5,True,2003-06-01,Stolen,2B,2003
2369,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Todd Pratt,1,1,5,True,2003-05-31,Stolen,2B,2003
2413,2B,3B,Stolen Base 3B,425206,Jamey Carroll,Mike Redmond,0,0,5,True,2003-05-29,Stolen,3B,2003
2679,1B,,Caught Stealing 2B,425206,Jamey Carroll,Bobby Estalella,1,1,7,True,2003-05-16,Caught,2B,2003
191,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Jason Phillips,0,2,4,False,2004-09-22,Stolen,2B,2004
209,2B,3B,Stolen Base 3B,425206,Jamey Carroll,Jason Phillips,0,0,1,False,2004-09-21,Stolen,3B,2004
316,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Paul Lo Duca,4,3,8,True,2004-09-16,Stolen,2B,2004
1983,2B,3B,Stolen Base 3B,425206,Jamey Carroll,Sandy Alomar Jr.,1,0,1,False,2004-06-19,Stolen,3B,2004
2623,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Gary Bennett,1,2,6,False,2004-05-20,Stolen,2B,2004
3042,1B,,Caught Stealing 2B,425206,Jamey Carroll,Ramon Hernandez,2,4,8,True,2004-04-28,Caught,2B,2004
106,2B,3B,Stolen Base 3B,425206,Jamey Carroll,Paul Lo Duca,0,1,3,True,2005-09-26,Stolen,3B,2005
108,1B,,Caught Stealing 2B,425206,Jamey Carroll,Paul Lo Duca,0,4,9,True,2005-09-26,Caught,2B,2005
1606,1B,2B,Caught Stealing 3B,425206,Jamey Carroll,Todd Pratt,3,5,6,True,2005-07-08,Caught,3B,2005
1641,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Ramon Castro,3,4,6,False,2005-07-06,Stolen,2B,2005
2576,1B,,Caught Stealing 2B,425206,Jamey Carroll,Damian Miller,0,0,1,False,2005-05-18,Caught,2B,2005
2771,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Yorvit Torrealba,3,3,10,True,2005-05-08,Stolen,2B,2005
2802,1B,,Caught Stealing 2B,425206,Jamey Carroll,Mike Matheny,0,0,1,True,2005-05-07,Caught,2B,2005
1029,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Josh Bard,0,3,9,True,2007-08-15,Stolen,2B,2007
1405,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Russell Martin,3,0,3,False,2007-07-29,Stolen,2B,2007
1407,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Russell Martin,7,2,6,False,2007-07-29,Stolen,2B,2007
2740,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Bengie Molina,1,1,4,True,2007-05-27,Stolen,2B,2007
2932,1B,2B,Stolen Base 2B,425206,Jamey Carroll,John Buck,2,0,7,False,2007-05-18,Stolen,2B,2007
3506,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Rob Bowen,0,3,1,False,2007-04-20,Stolen,2B,2007
3556,1B,,Caught Stealing 2B,425206,Jamey Carroll,Mike Lieberthal,0,1,3,False,2007-04-18,Caught,2B,2007
559,1B,2B,Stolen Base 2B,425206,Jamey Carroll,A.J. Pierzynski,4,0,5,False,2008-09-01,Stolen,2B,2008
924,1B,,Caught Stealing 2B,425206,Jamey Carroll,Ramon Hernandez,3,3,7,False,2008-08-14,Caught,2B,2008
1361,1B,,Caught Stealing 2B,425206,Jamey Carroll,Jeff Mathis,0,1,1,True,2008-07-22,Caught,2B,2008
1867,1B,,Caught Stealing 2B,425206,Jamey Carroll,Bengie Molina,1,1,3,False,2008-06-24,Caught,2B,2008
2049,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Michael Barrett,6,3,7,False,2008-06-15,Stolen,2B,2008
2109,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Michael Barrett,7,4,7,False,2008-06-13,Stolen,2B,2008
2481,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Toby Hall,8,2,6,False,2008-05-27,Stolen,2B,2008
3162,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Jorge Posada,3,3,8,False,2008-04-26,Stolen,2B,2008
3197,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Jorge Posada,0,0,1,False,2008-04-25,Stolen,2B,2008
3199,1B,2B,Stolen Base 2B,425206,Jamey Carroll,Jorge Posada,6,4,6,False,2008-04-25,Stolen,2B,2008
