,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
65,1B,2B,Stolen Base 2B,595879,Javier Báez,Jonathan Lucroy,1,2,3,True,2014-09-26,Stolen,2B,2014
257,1B,,Caught Stealing 2B,595879,Javier Báez,Tucker Barnhart,0,1,1,False,2014-09-17,Caught,2B,2014
322,1B,2B,Stolen Base 2B,595879,Javier Báez,Russell Martin,0,3,3,True,2014-09-14,Stolen,2B,2014
438,2B,3B,Stolen Base 3B,595879,Javier Báez,Dioner Navarro,0,1,1,True,2014-09-09,Stolen,3B,2014
677,1B,2B,Stolen Base 2B,595879,Javier Báez,A.J. Pierzynski,0,0,1,True,2014-08-30,Stolen,2B,2014
721,1B,2B,Stolen Base 2B,595879,Javier Báez,Devin Mesoraco,0,0,1,True,2014-08-28,Stolen,2B,2014
2744,1B,2B,Stolen Base 2B,595879,Javier Báez,A.J. Pierzynski,0,0,1,True,2014-05-14,Stolen,2B,2014
265,1B,2B,Stolen Base 2B,595879,Javier Báez,Francisco Cervelli,0,0,5,True,2015-09-16,Stolen,2B,2015
291,1B,,Caught Stealing 2B,595879,Javier Báez,Francisco Cervelli,0,1,2,True,2015-09-15,Caught,2B,2015
497,1B,,Caught Stealing 2B,595879,Javier Báez,Welington Castillo,6,2,5,False,2015-09-04,Caught,2B,2015
111,1B,,Caught Stealing 2B,595879,Javier Báez,Stephen Vogt,0,2,7,True,2016-08-07,Caught,2B,2016
383,2B,3B,Stolen Base 3B,595879,Javier Báez,Dioner Navarro,4,3,9,True,2016-07-25,Stolen,3B,2016
461,1B,,Caught Stealing 2B,595879,Javier Báez,Jonathan Lucroy,2,5,8,True,2016-07-22,Caught,2B,2016
551,1B,2B,Stolen Base 2B,595879,Javier Báez,Travis d'Arnaud,0,0,3,False,2016-07-18,Stolen,2B,2016
558,2B,3B,Stolen Base 3B,595879,Javier Báez,Robinson Chirinos,1,2,3,False,2016-07-17,Stolen,3B,2016
680,1B,2B,Stolen Base 2B,595879,Javier Báez,Tyler Flowers,0,2,5,False,2016-07-07,Stolen,2B,2016
819,1B,2B,Stolen Base 2B,595879,Javier Báez,Tucker Barnhart,2,7,5,True,2016-06-29,Stolen,2B,2016
1017,1B,2B,Stolen Base 2B,595879,Javier Báez,Erik Kratz,1,3,4,False,2016-06-18,Stolen,2B,2016
1336,1B,2B,Stolen Base 2B,595879,Javier Báez,A.J. Ellis,0,1,2,False,2016-06-01,Stolen,2B,2016
1862,1B,,Caught Stealing 2B,595879,Javier Báez,Francisco Cervelli,0,0,2,True,2016-05-04,Caught,2B,2016
1931,1B,2B,Stolen Base 2B,595879,Javier Báez,Tyler Flowers,0,2,5,False,2016-04-30,Stolen,2B,2016
2011,1B,2B,Stolen Base 2B,595879,Javier Báez,Jonathan Lucroy,3,1,7,False,2016-04-26,Stolen,2B,2016
2106,1B,2B,Stolen Base 2B,595879,Javier Báez,Devin Mesoraco,0,0,2,True,2016-04-22,Stolen,2B,2016
226,1B,2B,Stolen Base 2B,595879,Javier Báez,Wilson Ramos,0,1,3,True,2017-09-19,Stolen,2B,2017
561,1B,2B,Stolen Base 2B,595879,Javier Báez,Kurt Suzuki,2,0,4,False,2017-09-01,Stolen,2B,2017
582,1B,2B,Stolen Base 2B,595879,Javier Báez,Elias Díaz,1,2,2,False,2017-08-30,Stolen,2B,2017
583,3B,score,Stolen Base Home,595879,Javier Báez,Elias Díaz,2,2,2,False,2017-08-30,Stolen,Home,2017
