,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
159,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Keith Osik,4,4,9,False,2000-09-23,Caught,2B,2000
201,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Jason Kendall,5,1,3,False,2000-09-21,Caught,2B,2000
983,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Mitch Meluskey,2,3,5,True,2000-08-20,Stolen,2B,2000
1664,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Jeff Reed,2,1,4,True,2000-07-21,Stolen,2B,2000
2273,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Paul Bako,0,0,2,True,2000-06-19,Stolen,2B,2000
2394,2B,3B,Stolen Base 3B,111742,Jeromy Burnitz,Chris Widger,0,0,1,False,2000-06-13,Stolen,3B,2000
3505,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Mike Matheny,0,0,1,True,2000-04-26,Caught,2B,2000
3656,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Mike Piazza,4,4,9,True,2000-04-20,Stolen,2B,2000
3892,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Sandy Martinez,4,3,7,False,2000-04-10,Stolen,2B,2000
819,3B,,Caught Stealing Home,111742,Jeromy Burnitz,Paul Bako,0,4,6,True,2001-05-03,Caught,Home,2001
1132,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Bobby Estalella,0,0,2,True,2001-04-20,Caught,2B,2001
1442,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Kelly Stinnett,0,0,2,False,2001-04-06,Caught,2B,2001
13,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Henry Blanco,1,0,2,False,2002-09-29,Caught,2B,2002
309,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Michael Barrett,1,0,2,True,2002-09-14,Stolen,2B,2002
467,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Todd Pratt,2,4,3,True,2002-09-08,Stolen,2B,2002
772,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Yorvit Torrealba,0,1,4,True,2002-08-22,Stolen,2B,2002
1077,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Paul Bako,6,0,9,True,2002-08-07,Stolen,2B,2002
1338,2B,,Caught Stealing 3B,111742,Jeromy Burnitz,Michael Barrett,0,2,5,False,2002-07-24,Caught,3B,2002
1560,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Charles Johnson,2,0,1,False,2002-07-15,Stolen,2B,2002
1599,2B,3B,Stolen Base 3B,111742,Jeromy Burnitz,Mike Lieberthal,3,1,3,False,2002-07-14,Stolen,3B,2002
2160,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Jorge Posada,0,0,2,False,2002-06-15,Stolen,2B,2002
2403,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Javy Lopez,4,2,4,True,2002-06-03,Stolen,2B,2002
2580,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Mike Redmond,0,0,2,False,2002-05-27,Caught,2B,2002
2810,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Tom Lampkin,0,4,3,True,2002-05-18,Stolen,2B,2002
2984,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Gary Bennett,2,0,6,False,2002-05-12,Stolen,2B,2002
3589,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Javy Lopez,0,0,2,False,2002-04-16,Caught,2B,2002
3592,3B,,Caught Stealing Home,111742,Jeromy Burnitz,Javy Lopez,3,1,8,False,2002-04-16,Caught,Home,2002
3762,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Joe Girardi,2,3,9,True,2002-04-10,Caught,2B,2002
379,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Rod Barajas,0,3,4,True,2003-09-10,Stolen,2B,2003
827,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Paul Bako,0,3,8,True,2003-08-17,Stolen,2B,2003
896,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Ivan Rodriguez,3,2,4,True,2003-08-14,Stolen,2B,2003
1466,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Chris Widger,7,5,7,False,2003-07-18,Stolen,2B,2003
2417,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Mike Lieberthal,0,2,4,True,2003-05-29,Caught,2B,2003
2501,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Henry Blanco,0,0,2,True,2003-05-25,Caught,2B,2003
3207,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Ivan Rodriguez,0,0,2,False,2003-04-20,Stolen,2B,2003
3345,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Michael Barrett,3,3,7,True,2003-04-14,Caught,2B,2003
582,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Yorvit Torrealba,1,3,4,True,2004-09-02,Stolen,2B,2004
676,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Paul Lo Duca,2,3,4,True,2004-08-28,Stolen,2B,2004
1280,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,David Ross,1,1,4,False,2004-07-29,Caught,2B,2004
2080,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Jason Varitek,4,3,6,False,2004-06-15,Caught,2B,2004
2381,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Ramon Hernandez,1,7,5,True,2004-06-01,Stolen,2B,2004
2397,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Ramon Hernandez,1,4,8,True,2004-05-31,Caught,2B,2004
2580,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Vance Wilson,3,0,2,True,2004-05-22,Caught,2B,2004
2739,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Jason Kendall,5,1,6,False,2004-05-13,Caught,2B,2004
2862,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Paul Bako,3,4,6,True,2004-05-08,Stolen,2B,2004
3412,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Paul Lo Duca,1,0,2,True,2004-04-10,Stolen,2B,2004
687,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Paul Lo Duca,0,1,2,False,2005-08-27,Caught,2B,2005
785,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Danny Ardoin,1,0,2,True,2005-08-21,Stolen,2B,2005
1839,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,A.J. Pierzynski,0,1,7,True,2005-06-26,Stolen,2B,2005
2070,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Paul Lo Duca,0,0,2,False,2005-06-14,Caught,2B,2005
2534,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,A.J. Pierzynski,1,0,4,False,2005-05-21,Stolen,2B,2005
2587,1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Humberto Cota,2,1,9,True,2005-05-18,Caught,2B,2005
2680,3B,score,Caught Stealing Home,111742,Jeromy Burnitz,Gary Bennett,2,4,8,True,2005-05-13,Caught,Home,2005
3247,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,David Ross,3,3,6,True,2005-04-16,Stolen,2B,2005
3393,1B,2B,Stolen Base 2B,111742,Jeromy Burnitz,Chad Moeller,0,0,2,False,2005-04-09,Stolen,2B,2005
