,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1704,1B,2B,Stolen Base 2B,136607,Joe McEwing,Chris Widger,3,5,8,True,2000-07-19,Stolen,2B,2000
1716,1B,,Caught Stealing 2B,136607,Joe McEwing,Darrin Fletcher,3,3,4,True,2000-07-18,Caught,2B,2000
2902,1B,2B,Stolen Base 2B,136607,Joe McEwing,Carlos Hernandez,0,0,1,True,2000-05-23,Stolen,2B,2000
2924,1B,2B,Stolen Base 2B,136607,Joe McEwing,Damian Miller,7,6,9,False,2000-05-21,Stolen,2B,2000
959,1B,2B,Stolen Base 2B,136607,Joe McEwing,Mike Matheny,0,1,2,True,2001-04-28,Stolen,2B,2001
1294,1B,2B,Stolen Base 2B,136607,Joe McEwing,Kelly Stinnett,0,1,6,False,2001-04-14,Stolen,2B,2001
1430,2B,3B,Stolen Base 3B,136607,Joe McEwing,Randy Knorr,10,0,7,True,2001-04-07,Stolen,3B,2001
544,1B,,Caught Stealing 2B,136607,Joe McEwing,Charles Johnson,2,2,9,False,2002-09-03,Caught,2B,2002
684,1B,2B,Stolen Base 2B,136607,Joe McEwing,Ramon Castro,0,6,5,True,2002-08-27,Stolen,2B,2002
1107,1B,2B,Stolen Base 2B,136607,Joe McEwing,Chad Moeller,0,0,5,False,2002-08-05,Stolen,2B,2002
2489,1B,,Caught Stealing 2B,136607,Joe McEwing,Charles Johnson,5,5,9,True,2002-05-31,Caught,2B,2002
2809,1B,2B,Stolen Base 2B,136607,Joe McEwing,Tom Lampkin,0,4,1,True,2002-05-18,Stolen,2B,2002
2892,1B,,Caught Stealing 2B,136607,Joe McEwing,Paul Lo Duca,0,1,3,True,2002-05-15,Caught,2B,2002
3223,2B,3B,Stolen Base 3B,136607,Joe McEwing,Damian Miller,0,4,2,True,2002-05-01,Stolen,3B,2002
3834,1B,,Caught Stealing 2B,136607,Joe McEwing,Javy Lopez,2,2,7,True,2002-04-06,Caught,2B,2002
48,1B,2B,Stolen Base 2B,136607,Joe McEwing,Ramon Castro,2,5,7,True,2003-09-27,Stolen,2B,2003
69,1B,2B,Stolen Base 2B,136607,Joe McEwing,Ivan Rodriguez,1,1,3,True,2003-09-26,Stolen,2B,2003
943,1B,2B,Stolen Base 2B,136607,Joe McEwing,Benito Santiago,4,1,4,False,2003-08-12,Stolen,2B,2003
860,1B,2B,Stolen Base 2B,136607,Joe McEwing,Charles Johnson,3,6,5,True,2004-08-19,Stolen,2B,2004
861,1B,2B,Stolen Base 2B,136607,Joe McEwing,Charles Johnson,3,8,7,True,2004-08-19,Stolen,2B,2004
2758,1B,2B,Stolen Base 2B,136607,Joe McEwing,Robby Hammock,0,1,6,True,2004-05-12,Stolen,2B,2004
3457,1B,2B,Stolen Base 2B,136607,Joe McEwing,Johnny Estrada,5,5,6,True,2004-04-08,Stolen,2B,2004
919,1B,2B,Stolen Base 2B,136607,Joe McEwing,Vance Wilson,7,7,7,False,2005-08-14,Stolen,2B,2005
2250,1B,,Caught Stealing 2B,136607,Joe McEwing,Rod Barajas,2,1,8,False,2005-06-03,Caught,2B,2005
3072,1B,2B,Stolen Base 2B,136607,Joe McEwing,Chris Widger,0,2,1,False,2005-04-24,Stolen,2B,2005
3191,1B,,Caught Stealing 2B,136607,Joe McEwing,Victor Martinez,2,1,2,False,2005-04-19,Caught,2B,2005
3193,1B,2B,Stolen Base 2B,136607,Joe McEwing,Victor Martinez,5,5,7,False,2005-04-19,Stolen,2B,2005
3304,1B,2B,Stolen Base 2B,136607,Joe McEwing,Miguel Olivo,1,2,9,False,2005-04-13,Stolen,2B,2005
