,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1749,1B,2B,Stolen Base 2B,605412,Joe Panik,Derek Norris,1,0,1,False,2015-06-25,Stolen,2B,2015
1750,1B,,Caught Stealing 2B,605412,Joe Panik,Derek Norris,2,0,3,False,2015-06-25,Caught,2B,2015
2277,1B,2B,Stolen Base 2B,605412,Joe Panik,A.J. Pierzynski,3,1,8,False,2015-05-29,Stolen,2B,2015
2599,3B,,Caught Stealing Home,605412,Joe Panik,Brayan Peña,0,1,1,True,2015-05-14,Caught,Home,2015
2850,1B,2B,Stolen Base 2B,605412,Joe Panik,Drew Butera,2,0,2,False,2015-05-02,Stolen,2B,2015
1076,2B,3B,Stolen Base 3B,605412,Joe Panik,Martín Maldonado,6,0,4,False,2016-06-15,Stolen,3B,2016
1082,2B,3B,Stolen Base 3B,605412,Joe Panik,Jonathan Lucroy,0,0,3,False,2016-06-14,Stolen,3B,2016
1563,1B,2B,Stolen Base 2B,605412,Joe Panik,Christian Bethancourt,1,2,6,True,2016-05-19,Stolen,2B,2016
1824,2B,3B,Stolen Base 3B,605412,Joe Panik,Dustin Garneau,3,4,3,False,2016-05-06,Stolen,3B,2016
2163,1B,2B,Stolen Base 2B,605412,Joe Panik,Welington Castillo,0,3,5,False,2016-04-19,Stolen,2B,2016
1165,1B,,Caught Stealing 2B,605412,Joe Panik,Bruce Maxwell,2,3,5,True,2017-07-31,Caught,2B,2017
1646,1B,2B,Stolen Base 2B,605412,Joe Panik,Elias Díaz,1,2,11,True,2017-07-01,Stolen,2B,2017
1896,1B,2B,Stolen Base 2B,605412,Joe Panik,Tom Murphy,3,5,9,True,2017-06-18,Stolen,2B,2017
2606,1B,2B,Stolen Base 2B,605412,Joe Panik,Devin Mesoraco,3,1,8,False,2017-05-13,Stolen,2B,2017
3096,1B,2B,Stolen Base 2B,605412,Joe Panik,Salvador Perez,1,2,11,True,2017-04-18,Stolen,2B,2017
280,1B,2B,Stolen Base 2B,605412,Joe Panik,Chris Iannetta,1,3,8,False,2018-09-16,Stolen,2B,2018
324,1B,2B,Stolen Base 2B,605412,Joe Panik,Tony Wolters,2,0,4,False,2018-09-14,Stolen,2B,2018
881,1B,2B,Stolen Base 2B,605412,Joe Panik,Curt Casali,1,1,5,True,2018-08-17,Stolen,2B,2018
1749,1B,2B,Stolen Base 2B,605412,Joe Panik,Tom Murphy,6,7,8,False,2018-06-28,Stolen,2B,2018
1962,1B,,Caught Stealing 2B,605412,Joe Panik,Austin Barnes,3,1,7,True,2018-06-16,Caught,2B,2018
1171,1B,2B,Stolen Base 2B,605412,Joe Panik,Tomás Nido,1,1,7,False,2019-07-18,Stolen,2B,2019
1786,1B,2B,Stolen Base 2B,605412,Joe Panik,Russell Martin,2,3,6,False,2019-06-08,Stolen,2B,2019
1877,1B,2B,Stolen Base 2B,605412,Joe Panik,Wilson Ramos,0,0,1,True,2019-06-04,Stolen,2B,2019
2298,1B,2B,Stolen Base 2B,605412,Joe Panik,Chris Iannetta,12,11,9,True,2019-05-09,Stolen,2B,2019
1327,1B,2B,Stolen Base 2B,605412,Joe Panik,Will Smith,3,2,4,False,2021-07-05,Stolen,2B,2021
1339,1B,2B,Stolen Base 2B,605412,Joe Panik,Kevan Smith,2,1,5,True,2021-07-04,Stolen,2B,2021
