,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
173,2B,3B,Stolen Base 3B,691023,Jordan Walker,Luis Campusano,2,5,11,True,2023-09-23,Stolen,3B,2023
1156,1B,2B,Stolen Base 2B,691023,Jordan Walker,Shea Langeliers,1,0,2,False,2023-08-14,Stolen,2B,2023
1496,1B,2B,Stolen Base 2B,691023,Jordan Walker,Miguel Amaya,1,0,2,False,2023-07-30,Stolen,2B,2023
1698,1B,2B,Stolen Base 2B,691023,Jordan Walker,Miguel Amaya,4,3,8,True,2023-07-21,Stolen,2B,2023
2369,1B,2B,Stolen Base 2B,691023,Jordan Walker,Francisco Alvarez,7,8,9,True,2023-06-18,Stolen,2B,2023
2435,2B,,Caught Stealing 3B,691023,Jordan Walker,Omar Narváez,5,1,5,True,2023-06-16,Caught,3B,2023
2532,1B,,Caught Stealing 2B,691023,Jordan Walker,Patrick Bailey,0,2,3,False,2023-06-12,Caught,2B,2023
2643,1B,,Caught Stealing 2B,691023,Jordan Walker,Sandy León,0,0,6,True,2023-06-07,Caught,2B,2023
3818,1B,2B,Stolen Base 2B,691023,Jordan Walker,Gabriel Moreno,7,4,5,False,2023-04-19,Stolen,2B,2023
4247,1B,2B,Stolen Base 2B,691023,Jordan Walker,Danny Jansen,4,1,8,False,2023-04-01,Stolen,2B,2023
