,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
561,2B,3B,Stolen Base 3B,606299,José Peraza,Buster Posey,4,4,9,False,2015-08-31,Stolen,3B,2015
592,2B,3B,Stolen Base 3B,606299,José Peraza,Kyle Schwarber,0,1,3,False,2015-08-29,Stolen,3B,2015
595,1B,2B,Stolen Base 2B,606299,José Peraza,Kyle Schwarber,5,2,8,False,2015-08-29,Stolen,2B,2015
575,1B,,Caught Stealing 2B,606299,José Peraza,Jonathan Lucroy,0,0,2,False,2016-07-17,Caught,2B,2016
590,1B,2B,Stolen Base 2B,606299,José Peraza,Jonathan Lucroy,0,4,2,False,2016-07-16,Stolen,2B,2016
700,1B,2B,Stolen Base 2B,606299,José Peraza,Miguel Montero,0,1,2,True,2016-07-06,Stolen,2B,2016
701,1B,2B,Stolen Base 2B,606299,José Peraza,Miguel Montero,3,4,7,True,2016-07-06,Stolen,2B,2016
845,1B,2B,Stolen Base 2B,606299,José Peraza,David Ross,1,2,8,False,2016-06-28,Stolen,2B,2016
856,1B,2B,Stolen Base 2B,606299,José Peraza,Miguel Montero,6,8,6,False,2016-06-27,Stolen,2B,2016
886,1B,2B,Stolen Base 2B,606299,José Peraza,Derek Norris,2,0,4,False,2016-06-26,Stolen,2B,2016
941,1B,2B,Stolen Base 2B,606299,José Peraza,Robinson Chirinos,4,0,5,True,2016-06-22,Stolen,2B,2016
1058,1B,2B,Stolen Base 2B,606299,José Peraza,A.J. Pierzynski,6,2,6,True,2016-06-16,Stolen,2B,2016
1059,2B,3B,Stolen Base 3B,606299,José Peraza,A.J. Pierzynski,6,2,6,True,2016-06-16,Stolen,3B,2016
1064,1B,2B,Stolen Base 2B,606299,José Peraza,Tyler Flowers,4,3,5,True,2016-06-15,Stolen,2B,2016
1747,1B,2B,Stolen Base 2B,606299,José Peraza,Francisco Cervelli,0,4,1,False,2016-05-10,Stolen,2B,2016
23,1B,,Caught Stealing 2B,606299,José Peraza,Willson Contreras,4,0,5,True,2017-09-30,Caught,2B,2017
42,1B,2B,Stolen Base 2B,606299,José Peraza,Willson Contreras,2,4,6,True,2017-09-29,Stolen,2B,2017
302,1B,,Caught Stealing 2B,606299,José Peraza,Elias Díaz,2,1,4,False,2017-09-15,Caught,2B,2017
328,1B,,Caught Stealing 2B,606299,José Peraza,Yadier Molina,0,1,2,True,2017-09-13,Caught,2B,2017
383,1B,2B,Stolen Base 2B,606299,José Peraza,Travis d'Arnaud,0,1,1,True,2017-09-10,Stolen,2B,2017
386,1B,2B,Stolen Base 2B,606299,José Peraza,Travis d'Arnaud,5,7,8,True,2017-09-10,Stolen,2B,2017
455,1B,2B,Stolen Base 2B,606299,José Peraza,Stephen Vogt,5,1,3,False,2017-09-06,Stolen,2B,2017
470,1B,2B,Stolen Base 2B,606299,José Peraza,Stephen Vogt,7,3,8,False,2017-09-05,Stolen,2B,2017
578,1B,2B,Stolen Base 2B,606299,José Peraza,Travis d'Arnaud,3,2,5,False,2017-08-31,Stolen,2B,2017
664,1B,2B,Stolen Base 2B,606299,José Peraza,Chris Stewart,0,1,6,False,2017-08-26,Stolen,2B,2017
844,1B,2B,Stolen Base 2B,606299,José Peraza,Alex Avila,0,7,2,True,2017-08-17,Stolen,2B,2017
1751,1B,,Caught Stealing 2B,606299,José Peraza,Yadier Molina,0,0,1,True,2017-06-26,Caught,2B,2017
1870,1B,2B,Stolen Base 2B,606299,José Peraza,Jesús Sucre,3,2,4,True,2017-06-20,Stolen,2B,2017
2258,1B,2B,Stolen Base 2B,606299,José Peraza,Luke Maile,3,3,7,True,2017-05-31,Stolen,2B,2017
2259,1B,2B,Stolen Base 2B,606299,José Peraza,Luke Maile,5,4,9,True,2017-05-31,Stolen,2B,2017
2271,1B,2B,Stolen Base 2B,606299,José Peraza,Russell Martin,4,4,7,True,2017-05-30,Stolen,2B,2017
2274,1B,2B,Stolen Base 2B,606299,José Peraza,Russell Martin,4,4,8,True,2017-05-30,Stolen,2B,2017
2411,1B,2B,Stolen Base 2B,606299,José Peraza,Yan Gomes,7,8,8,False,2017-05-23,Stolen,2B,2017
2445,1B,2B,Stolen Base 2B,606299,José Peraza,Ryan Hanigan,1,0,1,False,2017-05-21,Stolen,2B,2017
2768,1B,2B,Stolen Base 2B,606299,José Peraza,Nick Hundley,5,1,3,False,2017-05-05,Stolen,2B,2017
2850,1B,2B,Stolen Base 2B,606299,José Peraza,Yadier Molina,4,5,9,True,2017-04-30,Stolen,2B,2017
2851,3B,,Caught Stealing Home,606299,José Peraza,Yadier Molina,4,5,9,True,2017-04-30,Caught,Home,2017
2869,1B,,Caught Stealing 2B,606299,José Peraza,Yadier Molina,0,0,1,True,2017-04-29,Caught,2B,2017
3105,2B,3B,Stolen Base 3B,606299,José Peraza,Welington Castillo,2,0,1,False,2017-04-18,Stolen,3B,2017
3184,1B,2B,Stolen Base 2B,606299,José Peraza,Manny Piña,1,4,3,False,2017-04-13,Stolen,2B,2017
3207,2B,3B,Stolen Base 3B,606299,José Peraza,Francisco Cervelli,0,4,7,True,2017-04-12,Stolen,3B,2017
3228,2B,3B,Stolen Base 3B,606299,José Peraza,Francisco Cervelli,1,2,4,True,2017-04-11,Stolen,3B,2017
3237,1B,2B,Stolen Base 2B,606299,José Peraza,Francisco Cervelli,0,3,2,True,2017-04-10,Stolen,2B,2017
3331,1B,2B,Stolen Base 2B,606299,José Peraza,Andrew Knapp,5,4,7,False,2017-04-06,Stolen,2B,2017
313,1B,2B,Stolen Base 2B,606299,José Peraza,Willson Contreras,0,0,1,True,2018-09-15,Stolen,2B,2018
423,1B,2B,Stolen Base 2B,606299,José Peraza,Yasmani Grandal,7,4,6,False,2018-09-10,Stolen,2B,2018
424,2B,3B,Stolen Base 3B,606299,José Peraza,Yasmani Grandal,7,4,6,False,2018-09-10,Stolen,3B,2018
750,1B,2B,Stolen Base 2B,606299,José Peraza,Victor Caratini,0,0,1,True,2018-08-23,Stolen,2B,2018
782,1B,2B,Stolen Base 2B,606299,José Peraza,Manny Piña,1,0,4,True,2018-08-22,Stolen,2B,2018
882,1B,,Caught Stealing 2B,606299,José Peraza,Buster Posey,1,1,5,False,2018-08-17,Caught,2B,2018
997,1B,,Caught Stealing 2B,606299,José Peraza,John Ryan Murphy,2,2,5,False,2018-08-11,Caught,2B,2018
1076,1B,,Caught Stealing 2B,606299,José Peraza,Devin Mesoraco,5,0,6,True,2018-08-08,Caught,2B,2018
1087,1B,2B,Stolen Base 2B,606299,José Peraza,Kevin Plawecki,0,0,1,True,2018-08-07,Stolen,2B,2018
1560,1B,2B,Stolen Base 2B,606299,José Peraza,Willson Contreras,5,4,8,True,2018-07-08,Stolen,2B,2018
1593,1B,2B,Stolen Base 2B,606299,José Peraza,Victor Caratini,0,5,4,True,2018-07-07,Stolen,2B,2018
1627,1B,2B,Stolen Base 2B,606299,José Peraza,Willson Contreras,0,0,1,True,2018-07-06,Stolen,2B,2018
1787,1B,2B,Stolen Base 2B,606299,José Peraza,Tyler Flowers,0,0,3,True,2018-06-26,Stolen,2B,2018
1864,1B,2B,Stolen Base 2B,606299,José Peraza,Chris Gimenez,1,0,2,False,2018-06-22,Stolen,2B,2018
1865,1B,2B,Stolen Base 2B,606299,José Peraza,Chris Gimenez,1,3,5,False,2018-06-22,Stolen,2B,2018
1866,1B,2B,Stolen Base 2B,606299,José Peraza,Chris Gimenez,6,3,8,False,2018-06-22,Stolen,2B,2018
1873,1B,2B,Stolen Base 2B,606299,José Peraza,Willson Contreras,0,2,3,False,2018-06-21,Stolen,2B,2018
2074,1B,,Caught Stealing 2B,606299,José Peraza,Yadier Molina,5,2,5,False,2018-06-10,Caught,2B,2018
2254,1B,2B,Stolen Base 2B,606299,José Peraza,John Ryan Murphy,4,6,6,True,2018-05-30,Stolen,2B,2018
2396,1B,2B,Stolen Base 2B,606299,José Peraza,Francisco Cervelli,6,2,7,False,2018-05-22,Stolen,2B,2018
2451,1B,2B,Stolen Base 2B,606299,José Peraza,Victor Caratini,0,0,1,False,2018-05-19,Stolen,2B,2018
2591,1B,2B,Stolen Base 2B,606299,José Peraza,Yasmani Grandal,1,5,6,True,2018-05-11,Stolen,2B,2018
2759,1B,2B,Stolen Base 2B,606299,José Peraza,Manny Piña,0,3,1,False,2018-05-01,Stolen,2B,2018
