,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
239,1B,2B,Caught Stealing 3B,407487,Juan Rivera,Toby Hall,0,2,3,True,2002-09-18,Caught,3B,2002
560,1B,2B,Stolen Base 2B,407487,Juan Rivera,Jason Varitek,2,0,2,False,2002-09-02,Stolen,2B,2002
210,1B,2B,Stolen Base 2B,407487,Juan Rivera,Jason Phillips,0,0,1,False,2004-09-21,Stolen,2B,2004
314,1B,2B,Stolen Base 2B,407487,Juan Rivera,Paul Lo Duca,0,0,4,True,2004-09-16,Stolen,2B,2004
315,1B,,Caught Stealing 2B,407487,Juan Rivera,Paul Lo Duca,0,3,5,True,2004-09-16,Caught,2B,2004
481,1B,2B,Stolen Base 2B,407487,Juan Rivera,Paul Bako,0,0,1,True,2004-09-08,Stolen,2B,2004
541,1B,2B,Stolen Base 2B,407487,Juan Rivera,Eddie Pérez,1,0,1,False,2004-09-05,Stolen,2B,2004
981,1B,2B,Stolen Base 2B,407487,Juan Rivera,Brad Ausmus,1,0,2,False,2004-08-13,Stolen,2B,2004
1086,2B,3B,Stolen Base 3B,407487,Juan Rivera,Brad Ausmus,3,6,7,True,2004-08-07,Stolen,3B,2004
77,1B,,Caught Stealing 2B,407487,Juan Rivera,Jason Kendall,2,4,9,True,2005-09-27,Caught,2B,2005
115,2B,,Caught Stealing 3B,407487,Juan Rivera,Toby Hall,1,1,2,False,2005-09-25,Caught,3B,2005
248,1B,,Caught Stealing 2B,407487,Juan Rivera,Vance Wilson,3,0,1,False,2005-09-18,Caught,2B,2005
1537,1B,,Caught Stealing 2B,407487,Juan Rivera,Miguel Olivo,3,2,3,False,2005-07-10,Caught,2B,2005
2381,1B,,Caught Stealing 2B,407487,Juan Rivera,John Buck,1,2,4,False,2005-05-27,Caught,2B,2005
2488,1B,,Caught Stealing 2B,407487,Juan Rivera,A.J. Pierzynski,0,0,2,False,2005-05-23,Caught,2B,2005
2935,1B,,Caught Stealing 2B,407487,Juan Rivera,Joe Mauer,0,0,2,True,2005-05-01,Caught,2B,2005
3190,2B,3B,Stolen Base 3B,407487,Juan Rivera,Miguel Olivo,3,5,6,False,2005-04-19,Stolen,3B,2005
499,1B,,Caught Stealing 2B,407487,Juan Rivera,Brandon Inge,0,6,3,True,2008-09-04,Caught,2B,2008
1031,2B,3B,Stolen Base 3B,407487,Juan Rivera,Ivan Rodriguez,0,0,3,False,2008-08-09,Stolen,3B,2008
1573,1B,2B,Stolen Base 2B,407487,Juan Rivera,Jorge Posada,2,6,6,True,2010-07-20,Stolen,2B,2010
1801,1B,,Caught Stealing 2B,407487,Juan Rivera,A.J. Pierzynski,1,1,4,True,2010-07-06,Caught,2B,2010
2199,2B,3B,Stolen Base 3B,407487,Juan Rivera,Geovany Soto,0,4,1,True,2010-06-19,Stolen,3B,2010
2515,1B,,Caught Stealing 2B,407487,Juan Rivera,Rob Johnson,0,0,2,True,2010-06-05,Caught,2B,2010
338,1B,2B,Stolen Base 2B,407487,Juan Rivera,Ryan Doumit,3,1,3,False,2011-09-16,Stolen,2B,2011
653,2B,,Caught Stealing 3B,407487,Juan Rivera,Brian McCann,1,1,4,True,2011-09-03,Caught,3B,2011
687,1B,2B,Stolen Base 2B,407487,Juan Rivera,Brian McCann,5,3,6,True,2011-09-02,Stolen,2B,2011
2276,1B,2B,Stolen Base 2B,407487,Juan Rivera,Tony Cruz,0,1,4,True,2011-06-26,Stolen,2B,2011
3366,1B,2B,Stolen Base 2B,407487,Juan Rivera,Drew Butera,0,2,9,True,2011-05-13,Stolen,2B,2011
3675,2B,3B,Stolen Base 3B,407487,Juan Rivera,Russell Martin,0,1,2,True,2011-04-30,Stolen,3B,2011
3679,2B,,Caught Stealing 3B,407487,Juan Rivera,Russell Martin,5,4,6,True,2011-04-30,Caught,3B,2011
4007,1B,,Caught Stealing 2B,407487,Juan Rivera,Jarrod Saltalamacchia,0,1,2,True,2011-04-17,Caught,2B,2011
1695,1B,,Caught Stealing 2B,407487,Juan Rivera,Josh Thole,3,6,8,True,2012-07-21,Caught,2B,2012
1829,1B,2B,Stolen Base 2B,407487,Juan Rivera,Yasmani Grandal,4,2,5,False,2012-07-14,Stolen,2B,2012
3391,1B,2B,Caught Stealing 2B,407487,Juan Rivera,Welington Castillo,2,3,9,True,2012-05-06,Caught,2B,2012
3888,3B,,Caught Stealing Home,407487,Juan Rivera,Nick Hundley,4,1,3,False,2012-04-15,Caught,Home,2012
