,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1847,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,Brian McCann,0,1,2,True,2012-07-14,Caught,2B,2012
2198,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,Steve Clevenger,0,0,1,True,2012-06-26,Caught,2B,2012
2576,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,Russell Martin,0,0,1,True,2012-06-09,Caught,2B,2012
2634,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Jhonatan Solano,0,0,5,True,2012-06-07,Stolen,2B,2012
3147,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Ryan Hanigan,0,0,3,False,2012-05-17,Stolen,2B,2012
3165,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,Ryan Hanigan,0,0,1,False,2012-05-16,Caught,2B,2012
3213,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Jonathan Lucroy,0,0,1,False,2012-05-14,Stolen,2B,2012
3835,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,David Ross,2,1,3,True,2012-04-18,Stolen,2B,2012
1735,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Jonathan Lucroy,3,7,6,True,2013-07-05,Stolen,2B,2013
2098,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Evan Gattis,0,0,2,True,2013-06-17,Stolen,2B,2013
624,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Jarrod Saltalamacchia,5,6,6,True,2014-09-01,Stolen,2B,2014
649,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Carlos Ruiz,0,0,2,False,2014-08-31,Stolen,2B,2014
652,2B,3B,Stolen Base 3B,543590,Kirk Nieuwenhuis,Carlos Ruiz,6,4,8,False,2014-08-31,Stolen,3B,2014
1689,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Robinson Chirinos,7,4,8,False,2014-07-06,Stolen,2B,2014
323,2B,,Caught Stealing 3B,543590,Kirk Nieuwenhuis,Christian Bethancourt,0,2,2,True,2015-09-13,Caught,3B,2015
2228,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,René Rivera,1,0,2,False,2015-06-01,Caught,2B,2015
2678,2B,3B,Stolen Base 3B,543590,Kirk Nieuwenhuis,Cameron Rupp,2,5,6,True,2015-05-10,Stolen,3B,2015
3393,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Wilson Ramos,2,1,7,True,2015-04-08,Stolen,2B,2015
153,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Welington Castillo,0,0,2,True,2016-08-05,Stolen,2B,2016
356,2B,,Caught Stealing 3B,543590,Kirk Nieuwenhuis,Welington Castillo,4,4,7,False,2016-07-26,Caught,3B,2016
432,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,Willson Contreras,3,0,6,False,2016-07-23,Caught,2B,2016
652,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Yadier Molina,1,2,3,False,2016-07-09,Stolen,2B,2016
808,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,A.J. Ellis,5,0,3,False,2016-06-29,Caught,2B,2016
809,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,A.J. Ellis,5,0,6,False,2016-06-29,Caught,2B,2016
990,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,A.J. Ellis,0,1,2,True,2016-06-19,Stolen,2B,2016
1158,2B,3B,Stolen Base 3B,543590,Kirk Nieuwenhuis,René Rivera,1,2,2,False,2016-06-11,Stolen,3B,2016
1450,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,A.J. Pierzynski,0,0,4,True,2016-05-25,Caught,2B,2016
1452,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,A.J. Pierzynski,2,2,13,True,2016-05-25,Stolen,2B,2016
1676,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Héctor Sánchez,2,4,3,False,2016-05-14,Stolen,2B,2016
1778,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,J.T. Realmuto,1,0,4,True,2016-05-09,Caught,2B,2016
1917,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,J.T. Realmuto,5,1,3,False,2016-05-01,Stolen,2B,2016
1985,1B,,Caught Stealing 2B,543590,Kirk Nieuwenhuis,Miguel Montero,1,0,2,True,2016-04-27,Caught,2B,2016
2055,2B,3B,Stolen Base 3B,543590,Kirk Nieuwenhuis,Cameron Rupp,5,4,6,False,2016-04-24,Stolen,3B,2016
3398,1B,2B,Stolen Base 2B,543590,Kirk Nieuwenhuis,Omar Narváez,4,4,9,False,2017-04-01,Stolen,2B,2017
