,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
146,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Manny Piña,0,2,8,True,2021-09-21,Stolen,2B,2021
181,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Austin Nola,7,4,6,False,2021-09-19,Stolen,2B,2021
370,1B,,Caught Stealing 2B,663457,Lars Nootbaar,Jason Delay,1,0,7,True,2022-09-11,Caught,2B,2022
575,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Chuckie Robinson,2,2,9,True,2022-08-31,Stolen,2B,2022
900,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Victor Caratini,2,0,5,False,2022-08-12,Stolen,2B,2022
943,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Elias Díaz,1,6,5,True,2022-08-10,Stolen,2B,2022
2887,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Aramis Garcia,0,1,4,True,2022-04-23,Stolen,2B,2022
288,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,William Contreras,0,0,1,False,2023-09-19,Stolen,2B,2023
486,2B,3B,Stolen Base 3B,663457,Lars Nootbaar,Adley Rutschman,2,1,3,True,2023-09-11,Stolen,3B,2023
703,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Jason Delay,6,4,8,False,2023-09-03,Stolen,2B,2023
1270,2B,3B,Stolen Base 3B,663457,Lars Nootbaar,René Pinto,2,2,3,True,2023-08-09,Stolen,3B,2023
1700,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Yan Gomes,0,3,4,True,2023-07-20,Stolen,2B,2023
1749,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Nick Fortes,0,0,4,False,2023-07-18,Stolen,2B,2023
2055,1B,2B,Caught Stealing 3B,663457,Lars Nootbaar,Jose Trevino,0,0,1,False,2023-07-02,Caught,3B,2023
2943,1B,,Caught Stealing 2B,663457,Lars Nootbaar,Mike Zunino,0,0,3,True,2023-05-26,Caught,2B,2023
3264,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Connor Wong,6,8,9,True,2023-05-12,Stolen,2B,2023
3345,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Miguel Amaya,1,2,6,True,2023-05-08,Stolen,2B,2023
3408,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Eric Haase,3,0,2,False,2023-05-06,Stolen,2B,2023
3598,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Austin Barnes,2,2,3,True,2023-04-28,Stolen,2B,2023
3921,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,Jason Delay,2,2,4,False,2023-04-15,Stolen,2B,2023
