,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
877,1B,2B,Stolen Base 2B,670768,Luis González,Jason Delay,2,0,6,False,2022-08-13,Stolen,2B,2022
1111,1B,2B,Stolen Base 2B,670768,Luis González,Willson Contreras,4,0,7,False,2022-07-31,Stolen,2B,2022
1412,1B,2B,Stolen Base 2B,670768,Luis González,Carson Kelly,1,3,4,False,2022-07-11,Stolen,2B,2022
1858,1B,2B,Stolen Base 2B,670768,Luis González,Tyler Heineman,1,1,2,True,2022-06-18,Stolen,2B,2022
1860,1B,2B,Stolen Base 2B,670768,Luis González,Tyler Heineman,5,6,9,True,2022-06-18,Stolen,2B,2022
1968,1B,2B,Stolen Base 2B,670768,Luis González,Will Smith,2,0,2,False,2022-06-11,Stolen,2B,2022
2035,1B,2B,Stolen Base 2B,670768,Luis González,Elias Díaz,1,1,8,False,2022-06-08,Stolen,2B,2022
2218,1B,,Caught Stealing 2B,670768,Luis González,Garrett Stubbs,2,3,9,True,2022-05-30,Caught,2B,2022
2558,1B,2B,Stolen Base 2B,670768,Luis González,Dom Nuñez,5,1,8,False,2022-05-11,Stolen,2B,2022
2594,1B,2B,Stolen Base 2B,670768,Luis González,Elias Díaz,8,2,8,False,2022-05-09,Stolen,2B,2022
2695,1B,2B,Stolen Base 2B,670768,Luis González,Will Smith,0,1,3,True,2022-05-04,Stolen,2B,2022
2848,1B,,Caught Stealing 2B,670768,Luis González,Victor Caratini,1,0,7,True,2022-04-25,Caught,2B,2022
