,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
464,1B,2B,Stolen Base 2B,433597,Mark Teahen,A.J. Pierzynski,1,0,8,True,2005-09-07,Stolen,2B,2005
724,1B,,Caught Stealing 2B,433597,Mark Teahen,Jason Varitek,7,4,7,False,2005-08-25,Caught,2B,2005
777,1B,2B,Stolen Base 2B,433597,Mark Teahen,Jason Kendall,3,4,8,True,2005-08-21,Stolen,2B,2005
1132,2B,3B,Stolen Base 3B,433597,Mark Teahen,Jason Varitek,3,4,4,True,2005-08-03,Stolen,3B,2005
1469,1B,2B,Stolen Base 2B,433597,Mark Teahen,Vance Wilson,0,4,9,True,2005-07-17,Stolen,2B,2005
1527,1B,2B,Stolen Base 2B,433597,Mark Teahen,Ivan Rodriguez,0,2,4,True,2005-07-14,Stolen,2B,2005
1570,1B,2B,Caught Stealing 3B,433597,Mark Teahen,Mike Redmond,4,4,3,False,2005-07-09,Caught,3B,2005
1801,1B,2B,Stolen Base 2B,433597,Mark Teahen,Joe Mauer,1,3,8,True,2005-06-29,Stolen,2B,2005
2301,1B,2B,Stolen Base 2B,433597,Mark Teahen,Jorge Posada,5,3,8,False,2005-05-31,Stolen,2B,2005
2719,1B,,Caught Stealing 2B,433597,Mark Teahen,Ken Huckaby,7,6,5,True,2005-05-11,Caught,2B,2005
109,1B,2B,Stolen Base 2B,433597,Mark Teahen,A.J. Pierzynski,5,8,9,True,2007-09-25,Stolen,2B,2007
110,2B,3B,Stolen Base 3B,433597,Mark Teahen,A.J. Pierzynski,5,8,9,True,2007-09-25,Stolen,3B,2007
481,1B,,Caught Stealing 2B,433597,Mark Teahen,Joe Mauer,0,2,4,False,2007-09-10,Caught,2B,2007
1125,1B,2B,Stolen Base 2B,433597,Mark Teahen,Gregg Zaun,0,0,4,False,2007-08-11,Stolen,2B,2007
1293,1B,2B,Stolen Base 2B,433597,Mark Teahen,Jorge Posada,11,7,7,True,2007-08-04,Stolen,2B,2007
1410,1B,2B,Stolen Base 2B,433597,Mark Teahen,Gerald Laird,4,0,6,False,2007-07-29,Stolen,2B,2007
2179,2B,3B,Stolen Base 3B,433597,Mark Teahen,Damian Miller,2,3,8,True,2007-06-24,Stolen,3B,2007
2504,1B,2B,Stolen Base 2B,433597,Mark Teahen,Rod Barajas,8,4,8,False,2007-06-08,Stolen,2B,2007
2589,1B,,Caught Stealing 2B,433597,Mark Teahen,Victor Martinez,1,0,4,True,2007-06-05,Caught,2B,2007
2903,1B,2B,Stolen Base 2B,433597,Mark Teahen,Chris Iannetta,6,1,9,True,2007-05-19,Stolen,2B,2007
2950,1B,,Caught Stealing 2B,433597,Mark Teahen,Adam Melhuse,4,7,9,True,2007-05-17,Caught,2B,2007
3009,1B,2B,Stolen Base 2B,433597,Mark Teahen,Jason Kendall,0,0,8,True,2007-05-14,Stolen,2B,2007
3239,1B,2B,Stolen Base 2B,433597,Mark Teahen,Mike Napoli,0,0,4,False,2007-05-02,Stolen,2B,2007
3285,1B,2B,Stolen Base 2B,433597,Mark Teahen,Mike Napoli,1,3,6,False,2007-04-30,Stolen,2B,2007
3339,2B,3B,Stolen Base 3B,433597,Mark Teahen,Kenji Johjima,0,6,2,True,2007-04-28,Stolen,3B,2007
3509,1B,2B,Stolen Base 2B,433597,Mark Teahen,Joe Mauer,7,6,6,False,2007-04-20,Stolen,2B,2007
226,2B,3B,Stolen Base 3B,433597,Mark Teahen,Rob Johnson,4,0,4,False,2008-09-18,Stolen,3B,2008
897,1B,,Caught Stealing 2B,433597,Mark Teahen,Ivan Rodriguez,2,2,13,True,2008-08-16,Caught,2B,2008
1217,1B,2B,Stolen Base 2B,433597,Mark Teahen,Kurt Suzuki,3,3,9,True,2008-07-30,Stolen,2B,2008
1894,1B,,Caught Stealing 2B,433597,Mark Teahen,Steve Holm,11,10,8,False,2008-06-22,Caught,2B,2008
2256,1B,2B,Stolen Base 2B,433597,Mark Teahen,Chad Moeller,1,2,9,True,2008-06-06,Stolen,2B,2008
2685,1B,2B,Stolen Base 2B,433597,Mark Teahen,Matt Treanor,3,8,7,True,2008-05-18,Stolen,2B,2008
132,1B,2B,Stolen Base 2B,433597,Mark Teahen,Matt Wieters,3,3,11,True,2009-07-28,Stolen,2B,2009
495,1B,2B,Stolen Base 2B,433597,Mark Teahen,Jason Varitek,0,0,2,True,2009-07-10,Stolen,2B,2009
509,1B,2B,Stolen Base 2B,433597,Mark Teahen,George Kottaras,4,1,4,True,2009-07-09,Stolen,2B,2009
1088,1B,2B,Stolen Base 2B,433597,Mark Teahen,Ryan Hanigan,4,1,6,False,2009-06-12,Stolen,2B,2009
1220,1B,2B,Stolen Base 2B,433597,Mark Teahen,Rod Barajas,1,0,2,True,2009-06-07,Stolen,2B,2009
2243,2B,3B,Stolen Base 3B,433597,Mark Teahen,Dane Sardinha,1,2,3,False,2009-04-26,Stolen,3B,2009
660,1B,,Caught Stealing 2B,433597,Mark Teahen,Lou Marson,1,1,8,True,2010-08-31,Caught,2B,2010
2636,1B,2B,Stolen Base 2B,433597,Mark Teahen,John Jaso,1,3,4,True,2010-05-30,Stolen,2B,2010
2950,1B,,Caught Stealing 2B,433597,Mark Teahen,Jason Kendall,3,2,5,True,2010-05-16,Caught,2B,2010
2968,1B,,Caught Stealing 2B,433597,Mark Teahen,Jason Kendall,4,5,8,True,2010-05-15,Caught,2B,2010
3605,1B,,Caught Stealing 2B,433597,Mark Teahen,Mike Redmond,3,0,2,True,2010-04-18,Caught,2B,2010
3629,1B,2B,Stolen Base 2B,433597,Mark Teahen,Lou Marson,1,1,6,True,2010-04-17,Stolen,2B,2010
3731,1B,2B,Stolen Base 2B,433597,Mark Teahen,John Buck,6,6,6,True,2010-04-12,Stolen,2B,2010
3887,1B,,Caught Stealing 2B,433597,Mark Teahen,Lou Marson,2,0,2,False,2010-04-05,Caught,2B,2010
1655,1B,,Caught Stealing 2B,433597,Mark Teahen,Carlos Santana,2,4,7,True,2011-07-24,Caught,2B,2011
