,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
275,1B,2B,Stolen Base 2B,429841,Matt Diaz,Miguel Olivo,3,1,4,False,2007-09-18,Stolen,2B,2007
1792,1B,2B,Stolen Base 2B,429841,Matt Diaz,Ronny Paulino,4,0,6,False,2007-07-14,Stolen,2B,2007
2879,1B,2B,Stolen Base 2B,429841,Matt Diaz,Jason Varitek,6,1,6,True,2007-05-20,Stolen,2B,2007
3759,1B,2B,Stolen Base 2B,429841,Matt Diaz,Ramon Castro,3,2,8,False,2007-04-08,Stolen,2B,2007
2465,1B,,Caught Stealing 2B,429841,Matt Diaz,Jason Kendall,0,2,4,True,2008-05-27,Caught,2B,2008
2744,1B,,Caught Stealing 2B,429841,Matt Diaz,Kurt Suzuki,0,2,5,False,2008-05-16,Caught,2B,2008
2915,2B,3B,Stolen Base 3B,429841,Matt Diaz,Colt Morton,1,4,6,False,2008-05-08,Stolen,3B,2008
3103,1B,2B,Stolen Base 2B,429841,Matt Diaz,Johnny Estrada,2,2,7,True,2008-04-29,Stolen,2B,2008
3288,1B,2B,Stolen Base 2B,429841,Matt Diaz,Johnny Estrada,2,0,2,False,2008-04-21,Stolen,2B,2008
3625,1B,2B,Stolen Base 2B,429841,Matt Diaz,Brian Schneider,0,0,2,False,2008-04-06,Stolen,2B,2008
58,1B,2B,Stolen Base 2B,429841,Matt Diaz,Russell Martin,0,0,4,False,2009-07-31,Stolen,2B,2009
241,1B,,Caught Stealing 2B,429841,Matt Diaz,Bengie Molina,1,1,2,False,2009-07-23,Caught,2B,2009
659,2B,3B,Stolen Base 3B,429841,Matt Diaz,Carlos Ruiz,5,2,8,False,2009-07-02,Stolen,3B,2009
1138,1B,2B,Stolen Base 2B,429841,Matt Diaz,Robinzon Diaz,1,0,4,False,2009-06-11,Stolen,2B,2009
1140,1B,2B,Stolen Base 2B,429841,Matt Diaz,Robinzon Diaz,1,1,8,False,2009-06-11,Stolen,2B,2009
2340,1B,2B,Stolen Base 2B,429841,Matt Diaz,Jesus Flores,0,0,6,True,2009-04-22,Stolen,2B,2009
1144,1B,2B,Stolen Base 2B,429841,Matt Diaz,Eli Whiteside,5,3,7,False,2010-08-08,Stolen,2B,2010
1438,1B,,Caught Stealing 2B,429841,Matt Diaz,Brad Davis,4,4,9,True,2010-07-25,Caught,2B,2010
3282,1B,2B,Stolen Base 2B,429841,Matt Diaz,Humberto Quintero,4,1,5,False,2010-05-01,Stolen,2B,2010
3698,1B,2B,Stolen Base 2B,429841,Matt Diaz,Nick Hundley,1,3,7,True,2010-04-14,Stolen,2B,2010
301,1B,2B,Stolen Base 2B,429841,Matt Diaz,Josh Thole,0,0,2,False,2011-09-18,Stolen,2B,2011
2512,1B,2B,Stolen Base 2B,429841,Matt Diaz,Carlos Corporán,3,5,9,True,2011-06-16,Stolen,2B,2011
2799,1B,2B,Stolen Base 2B,429841,Matt Diaz,Dane Sardinha,4,2,7,False,2011-06-04,Stolen,2B,2011
3203,2B,3B,Stolen Base 3B,429841,Matt Diaz,Victor Martinez,3,1,6,False,2011-05-20,Stolen,3B,2011
3772,1B,2B,Stolen Base 2B,429841,Matt Diaz,Buster Posey,2,1,6,False,2011-04-26,Stolen,2B,2011
