,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
238,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Dan Wilson,2,4,5,False,2000-09-20,Stolen,2B,2000
329,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Ramon Hernandez,0,5,7,False,2000-09-16,Stolen,2B,2000
993,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Mark Johnson,10,10,8,True,2000-08-20,Stolen,2B,2000
1077,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Jason Varitek,0,0,1,True,2000-08-15,Stolen,2B,2000
1079,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Jason Varitek,0,1,2,True,2000-08-15,Stolen,2B,2000
1109,1B,,Caught Stealing 2B,111867,Miguel Cairo,Jason Varitek,0,3,5,True,2000-08-14,Caught,2B,2000
1156,1B,,Caught Stealing 2B,111867,Miguel Cairo,Charles Johnson,0,1,1,False,2000-08-12,Caught,2B,2000
1287,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Greg Myers,5,4,5,False,2000-08-06,Stolen,2B,2000
1288,2B,3B,Stolen Base 3B,111867,Miguel Cairo,Greg Myers,6,4,7,False,2000-08-06,Stolen,3B,2000
1459,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Héctor Ortiz,2,6,8,True,2000-07-30,Stolen,2B,2000
1506,3B,,Caught Stealing Home,111867,Miguel Cairo,Héctor Ortiz,1,6,7,True,2000-07-28,Caught,Home,2000
1597,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Brad Ausmus,0,3,4,True,2000-07-24,Stolen,2B,2000
1598,2B,,Caught Stealing 3B,111867,Miguel Cairo,Brad Ausmus,2,3,6,True,2000-07-24,Caught,3B,2000
1599,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Brad Ausmus,2,4,8,True,2000-07-24,Stolen,2B,2000
1623,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Chris Turner,2,3,7,True,2000-07-22,Stolen,2B,2000
1651,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Jorge Posada,4,1,4,True,2000-07-21,Stolen,2B,2000
1702,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Darrin Fletcher,3,0,3,True,2000-07-19,Stolen,2B,2000
1892,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Mike Redmond,3,7,9,True,2000-07-07,Stolen,2B,2000
2237,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Joe Oliver,4,3,9,True,2000-06-20,Stolen,2B,2000
2238,2B,3B,Stolen Base 3B,111867,Miguel Cairo,Joe Oliver,4,3,9,True,2000-06-20,Stolen,3B,2000
2362,2B,3B,Stolen Base 3B,111867,Miguel Cairo,Bengie Molina,1,1,9,False,2000-06-15,Stolen,3B,2000
2375,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Bengie Molina,0,2,8,False,2000-06-14,Stolen,2B,2000
2401,1B,,Caught Stealing 2B,111867,Miguel Cairo,Bengie Molina,2,2,2,False,2000-06-13,Caught,2B,2000
2501,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Mike Redmond,2,0,2,False,2000-06-09,Stolen,2B,2000
2590,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Mike Lieberthal,0,0,3,True,2000-06-05,Stolen,2B,2000
2660,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Mike Piazza,1,0,9,True,2000-06-03,Stolen,2B,2000
3157,1B,,Caught Stealing 2B,111867,Miguel Cairo,Darrin Fletcher,2,1,6,False,2000-05-12,Caught,2B,2000
3170,1B,,Caught Stealing 2B,111867,Miguel Cairo,Jorge Posada,0,0,3,True,2000-05-11,Caught,2B,2000
3262,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Jason Varitek,5,3,5,True,2000-05-07,Stolen,2B,2000
3263,2B,3B,Stolen Base 3B,111867,Miguel Cairo,Jason Varitek,5,3,5,True,2000-05-07,Stolen,3B,2000
3292,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Jason Varitek,0,0,5,True,2000-05-06,Stolen,2B,2000
3510,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Brian Johnson,5,1,5,True,2000-04-26,Stolen,2B,2000
3550,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Brian Johnson,5,5,8,True,2000-04-25,Stolen,2B,2000
3641,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Bengie Molina,5,4,4,False,2000-04-21,Stolen,2B,2000
3780,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Robert Fick,0,1,3,True,2000-04-15,Stolen,2B,2000
351,1B,,Caught Stealing 2B,111867,Miguel Cairo,Jason LaRue,1,1,3,False,2001-05-22,Caught,2B,2001
111,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Chad Moeller,0,0,5,False,2002-09-24,Stolen,2B,2002
2686,1B,,Caught Stealing 2B,111867,Miguel Cairo,Brad Ausmus,2,4,7,False,2002-05-23,Caught,2B,2002
211,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Eddie Pérez,0,0,1,False,2003-09-18,Stolen,2B,2003
505,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Damian Miller,0,2,1,True,2003-09-04,Stolen,2B,2003
599,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Kelly Stinnett,0,0,2,True,2003-08-29,Stolen,2B,2003
2138,1B,2B,Stolen Base 2B,111867,Miguel Cairo,Jason Varitek,0,0,3,True,2003-06-12,Stolen,2B,2003
2299,1B,,Caught Stealing 2B,111867,Miguel Cairo,Tom Wilson,6,4,4,False,2003-06-04,Caught,2B,2003
