,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
59,1B,,Caught Stealing 2B,488689,Mike Baxter,David Ross,1,0,5,True,2012-09-28,Caught,2B,2012
214,1B,,Caught Stealing 2B,488689,Mike Baxter,Rob Brantly,5,1,3,False,2012-09-21,Caught,2B,2012
641,1B,2B,Stolen Base 2B,488689,Mike Baxter,Yadier Molina,1,0,2,True,2012-09-03,Stolen,2B,2012
826,1B,2B,Stolen Base 2B,488689,Mike Baxter,Chris Snyder,0,0,2,False,2012-08-26,Stolen,2B,2012
1372,1B,2B,Stolen Base 2B,488689,Mike Baxter,Buster Posey,1,2,8,True,2012-08-01,Stolen,2B,2012
3166,1B,2B,Stolen Base 2B,488689,Mike Baxter,Ryan Hanigan,0,1,3,False,2012-05-16,Stolen,2B,2012
3930,1B,2B,Stolen Base 2B,488689,Mike Baxter,Brian Schneider,0,5,9,True,2012-04-14,Stolen,2B,2012
4156,1B,2B,Stolen Base 2B,488689,Mike Baxter,John Ryan Murphy,6,6,6,False,2012-04-03,Stolen,2B,2012
32,1B,2B,Stolen Base 2B,488689,Mike Baxter,Martín Maldonado,1,1,4,False,2013-09-28,Stolen,2B,2013
919,2B,,Caught Stealing 3B,488689,Mike Baxter,René Rivera,1,5,7,True,2013-08-16,Caught,3B,2013
940,1B,2B,Stolen Base 2B,488689,Mike Baxter,René Rivera,1,1,8,True,2013-08-15,Stolen,2B,2013
2523,2B,,Caught Stealing 3B,488689,Mike Baxter,Gerald Laird,4,2,8,False,2013-05-26,Caught,3B,2013
2819,1B,2B,Stolen Base 2B,488689,Mike Baxter,Michael McKenry,2,2,7,False,2013-05-12,Stolen,2B,2013
2820,2B,3B,Stolen Base 3B,488689,Mike Baxter,Michael McKenry,2,2,7,False,2013-05-12,Stolen,3B,2013
3527,1B,2B,Stolen Base 2B,488689,Mike Baxter,Miguel Olivo,4,3,7,False,2013-04-06,Stolen,2B,2013
