,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
3403,1B,2B,Stolen Base 2B,669222,Nick Senzel,Stuart Turner,5,1,9,True,2017-04-01,Stolen,2B,2017
572,1B,2B,Stolen Base 2B,669222,Nick Senzel,Jorge Alfaro,3,3,4,True,2019-08-27,Stolen,2B,2019
580,1B,2B,Stolen Base 2B,669222,Nick Senzel,Jorge Alfaro,2,4,7,True,2019-08-26,Stolen,2B,2019
681,1B,2B,Stolen Base 2B,669222,Nick Senzel,Austin Hedges,1,0,5,False,2019-08-20,Stolen,2B,2019
682,2B,3B,Stolen Base 3B,669222,Nick Senzel,Austin Hedges,1,0,5,False,2019-08-20,Stolen,3B,2019
806,1B,2B,Stolen Base 2B,669222,Nick Senzel,Victor Caratini,1,0,3,False,2019-08-11,Stolen,2B,2019
1244,1B,2B,Stolen Base 2B,669222,Nick Senzel,Tony Wolters,4,4,5,True,2019-07-14,Stolen,2B,2019
1453,1B,2B,Stolen Base 2B,669222,Nick Senzel,Victor Caratini,2,0,2,False,2019-06-28,Stolen,2B,2019
1470,1B,2B,Stolen Base 2B,669222,Nick Senzel,Dustin Garneau,1,1,7,True,2019-06-26,Stolen,2B,2019
1560,1B,2B,Stolen Base 2B,669222,Nick Senzel,Manny Piña,0,3,2,True,2019-06-21,Stolen,2B,2019
2091,1B,,Caught Stealing 2B,669222,Nick Senzel,Yasmani Grandal,0,0,1,True,2019-05-22,Caught,2B,2019
2107,1B,,Caught Stealing 2B,669222,Nick Senzel,Yasmani Grandal,0,3,5,True,2019-05-21,Caught,2B,2019
2131,1B,2B,Stolen Base 2B,669222,Nick Senzel,Russell Martin,0,0,1,False,2019-05-19,Stolen,2B,2019
2172,1B,2B,Stolen Base 2B,669222,Nick Senzel,Willson Contreras,0,2,3,False,2019-05-16,Stolen,2B,2019
2191,1B,2B,Stolen Base 2B,669222,Nick Senzel,Taylor Davis,0,0,1,False,2019-05-15,Stolen,2B,2019
2192,1B,2B,Stolen Base 2B,669222,Nick Senzel,Taylor Davis,1,2,3,False,2019-05-15,Stolen,2B,2019
2358,1B,2B,Stolen Base 2B,669222,Nick Senzel,Buster Posey,4,4,6,False,2019-05-05,Stolen,2B,2019
928,1B,2B,Stolen Base 2B,669222,Nick Senzel,Salvador Perez,5,3,7,False,2020-08-11,Stolen,2B,2020
1042,1B,,Caught Stealing 2B,669222,Nick Senzel,Sandy León,2,0,4,False,2020-08-04,Caught,2B,2020
1206,1B,2B,Stolen Base 2B,669222,Nick Senzel,Grayson Greiner,4,4,8,False,2020-07-25,Stolen,2B,2020
2208,1B,,Caught Stealing 2B,669222,Nick Senzel,Jacob Stallings,1,1,3,True,2021-05-11,Caught,2B,2021
2356,1B,,Caught Stealing 2B,669222,Nick Senzel,Willson Contreras,2,2,2,False,2021-05-02,Caught,2B,2021
2422,1B,2B,Stolen Base 2B,669222,Nick Senzel,Austin Barnes,0,0,1,True,2021-04-28,Stolen,2B,2021
2423,2B,,Caught Stealing 3B,669222,Nick Senzel,Austin Barnes,0,0,1,True,2021-04-28,Caught,3B,2021
2527,1B,,Caught Stealing 2B,669222,Nick Senzel,Stephen Vogt,0,0,2,False,2021-04-21,Caught,2B,2021
2698,1B,2B,Stolen Base 2B,669222,Nick Senzel,Stephen Vogt,6,2,6,True,2021-04-10,Stolen,2B,2021
504,2B,3B,Stolen Base 3B,669222,Nick Senzel,Elias Díaz,6,0,6,False,2022-09-04,Stolen,3B,2022
506,1B,2B,Stolen Base 2B,669222,Nick Senzel,Elias Díaz,1,0,5,False,2022-09-04,Stolen,2B,2022
514,2B,3B,Stolen Base 3B,669222,Nick Senzel,Elias Díaz,6,0,6,False,2022-09-03,Stolen,3B,2022
548,3B,,Caught Stealing Home,669222,Nick Senzel,Elias Díaz,0,0,1,False,2022-09-02,Caught,Home,2022
991,1B,2B,Stolen Base 2B,669222,Nick Senzel,James McCann,5,1,9,True,2022-08-08,Stolen,2B,2022
1734,1B,2B,Stolen Base 2B,669222,Nick Senzel,Austin Wynns,0,1,2,True,2022-06-25,Stolen,2B,2022
1745,2B,3B,Stolen Base 3B,669222,Nick Senzel,Curt Casali,1,3,5,True,2022-06-24,Stolen,3B,2022
1771,1B,2B,Stolen Base 2B,669222,Nick Senzel,Austin Barnes,0,3,3,False,2022-06-23,Stolen,2B,2022
2089,1B,2B,Stolen Base 2B,669222,Nick Senzel,Jose Herrera,2,0,2,False,2022-06-06,Stolen,2B,2022
2099,1B,2B,Stolen Base 2B,669222,Nick Senzel,Keibert Ruiz,1,2,1,False,2022-06-05,Stolen,2B,2022
2298,1B,,Caught Stealing 2B,669222,Nick Senzel,P.J. Higgins,10,3,3,False,2022-05-26,Caught,2B,2022
2860,1B,,Caught Stealing 2B,669222,Nick Senzel,Yadier Molina,3,0,4,False,2022-04-24,Caught,2B,2022
3191,1B,2B,Stolen Base 2B,669222,Nick Senzel,Logan Porter,7,4,4,False,2022-04-04,Stolen,2B,2022
802,1B,2B,Stolen Base 2B,669222,Nick Senzel,Patrick Bailey,0,0,2,True,2023-08-30,Stolen,2B,2023
1691,2B,3B,Stolen Base 3B,669222,Nick Senzel,Gabriel Moreno,1,1,1,False,2023-07-21,Stolen,3B,2023
1790,1B,,Caught Stealing 2B,669222,Nick Senzel,William Contreras,3,2,7,False,2023-07-16,Caught,2B,2023
3030,1B,2B,Stolen Base 2B,669222,Nick Senzel,Andrew Knizner,4,3,3,False,2023-05-22,Stolen,2B,2023
3185,1B,,Caught Stealing 2B,669222,Nick Senzel,Austin Wynns,6,6,7,True,2023-05-15,Caught,2B,2023
3274,2B,3B,Stolen Base 3B,669222,Nick Senzel,Jacob Stallings,0,1,4,True,2023-05-12,Stolen,3B,2023
3671,2B,3B,Stolen Base 3B,669222,Nick Senzel,Sandy León,2,2,5,False,2023-04-26,Stolen,3B,2023
3900,1B,2B,Stolen Base 2B,669222,Nick Senzel,Garrett Stubbs,1,0,2,False,2023-04-15,Stolen,2B,2023
