,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
146,1B,2B,Stolen Base 2B,440361,Norris Hopper,Eliezer Alfonzo,5,4,7,True,2007-09-23,Stolen,2B,2007
250,2B,3B,Stolen Base 3B,440361,Norris Hopper,Geovany Soto,1,1,3,True,2007-09-19,Stolen,3B,2007
380,2B,3B,Stolen Base 3B,440361,Norris Hopper,Johnny Estrada,0,2,1,True,2007-09-14,Stolen,3B,2007
384,1B,2B,Stolen Base 2B,440361,Norris Hopper,Johnny Estrada,0,4,2,True,2007-09-14,Stolen,2B,2007
518,1B,2B,Stolen Base 2B,440361,Norris Hopper,Damian Miller,3,2,6,False,2007-09-08,Stolen,2B,2007
604,1B,2B,Stolen Base 2B,440361,Norris Hopper,Paul Lo Duca,5,8,6,False,2007-09-04,Stolen,2B,2007
780,1B,,Caught Stealing 2B,440361,Norris Hopper,Ronny Paulino,0,0,1,True,2007-08-28,Caught,2B,2007
1182,1B,2B,Stolen Base 2B,440361,Norris Hopper,Russell Martin,4,4,9,False,2007-08-09,Stolen,2B,2007
1248,1B,,Caught Stealing 2B,440361,Norris Hopper,Ronny Paulino,0,0,1,True,2007-08-05,Caught,2B,2007
1286,1B,2B,Stolen Base 2B,440361,Norris Hopper,Ronny Paulino,1,1,6,True,2007-08-04,Stolen,2B,2007
1287,2B,3B,Stolen Base 3B,440361,Norris Hopper,Ronny Paulino,6,5,7,True,2007-08-04,Stolen,3B,2007
2259,1B,,Caught Stealing 2B,440361,Norris Hopper,Jason Kendall,2,3,7,True,2007-06-20,Caught,2B,2007
2480,1B,2B,Stolen Base 2B,440361,Norris Hopper,Victor Martinez,2,1,1,False,2007-06-09,Stolen,2B,2007
2638,1B,2B,Stolen Base 2B,440361,Norris Hopper,Yorvit Torrealba,0,1,3,True,2007-06-01,Stolen,2B,2007
2670,1B,,Caught Stealing 2B,440361,Norris Hopper,Brad Ausmus,0,0,3,True,2007-05-31,Caught,2B,2007
2707,1B,,Caught Stealing 2B,440361,Norris Hopper,Brad Ausmus,1,2,8,True,2007-05-29,Caught,2B,2007
2894,1B,2B,Caught Stealing 3B,440361,Norris Hopper,Kelly Shoppach,5,3,8,True,2007-05-20,Caught,3B,2007
2914,2B,3B,Stolen Base 3B,440361,Norris Hopper,Victor Martinez,1,4,3,True,2007-05-19,Stolen,3B,2007
2991,1B,2B,Stolen Base 2B,440361,Norris Hopper,Josh Bard,1,1,10,True,2007-05-15,Stolen,2B,2007
3129,1B,2B,Stolen Base 2B,440361,Norris Hopper,Brad Ausmus,5,4,6,False,2007-05-08,Stolen,2B,2007
3373,1B,2B,Stolen Base 2B,440361,Norris Hopper,Henry Blanco,1,0,3,True,2008-04-17,Stolen,2B,2008
