,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
11,1B,2B,Stolen Base 2B,133160,Randy Winn,Scott Hatteberg,0,0,1,False,2000-09-30,Stolen,2B,2000
38,2B,3B,Stolen Base 3B,133160,Randy Winn,Jason Varitek,6,4,7,False,2000-09-29,Stolen,3B,2000
236,1B,2B,Stolen Base 2B,133160,Randy Winn,Dan Wilson,0,0,1,False,2000-09-20,Stolen,2B,2000
380,1B,,Caught Stealing 2B,133160,Randy Winn,Bengie Molina,0,4,3,True,2000-09-13,Caught,2B,2000
435,1B,,Caught Stealing 2B,133160,Randy Winn,Ramon Hernandez,0,0,1,True,2000-09-11,Caught,2B,2000
1891,1B,2B,Stolen Base 2B,133160,Randy Winn,Mike Redmond,3,7,9,True,2000-07-07,Stolen,2B,2000
2103,1B,,Caught Stealing 2B,133160,Randy Winn,Charlie Greene,2,0,2,False,2000-06-27,Caught,2B,2000
2402,1B,,Caught Stealing 2B,133160,Randy Winn,Bengie Molina,2,2,2,False,2000-06-13,Caught,2B,2000
2535,1B,,Caught Stealing 2B,133160,Randy Winn,Mike Lieberthal,1,1,5,True,2000-06-07,Caught,2B,2000
2589,1B,,Caught Stealing 2B,133160,Randy Winn,Mike Lieberthal,0,0,1,True,2000-06-05,Caught,2B,2000
2682,1B,2B,Stolen Base 2B,133160,Randy Winn,Todd Pratt,2,1,6,True,2000-06-02,Stolen,2B,2000
2744,1B,2B,Stolen Base 2B,133160,Randy Winn,Charles Johnson,0,4,3,False,2000-05-30,Stolen,2B,2000
196,1B,,Caught Stealing 2B,133160,Randy Winn,Jorge Fabregas,0,0,1,False,2001-05-28,Caught,2B,2001
392,1B,2B,Stolen Base 2B,133160,Randy Winn,Robert Fick,1,0,2,False,2001-05-20,Stolen,2B,2001
488,1B,,Caught Stealing 2B,133160,Randy Winn,Héctor Ortiz,4,5,9,True,2001-05-16,Caught,2B,2001
1094,1B,2B,Stolen Base 2B,133160,Randy Winn,Brook Fordyce,8,8,9,False,2001-04-22,Stolen,2B,2001
1143,1B,2B,Stolen Base 2B,133160,Randy Winn,Brook Fordyce,3,6,8,False,2001-04-20,Stolen,2B,2001
1452,1B,2B,Stolen Base 2B,133160,Randy Winn,Jason Varitek,8,3,5,True,2001-04-06,Stolen,2B,2001
26,1B,2B,Stolen Base 2B,133160,Randy Winn,Doug Mirabelli,0,0,1,True,2002-09-28,Stolen,2B,2002
194,1B,2B,Stolen Base 2B,133160,Randy Winn,Kevin Cash,0,0,1,False,2002-09-20,Stolen,2B,2002
