,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
164,1B,2B,Stolen Base 2B,407862,Reed Johnson,Geronimo Gil,1,0,3,True,2003-09-21,Stolen,2B,2003
1103,1B,2B,Stolen Base 2B,407862,Reed Johnson,Bengie Molina,0,0,3,True,2003-08-03,Stolen,2B,2003
1239,1B,2B,Stolen Base 2B,407862,Reed Johnson,Toby Hall,7,6,8,False,2003-07-29,Stolen,2B,2003
1323,1B,2B,Stolen Base 2B,407862,Reed Johnson,Brook Fordyce,3,3,7,False,2003-07-25,Stolen,2B,2003
1499,1B,2B,Stolen Base 2B,407862,Reed Johnson,Jason Varitek,0,0,1,True,2003-07-17,Stolen,2B,2003
1934,1B,,Caught Stealing 2B,407862,Reed Johnson,Michael Barrett,0,5,6,True,2003-06-21,Caught,2B,2003
2463,1B,,Caught Stealing 2B,407862,Reed Johnson,Miguel Olivo,3,1,5,False,2003-05-27,Caught,2B,2003
1622,1B,2B,Stolen Base 2B,407862,Reed Johnson,Josh Paul,1,0,3,False,2004-07-10,Stolen,2B,2004
1680,2B,3B,Stolen Base 3B,407862,Reed Johnson,Pat Borders,8,4,7,False,2004-07-07,Stolen,3B,2004
1886,1B,2B,Stolen Base 2B,407862,Reed Johnson,Brian Schneider,10,5,8,False,2004-06-26,Stolen,2B,2004
2037,1B,2B,Stolen Base 2B,407862,Reed Johnson,Yorvit Torrealba,3,4,5,True,2004-06-17,Stolen,2B,2004
2664,1B,2B,Stolen Base 2B,407862,Reed Johnson,Henry Blanco,1,0,3,False,2004-05-18,Stolen,2B,2004
2665,1B,2B,Stolen Base 2B,407862,Reed Johnson,Henry Blanco,0,0,2,False,2004-05-17,Stolen,2B,2004
3051,1B,,Caught Stealing 2B,407862,Reed Johnson,Henry Blanco,3,1,7,True,2004-04-28,Caught,2B,2004
130,1B,,Caught Stealing 2B,407862,Reed Johnson,Jorge Posada,1,3,5,True,2005-09-25,Caught,2B,2005
311,1B,2B,Stolen Base 2B,407862,Reed Johnson,Jorge Posada,3,2,2,False,2005-09-16,Stolen,2B,2005
938,1B,2B,Stolen Base 2B,407862,Reed Johnson,Javy Lopez,0,0,3,True,2005-08-13,Stolen,2B,2005
1120,1B,2B,Stolen Base 2B,407862,Reed Johnson,A.J. Pierzynski,0,0,1,True,2005-08-03,Stolen,2B,2005
1121,2B,3B,Stolen Base 3B,407862,Reed Johnson,A.J. Pierzynski,0,0,1,True,2005-08-03,Stolen,3B,2005
1437,1B,,Caught Stealing 2B,407862,Reed Johnson,Pat Borders,12,9,7,False,2005-07-19,Caught,2B,2005
2352,1B,,Caught Stealing 2B,407862,Reed Johnson,Mike Redmond,2,0,7,False,2005-05-29,Caught,2B,2005
2909,1B,,Caught Stealing 2B,407862,Reed Johnson,Geronimo Gil,0,0,6,True,2005-05-03,Caught,2B,2005
2927,2B,3B,Stolen Base 3B,407862,Reed Johnson,Javy Lopez,0,2,2,True,2005-05-02,Stolen,3B,2005
3102,1B,,Caught Stealing 2B,407862,Reed Johnson,Geronimo Gil,0,1,6,False,2005-04-23,Caught,2B,2005
56,1B,,Caught Stealing 2B,407862,Reed Johnson,Raul Casanova,5,4,7,False,2007-09-28,Caught,2B,2007
1246,1B,2B,Stolen Base 2B,407862,Reed Johnson,Jorge Posada,2,1,5,False,2007-08-06,Stolen,2B,2007
1309,1B,,Caught Stealing 2B,407862,Reed Johnson,Gerald Laird,3,3,2,False,2007-08-03,Caught,2B,2007
1463,1B,2B,Stolen Base 2B,407862,Reed Johnson,A.J. Pierzynski,1,0,3,True,2007-07-27,Stolen,2B,2007
3768,2B,3B,Stolen Base 3B,407862,Reed Johnson,Josh Paul,1,7,4,True,2007-04-07,Stolen,3B,2007
3874,1B,2B,Stolen Base 2B,407862,Reed Johnson,Ivan Rodriguez,0,1,1,True,2007-04-02,Stolen,2B,2007
661,2B,,Caught Stealing 3B,407862,Reed Johnson,Carlos Ruiz,6,4,8,False,2008-08-28,Caught,3B,2008
1158,2B,3B,Stolen Base 3B,407862,Reed Johnson,Ryan Doumit,3,1,4,False,2008-08-02,Stolen,3B,2008
1160,2B,,Caught Stealing 3B,407862,Reed Johnson,Ryan Doumit,5,1,6,False,2008-08-02,Caught,3B,2008
2010,2B,,Caught Stealing 3B,407862,Reed Johnson,Dioner Navarro,2,1,7,True,2008-06-17,Caught,3B,2008
2310,2B,3B,Stolen Base 3B,407862,Reed Johnson,Michael Barrett,3,1,5,True,2008-06-03,Stolen,3B,2008
2311,1B,2B,Stolen Base 2B,407862,Reed Johnson,Michael Barrett,3,6,6,True,2008-06-03,Stolen,2B,2008
2419,2B,3B,Stolen Base 3B,407862,Reed Johnson,Yorvit Torrealba,8,4,8,False,2008-05-29,Stolen,3B,2008
2523,1B,,Caught Stealing 2B,407862,Reed Johnson,Ronny Paulino,1,0,2,True,2008-05-25,Caught,2B,2008
3285,1B,,Caught Stealing 2B,407862,Reed Johnson,Raul Casanova,0,0,1,False,2008-04-21,Caught,2B,2008
3538,1B,2B,Stolen Base 2B,407862,Reed Johnson,Ronny Paulino,3,7,8,True,2008-04-10,Stolen,2B,2008
