,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
16,1B,2B,Stolen Base 2B,435180,Robert Andino,Johnny Estrada,1,0,4,False,2005-09-30,Stolen,2B,2005
630,1B,,Caught Stealing 2B,435180,Robert Andino,Jeff Mathis,0,2,2,True,2009-07-03,Caught,2B,2009
1059,3B,score,Stolen Base Home,435180,Robert Andino,Brian McCann,5,0,2,False,2009-06-14,Stolen,Home,2009
1107,1B,,Caught Stealing 2B,435180,Robert Andino,Brian McCann,1,2,2,False,2009-06-12,Caught,2B,2009
1382,1B,,Caught Stealing 2B,435180,Robert Andino,Gerald Laird,0,1,6,False,2009-05-31,Caught,2B,2009
2230,1B,2B,Stolen Base 2B,435180,Robert Andino,Taylor Teagarden,4,0,2,False,2009-04-27,Stolen,2B,2009
2762,1B,,Caught Stealing 2B,435180,Robert Andino,Ramon Castro,7,8,8,True,2009-04-02,Caught,2B,2009
266,1B,2B,Stolen Base 2B,435180,Robert Andino,Francisco Cervelli,0,2,1,False,2010-09-18,Stolen,2B,2010
125,1B,2B,Stolen Base 2B,435180,Robert Andino,Alex Avila,3,0,4,True,2011-09-25,Stolen,2B,2011
216,1B,2B,Stolen Base 2B,435180,Robert Andino,Jason Varitek,4,2,6,True,2011-09-21,Stolen,2B,2011
252,2B,3B,Stolen Base 3B,435180,Robert Andino,Jarrod Saltalamacchia,5,7,8,True,2011-09-20,Stolen,3B,2011
283,1B,2B,Stolen Base 2B,435180,Robert Andino,Jason Varitek,11,7,5,True,2011-09-19,Stolen,2B,2011
553,2B,,Caught Stealing 3B,435180,Robert Andino,Francisco Cervelli,4,4,8,False,2011-09-08,Caught,3B,2011
806,2B,,Caught Stealing 3B,435180,Robert Andino,Francisco Cervelli,4,4,8,False,2011-08-27,Caught,3B,2011
856,1B,2B,Stolen Base 2B,435180,Robert Andino,Russell Martin,0,0,1,False,2011-08-26,Stolen,2B,2011
933,1B,2B,Stolen Base 2B,435180,Robert Andino,Drew Butera,0,0,3,True,2011-08-22,Stolen,2B,2011
979,1B,2B,Stolen Base 2B,435180,Robert Andino,Hank Conger,6,6,9,True,2011-08-20,Stolen,2B,2011
1258,2B,3B,Stolen Base 3B,435180,Robert Andino,A.J. Pierzynski,3,4,5,False,2011-08-08,Stolen,3B,2011
1454,1B,2B,Stolen Base 2B,435180,Robert Andino,Russell Martin,0,0,3,True,2011-07-31,Stolen,2B,2011
1455,2B,3B,Stolen Base 3B,435180,Robert Andino,Russell Martin,0,1,3,True,2011-07-31,Stolen,3B,2011
1457,1B,2B,Stolen Base 2B,435180,Robert Andino,Russell Martin,4,2,7,True,2011-07-31,Stolen,2B,2011
1936,1B,,Caught Stealing 2B,435180,Robert Andino,Jason Varitek,6,6,4,True,2011-07-10,Caught,2B,2011
3090,1B,2B,Stolen Base 2B,435180,Robert Andino,Brayan Peña,0,1,1,False,2011-05-24,Stolen,2B,2011
3668,1B,2B,Stolen Base 2B,435180,Robert Andino,A.J. Pierzynski,1,3,8,True,2011-04-30,Stolen,2B,2011
3860,2B,,Caught Stealing 3B,435180,Robert Andino,Francisco Cervelli,4,4,8,False,2011-04-22,Caught,3B,2011
135,1B,2B,Stolen Base 2B,435180,Robert Andino,J.P. Arencibia,2,4,2,False,2012-09-24,Stolen,2B,2012
805,1B,2B,Stolen Base 2B,435180,Robert Andino,J.P. Arencibia,2,4,2,False,2012-08-26,Stolen,2B,2012
1011,2B,,Caught Stealing 3B,435180,Robert Andino,Alex Avila,0,0,3,True,2012-08-18,Caught,3B,2012
1280,1B,,Caught Stealing 2B,435180,Robert Andino,Jose Lobaton,0,0,3,True,2012-08-05,Caught,2B,2012
1925,1B,,Caught Stealing 2B,435180,Robert Andino,Bobby Wilson,0,0,3,True,2012-07-07,Caught,2B,2012
2142,1B,2B,Stolen Base 2B,435180,Robert Andino,Lou Marson,3,5,5,False,2012-06-29,Stolen,2B,2012
2671,1B,2B,Stolen Base 2B,435180,Robert Andino,Jarrod Saltalamacchia,6,8,10,True,2012-06-05,Stolen,2B,2012
2897,1B,2B,Stolen Base 2B,435180,Robert Andino,Humberto Quintero,2,2,4,False,2012-05-27,Stolen,2B,2012
2952,1B,2B,Stolen Base 2B,435180,Robert Andino,Brayan Peña,3,0,5,False,2012-05-25,Stolen,2B,2012
3280,2B,,Caught Stealing 3B,435180,Robert Andino,Chris Gimenez,0,0,1,False,2012-05-12,Caught,3B,2012
3799,1B,,Caught Stealing 2B,435180,Robert Andino,Tyler Flowers,3,5,9,True,2012-04-19,Caught,2B,2012
