,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
137,1B,2B,Stolen Base 2B,465668,Roger Bernadina,John Baker,7,3,8,False,2008-09-23,Stolen,2B,2008
196,1B,,Caught Stealing 2B,465668,Roger Bernadina,Nick Hundley,2,0,2,False,2008-09-19,Caught,2B,2008
198,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Nick Hundley,6,6,10,False,2008-09-19,Stolen,2B,2008
199,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Nick Hundley,6,6,12,False,2008-09-19,Stolen,2B,2008
512,2B,3B,Stolen Base 3B,465668,Roger Bernadina,Carlos Ruiz,6,5,8,False,2008-09-03,Stolen,3B,2008
1640,1B,,Caught Stealing 2B,465668,Roger Bernadina,Paul Bako,0,0,1,True,2008-07-05,Caught,2B,2008
1772,1B,,Caught Stealing 2B,465668,Roger Bernadina,Guillermo Quiroz,1,1,10,False,2008-06-29,Caught,2B,2008
2472,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Lou Marson,7,2,8,False,2009-04-16,Stolen,2B,2009
223,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Jason Castro,3,3,8,False,2010-09-21,Stolen,2B,2010
400,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Mike Rivera,3,6,4,False,2010-09-12,Stolen,2B,2010
533,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Josh Thole,6,3,5,False,2010-09-06,Stolen,2B,2010
676,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Brett Hayes,3,5,7,True,2010-08-30,Stolen,2B,2010
755,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Bryan Anderson,0,1,2,False,2010-08-27,Stolen,2B,2010
836,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Carlos Ruiz,1,0,2,True,2010-08-22,Stolen,2B,2010
837,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Carlos Ruiz,2,0,4,True,2010-08-22,Stolen,2B,2010
1077,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Ronny Paulino,0,4,1,False,2010-08-11,Stolen,2B,2010
1219,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Miguel Montero,1,3,3,True,2010-08-04,Stolen,2B,2010
1958,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Brian McCann,1,4,7,True,2010-06-29,Stolen,2B,2010
2119,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Jason Kendall,0,1,8,False,2010-06-23,Stolen,2B,2010
2245,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Gerald Laird,5,2,4,True,2010-06-16,Stolen,2B,2010
2403,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Jason Jaramillo,7,5,8,False,2010-06-09,Stolen,2B,2010
2504,1B,,Caught Stealing 2B,465668,Roger Bernadina,Ramon Hernandez,0,1,2,False,2010-06-05,Caught,2B,2010
2552,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Kevin Cash,3,2,6,True,2010-06-03,Stolen,2B,2010
2981,1B,,Caught Stealing 2B,465668,Roger Bernadina,Miguel Olivo,3,2,7,True,2010-05-15,Caught,2B,2010
2984,1B,,Caught Stealing 2B,465668,Roger Bernadina,Miguel Olivo,3,2,7,True,2010-05-14,Caught,2B,2010
3101,1B,2B,Stolen Base 2B,465668,Roger Bernadina,John Baker,3,2,8,False,2010-05-09,Stolen,2B,2010
3315,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Ronny Paulino,0,2,2,True,2010-04-30,Stolen,2B,2010
29,1B,,Caught Stealing 2B,465668,Roger Bernadina,Brett Hayes,1,3,8,True,2011-09-28,Caught,2B,2011
193,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Carlos Ruiz,0,2,3,True,2011-09-22,Stolen,2B,2011
1764,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Humberto Quintero,0,0,1,True,2011-07-20,Stolen,2B,2011
1838,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Brian McCann,0,0,1,True,2011-07-17,Stolen,2B,2011
1841,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Brian McCann,2,5,4,True,2011-07-17,Stolen,2B,2011
1935,1B,,Caught Stealing 2B,465668,Roger Bernadina,Matt Pagnozzi,1,0,6,False,2011-07-10,Caught,2B,2011
2011,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Geovany Soto,8,9,8,False,2011-07-07,Stolen,2B,2011
2037,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Geovany Soto,2,0,1,False,2011-07-06,Stolen,2B,2011
2313,1B,,Caught Stealing 2B,465668,Roger Bernadina,Ramon Castro,1,0,3,True,2011-06-25,Caught,2B,2011
2334,1B,2B,Stolen Base 2B,465668,Roger Bernadina,A.J. Pierzynski,0,0,8,True,2011-06-24,Stolen,2B,2011
2476,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Matt Wieters,4,2,7,False,2011-06-18,Stolen,2B,2011
2721,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Eli Whiteside,0,0,3,True,2011-06-08,Stolen,2B,2011
2730,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Chris Stewart,1,2,6,True,2011-06-07,Stolen,2B,2011
2966,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Kyle Phillips,0,0,1,False,2011-05-29,Stolen,2B,2011
3067,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Jonathan Lucroy,3,3,5,True,2011-05-25,Stolen,2B,2011
3081,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Jonathan Lucroy,2,6,4,True,2011-05-24,Stolen,2B,2011
3373,2B,3B,Stolen Base 3B,465668,Roger Bernadina,John Buck,4,4,4,False,2011-05-13,Stolen,3B,2011
3380,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Brian McCann,0,0,1,True,2011-05-12,Stolen,2B,2011
3434,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Brian McCann,0,0,1,True,2011-05-10,Stolen,2B,2011
3490,1B,2B,Stolen Base 2B,465668,Roger Bernadina,John Buck,0,2,2,True,2011-05-07,Stolen,2B,2011
597,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Welington Castillo,0,0,1,False,2012-09-05,Stolen,2B,2012
840,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Erik Kratz,2,0,5,True,2012-08-25,Stolen,2B,2012
1044,2B,,Caught Stealing 3B,465668,Roger Bernadina,Kelly Shoppach,6,4,7,False,2012-08-17,Caught,3B,2012
1192,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Chris Snyder,0,0,1,True,2012-08-09,Stolen,2B,2012
1193,1B,2B,Stolen Base 2B,465668,Roger Bernadina,Chris Snyder,0,0,4,True,2012-08-09,Stolen,2B,2012
1660,1B,,Caught Stealing 2B,465668,Roger Bernadina,Brian McCann,4,0,1,False,2012-07-22,Caught,2B,2012
