,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
110,1B,2B,Stolen Base 2B,596059,Rougned Odor,Jason Castro,0,0,4,False,2014-09-24,Stolen,2B,2014
270,1B,2B,Stolen Base 2B,596059,Rougned Odor,Derek Norris,0,0,2,True,2014-09-16,Stolen,2B,2014
665,1B,,Caught Stealing 2B,596059,Rougned Odor,Carlos Corporán,0,0,6,True,2014-08-30,Caught,2B,2014
1104,1B,,Caught Stealing 2B,596059,Rougned Odor,Jason Castro,1,2,7,True,2014-08-08,Caught,2B,2014
1844,1B,2B,Stolen Base 2B,596059,Rougned Odor,Kurt Suzuki,1,0,3,False,2014-06-28,Stolen,2B,2014
2000,1B,2B,Stolen Base 2B,596059,Rougned Odor,Hank Conger,0,1,5,True,2014-06-21,Stolen,2B,2014
2562,1B,,Caught Stealing 2B,596059,Rougned Odor,Alex Avila,1,3,2,True,2014-05-25,Caught,2B,2014
2750,1B,,Caught Stealing 2B,596059,Rougned Odor,Jason Castro,0,4,6,True,2014-05-14,Caught,2B,2014
2867,1B,,Caught Stealing 2B,596059,Rougned Odor,A.J. Pierzynski,3,0,4,False,2014-05-09,Caught,2B,2014
82,1B,,Caught Stealing 2B,596059,Rougned Odor,Jason Castro,0,3,1,True,2015-09-26,Caught,2B,2015
798,1B,,Caught Stealing 2B,596059,Rougned Odor,Jesús Sucre,2,3,7,False,2015-08-18,Caught,2B,2015
993,1B,,Caught Stealing 2B,596059,Rougned Odor,Jesús Sucre,3,3,9,True,2015-08-08,Caught,2B,2015
1691,1B,2B,Stolen Base 2B,596059,Rougned Odor,Russell Martin,0,0,1,True,2015-06-28,Stolen,2B,2015
1715,1B,2B,Stolen Base 2B,596059,Rougned Odor,Dioner Navarro,0,4,9,True,2015-06-27,Stolen,2B,2015
1841,1B,2B,Stolen Base 2B,596059,Rougned Odor,Tyler Flowers,3,2,5,True,2015-06-20,Stolen,2B,2015
1888,1B,2B,Stolen Base 2B,596059,Rougned Odor,A.J. Ellis,0,1,2,True,2015-06-17,Stolen,2B,2015
1889,1B,,Caught Stealing 2B,596059,Rougned Odor,A.J. Ellis,0,4,4,True,2015-06-17,Caught,2B,2015
3241,1B,2B,Stolen Base 2B,596059,Rougned Odor,Chris Iannetta,1,0,1,False,2015-04-14,Stolen,2B,2015
86,2B,3B,Stolen Base 3B,596059,Rougned Odor,Nick Hundley,3,3,9,True,2016-08-08,Stolen,3B,2016
362,1B,2B,Stolen Base 2B,596059,Rougned Odor,Stephen Vogt,0,0,2,False,2016-07-26,Stolen,2B,2016
384,1B,2B,Stolen Base 2B,596059,Rougned Odor,Matt McBride,5,6,7,False,2016-07-25,Stolen,2B,2016
509,1B,2B,Stolen Base 2B,596059,Rougned Odor,Jett Bandy,0,1,3,True,2016-07-19,Stolen,2B,2016
533,1B,,Caught Stealing 2B,596059,Rougned Odor,Jett Bandy,0,4,3,True,2016-07-18,Caught,2B,2016
617,1B,,Caught Stealing 2B,596059,Rougned Odor,Willson Contreras,1,0,3,True,2016-07-15,Caught,2B,2016
888,1B,2B,Stolen Base 2B,596059,Rougned Odor,Christian Vázquez,0,1,2,False,2016-06-25,Stolen,2B,2016
