,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
247,1B,2B,Stolen Base 2B,121409,Scott Rolen,Jason Kendall,4,4,8,False,2000-09-20,Stolen,2B,2000
1243,1B,2B,Stolen Base 2B,121409,Scott Rolen,Ben Davis,1,0,1,False,2000-08-08,Stolen,2B,2000
1244,2B,3B,Stolen Base 3B,121409,Scott Rolen,Ben Davis,2,0,3,False,2000-08-08,Stolen,3B,2000
1580,2B,3B,Stolen Base 3B,121409,Scott Rolen,Joe Girardi,6,6,7,False,2000-07-25,Stolen,3B,2000
1784,1B,2B,Stolen Base 2B,121409,Scott Rolen,Darrin Fletcher,3,6,8,True,2000-07-15,Stolen,2B,2000
2007,1B,,Caught Stealing 2B,121409,Scott Rolen,Jason Kendall,2,1,4,False,2000-07-01,Caught,2B,2000
3120,1B,2B,Stolen Base 2B,121409,Scott Rolen,Fernando Lunar,0,1,2,False,2000-05-13,Stolen,2B,2000
3219,1B,2B,Stolen Base 2B,121409,Scott Rolen,Chris Widger,0,2,6,True,2000-05-09,Stolen,2B,2000
3310,1B,2B,Stolen Base 2B,121409,Scott Rolen,Javy Lopez,2,1,6,True,2000-05-05,Stolen,2B,2000
181,1B,2B,Stolen Base 2B,121409,Scott Rolen,Mike Piazza,1,3,6,True,2001-05-29,Stolen,2B,2001
247,2B,3B,Stolen Base 3B,121409,Scott Rolen,Michael Barrett,6,3,7,False,2001-05-27,Stolen,3B,2001
528,1B,,Caught Stealing 2B,121409,Scott Rolen,Raul Casanova,10,10,9,False,2001-05-15,Caught,2B,2001
552,1B,,Caught Stealing 2B,121409,Scott Rolen,Damian Miller,0,1,3,True,2001-05-13,Caught,2B,2001
555,1B,2B,Stolen Base 2B,121409,Scott Rolen,Damian Miller,2,1,6,True,2001-05-13,Stolen,2B,2001
931,1B,2B,Stolen Base 2B,121409,Scott Rolen,Angel Pena,0,2,1,True,2001-04-28,Stolen,2B,2001
1074,1B,,Caught Stealing 2B,121409,Scott Rolen,Ben Davis,1,5,8,True,2001-04-23,Caught,2B,2001
1189,1B,2B,Stolen Base 2B,121409,Scott Rolen,Joe Girardi,4,2,7,True,2001-04-18,Stolen,2B,2001
218,3B,,Caught Stealing Home,121409,Scott Rolen,Sandy Alomar Jr.,0,2,1,True,2002-09-19,Caught,Home,2002
427,1B,2B,Stolen Base 2B,121409,Scott Rolen,Jorge Fabregas,0,2,7,True,2002-09-09,Stolen,2B,2002
959,2B,3B,Stolen Base 3B,121409,Scott Rolen,Jason Kendall,1,5,5,True,2002-08-14,Stolen,3B,2002
1019,1B,2B,Stolen Base 2B,121409,Scott Rolen,Mike Piazza,4,0,3,False,2002-08-10,Stolen,2B,2002
1074,3B,,Caught Stealing Home,121409,Scott Rolen,Brian Schneider,1,3,6,False,2002-08-07,Caught,Home,2002
1290,1B,2B,Stolen Base 2B,121409,Scott Rolen,Henry Blanco,4,1,6,True,2002-07-27,Stolen,2B,2002
1784,1B,2B,Stolen Base 2B,121409,Scott Rolen,Mike Piazza,7,7,7,False,2002-07-03,Stolen,2B,2002
1905,2B,,Caught Stealing 3B,121409,Scott Rolen,Geronimo Gil,2,3,4,True,2002-06-28,Caught,3B,2002
2265,1B,2B,Stolen Base 2B,121409,Scott Rolen,Einar Díaz,1,3,8,True,2002-06-10,Stolen,2B,2002
2636,2B,3B,Stolen Base 3B,121409,Scott Rolen,Michael Barrett,5,7,7,True,2002-05-25,Stolen,3B,2002
3530,1B,2B,Stolen Base 2B,121409,Scott Rolen,Jason Kendall,3,4,6,True,2002-04-19,Stolen,2B,2002
106,1B,2B,Stolen Base 2B,121409,Scott Rolen,Eddie Pérez,3,5,5,True,2003-09-24,Stolen,2B,2003
155,2B,,Caught Stealing 3B,121409,Scott Rolen,Raul Chavez,6,4,7,False,2003-09-21,Caught,3B,2003
185,1B,2B,Stolen Base 2B,121409,Scott Rolen,Brad Ausmus,2,2,12,False,2003-09-20,Stolen,2B,2003
504,1B,2B,Stolen Base 2B,121409,Scott Rolen,Damian Miller,0,1,1,True,2003-09-04,Stolen,2B,2003
900,1B,2B,Stolen Base 2B,121409,Scott Rolen,Jason Kendall,1,4,8,True,2003-08-14,Stolen,2B,2003
1419,1B,2B,Stolen Base 2B,121409,Scott Rolen,David Ross,7,8,9,True,2003-07-20,Stolen,2B,2003
