,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
483,1B,2B,Stolen Base 2B,594988,Scott Schebler,Derek Norris,3,2,4,True,2015-09-04,Stolen,2B,2015
484,1B,2B,Stolen Base 2B,594988,Scott Schebler,Derek Norris,3,8,7,True,2015-09-04,Stolen,2B,2015
67,1B,2B,Stolen Base 2B,594988,Scott Schebler,Yadier Molina,1,2,4,True,2016-08-09,Stolen,2B,2016
1892,1B,2B,Stolen Base 2B,594988,Scott Schebler,Buster Posey,6,3,3,False,2016-05-02,Stolen,2B,2016
2371,1B,,Caught Stealing 2B,594988,Scott Schebler,Francisco Cervelli,3,1,6,False,2016-04-09,Caught,2B,2016
467,1B,2B,Stolen Base 2B,594988,Scott Schebler,Stephen Vogt,0,0,2,False,2017-09-05,Stolen,2B,2017
648,1B,,Caught Stealing 2B,594988,Scott Schebler,Elias Díaz,2,3,6,False,2017-08-27,Caught,2B,2017
1408,1B,,Caught Stealing 2B,594988,Scott Schebler,Chris Herrmann,1,1,2,False,2017-07-18,Caught,2B,2017
1479,1B,2B,Stolen Base 2B,594988,Scott Schebler,Matt Wieters,0,2,2,False,2017-07-14,Stolen,2B,2017
2616,1B,2B,Stolen Base 2B,594988,Scott Schebler,Buster Posey,1,2,4,True,2017-05-12,Stolen,2B,2017
2685,1B,2B,Stolen Base 2B,594988,Scott Schebler,Gary Sánchez,5,3,5,False,2017-05-09,Stolen,2B,2017
3082,1B,2B,Stolen Base 2B,594988,Scott Schebler,Welington Castillo,0,1,4,False,2017-04-19,Stolen,2B,2017
22,1B,2B,Stolen Base 2B,594988,Scott Schebler,Elias Díaz,3,0,4,False,2018-09-30,Stolen,2B,2018
382,1B,,Caught Stealing 2B,594988,Scott Schebler,Yasmani Grandal,1,0,1,False,2018-09-12,Caught,2B,2018
1543,1B,,Caught Stealing 2B,594988,Scott Schebler,Yan Gomes,0,1,3,True,2018-07-09,Caught,2B,2018
1561,1B,2B,Stolen Base 2B,594988,Scott Schebler,Willson Contreras,5,5,9,True,2018-07-08,Stolen,2B,2018
2452,1B,2B,Stolen Base 2B,594988,Scott Schebler,Victor Caratini,4,4,8,False,2018-05-19,Stolen,2B,2018
3281,1B,2B,Stolen Base 2B,594988,Scott Schebler,Victor Caratini,4,4,8,False,2018-04-03,Stolen,2B,2018
2585,1B,,Caught Stealing 2B,594988,Scott Schebler,Francisco Mejía,1,4,8,True,2019-04-20,Caught,2B,2019
