,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
2024,1B,,Caught Stealing 2B,122596,Scott Spiezio,Ramon Hernandez,4,0,6,False,2000-06-30,Caught,2B,2000
3397,1B,3B,Caught Stealing 2B,122596,Scott Spiezio,Charles Johnson,5,6,7,True,2000-05-02,Caught,2B,2000
3713,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Darrin Fletcher,0,1,2,True,2000-04-18,Stolen,2B,2000
281,1B,,Caught Stealing 2B,122596,Scott Spiezio,John Flaherty,0,1,2,True,2001-05-25,Caught,2B,2001
1123,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Dan Wilson,4,1,5,True,2001-04-21,Stolen,2B,2001
114,1B,,Caught Stealing 2B,122596,Scott Spiezio,Ivan Rodriguez,2,1,9,True,2002-09-24,Caught,2B,2002
319,2B,3B,Stolen Base 3B,122596,Scott Spiezio,Ivan Rodriguez,4,5,3,False,2002-09-14,Stolen,3B,2002
873,1B,,Caught Stealing 2B,122596,Scott Spiezio,Einar Díaz,2,1,4,False,2002-08-17,Caught,2B,2002
1012,1B,,Caught Stealing 2B,122596,Scott Spiezio,Ken Huckaby,0,1,5,True,2002-08-11,Caught,2B,2002
1252,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Jason Varitek,3,4,7,False,2002-07-29,Stolen,2B,2002
1407,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Dan Wilson,6,5,8,False,2002-07-21,Stolen,2B,2002
1546,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Tom Prince,2,4,9,True,2002-07-16,Stolen,2B,2002
2199,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Jason Kendall,8,5,8,False,2002-06-12,Stolen,2B,2002
2325,1B,,Caught Stealing 2B,122596,Scott Spiezio,Jason LaRue,4,0,4,False,2002-06-07,Caught,2B,2002
2603,3B,,Caught Stealing Home,122596,Scott Spiezio,A.J. Pierzynski,1,1,4,False,2002-05-26,Caught,Home,2002
3159,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Darrin Fletcher,0,4,3,True,2002-05-05,Stolen,2B,2002
3498,1B,,Caught Stealing 2B,122596,Scott Spiezio,Ramon Hernandez,0,0,2,True,2002-04-20,Caught,2B,2002
358,3B,score,Caught Stealing 2B,122596,Scott Spiezio,Adam Melhuse,0,2,1,True,2003-09-11,Caught,2B,2003
420,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Ramon Hernandez,0,0,2,True,2003-09-08,Stolen,2B,2003
820,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Matt Walbeck,4,3,5,False,2003-08-17,Stolen,2B,2003
1007,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Josh Bard,0,1,1,True,2003-08-09,Stolen,2B,2003
1096,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Jason Varitek,0,5,3,True,2003-08-05,Stolen,2B,2003
1102,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Tom Wilson,0,0,2,False,2003-08-03,Stolen,2B,2003
1580,1B,,Caught Stealing 2B,122596,Scott Spiezio,Mike DiFelice,5,1,6,False,2003-07-10,Caught,2B,2003
2351,1B,,Caught Stealing 2B,122596,Scott Spiezio,Toby Hall,0,3,4,True,2003-06-01,Caught,2B,2003
2993,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Josh Bard,0,1,1,True,2003-05-01,Stolen,2B,2003
3049,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Josh Bard,1,6,6,True,2003-04-29,Stolen,2B,2003
3123,1B,,Caught Stealing 2B,122596,Scott Spiezio,Jorge Posada,6,2,8,False,2003-04-24,Caught,2B,2003
198,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Josh Paul,3,5,5,True,2004-09-21,Stolen,2B,2004
1253,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Bengie Molina,3,2,5,True,2004-07-30,Stolen,2B,2004
2156,1B,,Caught Stealing 2B,122596,Scott Spiezio,Brian Schneider,0,0,2,False,2004-06-11,Caught,2B,2004
2242,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Raul Chavez,3,0,1,False,2004-06-07,Stolen,2B,2004
2477,1B,2B,Stolen Base 2B,122596,Scott Spiezio,Jason Varitek,1,4,5,True,2004-05-28,Stolen,2B,2004
1864,1B,,Caught Stealing 2B,122596,Scott Spiezio,Bengie Molina,2,2,5,False,2007-07-07,Caught,2B,2007
