,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
582,1B,2B,Stolen Base 2B,572204,Trayce Thompson,John Hicks,4,5,9,False,2015-08-30,Stolen,2B,2015
831,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Jonathan Lucroy,0,2,2,True,2016-06-28,Stolen,2B,2016
832,2B,3B,Stolen Base 2B,572204,Trayce Thompson,Jonathan Lucroy,0,2,2,True,2016-06-28,Stolen,2B,2016
1268,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Tyler Flowers,1,0,4,False,2016-06-04,Stolen,2B,2016
1270,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Tyler Flowers,1,0,6,False,2016-06-04,Stolen,2B,2016
1273,2B,3B,Stolen Base 3B,572204,Trayce Thompson,Tyler Flowers,2,0,8,False,2016-06-04,Stolen,3B,2016
1491,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Tucker Barnhart,1,0,6,False,2016-05-23,Stolen,2B,2016
1875,1B,,Caught Stealing 2B,572204,Trayce Thompson,Curt Casali,3,7,5,True,2016-05-03,Caught,2B,2016
2002,1B,,Caught Stealing 2B,572204,Trayce Thompson,Yan Gomes,2,2,5,False,2018-06-14,Caught,2B,2018
2126,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Mitch Garver,1,0,3,True,2018-06-06,Stolen,2B,2018
2483,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Robinson Chirinos,0,1,3,False,2018-05-17,Stolen,2B,2018
2750,2B,3B,Stolen Base 3B,572204,Trayce Thompson,Yadier Molina,1,0,4,True,2018-05-01,Stolen,3B,2018
185,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Omar Narváez,2,1,7,True,2021-09-19,Stolen,2B,2021
205,2B,3B,Stolen Base 3B,572204,Trayce Thompson,Manny Piña,6,4,9,True,2021-09-18,Stolen,3B,2021
558,1B,2B,Stolen Base 2B,572204,Trayce Thompson,James McCann,3,2,7,True,2022-09-01,Stolen,2B,2022
1062,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Joey Bart,0,0,2,True,2022-08-03,Stolen,2B,2022
1702,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Travis d'Arnaud,2,2,9,True,2022-06-26,Stolen,2B,2022
2788,1B,,Caught Stealing 2B,572204,Trayce Thompson,Andrew Knapp,3,6,6,True,2022-04-29,Caught,2B,2022
1257,1B,2B,Stolen Base 2B,572204,Trayce Thompson,Kyle Higashioka,5,1,5,False,2023-08-09,Stolen,2B,2023
