,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
313,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Joe Oliver,1,3,9,False,2000-09-17,Stolen,2B,2000
735,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Brad Ausmus,1,2,8,False,2000-08-31,Stolen,2B,2000
831,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,John Flaherty,3,2,8,False,2000-08-27,Caught,2B,2000
1793,2B,3B,Stolen Base 3B,116248,Trenidad Hubbard,Greg Myers,1,4,9,True,2000-07-14,Stolen,3B,2000
1942,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Chris Widger,5,3,6,False,2000-07-04,Stolen,2B,2000
3473,3B,,Caught Stealing Home,116248,Trenidad Hubbard,Wiki Gonzalez,2,3,8,True,2000-04-28,Caught,Home,2000
657,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,Brad Ausmus,2,1,8,True,2002-08-28,Caught,2B,2002
788,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,Javy Lopez,3,5,7,False,2002-08-21,Caught,2B,2002
941,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Vance Wilson,1,5,7,True,2002-08-15,Stolen,2B,2002
951,2B,3B,Stolen Base 3B,116248,Trenidad Hubbard,Vance Wilson,0,3,3,True,2002-08-14,Stolen,3B,2002
1073,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,Mike Lieberthal,5,2,7,False,2002-08-07,Caught,2B,2002
1113,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Jason LaRue,10,10,8,False,2002-08-04,Stolen,2B,2002
1166,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,Kelly Stinnett,3,0,4,False,2002-08-02,Caught,2B,2002
2169,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,Ben Davis,3,6,7,False,2002-06-14,Caught,2B,2002
2503,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Bobby Estalella,0,4,1,False,2002-05-30,Stolen,2B,2002
2504,2B,3B,Stolen Base 3B,116248,Trenidad Hubbard,Bobby Estalella,0,4,1,False,2002-05-30,Stolen,3B,2002
2896,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Michael Barrett,1,1,9,False,2002-05-15,Stolen,2B,2002
2921,1B,,Caught Stealing 2B,116248,Trenidad Hubbard,Michael Barrett,0,1,1,False,2002-05-14,Caught,2B,2002
2990,2B,3B,Stolen Base 3B,116248,Trenidad Hubbard,Javy Lopez,0,1,1,True,2002-05-12,Stolen,3B,2002
3088,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Charles Johnson,3,4,8,True,2002-05-08,Stolen,2B,2002
3305,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Keith Osik,0,0,1,True,2002-04-28,Stolen,2B,2002
3314,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Keith Osik,0,0,1,True,2002-04-27,Stolen,2B,2002
1430,1B,2B,Stolen Base 2B,116248,Trenidad Hubbard,Ivan Rodriguez,0,6,4,True,2003-07-20,Stolen,2B,2003
