,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
145,1B,2B,Stolen Base 2B,663757,Trent Grisham,Elias Díaz,6,1,6,False,2019-09-21,Stolen,2B,2019
118,1B,2B,Stolen Base 2B,663757,Trent Grisham,Max Stassi,1,4,8,False,2020-09-22,Stolen,2B,2020
155,1B,2B,Stolen Base 2B,663757,Trent Grisham,Joseph Odom,0,0,3,True,2020-09-20,Stolen,2B,2020
191,2B,3B,Stolen Base 3B,663757,Trent Grisham,Luis Torrens,0,1,3,True,2020-09-18,Stolen,3B,2020
357,2B,3B,Stolen Base 3B,663757,Trent Grisham,Joey Bart,0,0,1,False,2020-09-10,Stolen,3B,2020
416,1B,2B,Stolen Base 2B,663757,Trent Grisham,Tony Wolters,0,0,7,False,2020-09-07,Stolen,2B,2020
439,1B,2B,Stolen Base 2B,663757,Trent Grisham,Sean Murphy,1,0,3,True,2020-09-06,Stolen,2B,2020
870,1B,2B,Stolen Base 2B,663757,Trent Grisham,Stephen Vogt,0,0,3,True,2020-08-14,Stolen,2B,2020
978,1B,,Caught Stealing 2B,663757,Trent Grisham,Stephen Vogt,1,0,1,False,2020-08-07,Caught,2B,2020
1016,1B,2B,Stolen Base 2B,663757,Trent Grisham,Will Smith,4,7,7,False,2020-08-05,Stolen,2B,2020
1109,1B,2B,Stolen Base 2B,663757,Trent Grisham,Tony Wolters,5,5,9,True,2020-07-31,Stolen,2B,2020
1123,2B,3B,Stolen Base 3B,663757,Trent Grisham,Tyler Heineman,1,6,7,True,2020-07-30,Stolen,3B,2020
19,1B,2B,Stolen Base 2B,663757,Trent Grisham,Will Smith,5,9,7,True,2021-09-29,Stolen,2B,2021
63,1B,2B,Stolen Base 2B,663757,Trent Grisham,Travis d'Arnaud,3,4,7,False,2021-09-26,Stolen,2B,2021
100,1B,2B,Stolen Base 2B,663757,Trent Grisham,Stephen Vogt,0,4,2,True,2021-09-24,Stolen,2B,2021
143,1B,,Caught Stealing 2B,663757,Trent Grisham,Buster Posey,5,5,6,False,2021-09-21,Caught,2B,2021
626,1B,2B,Stolen Base 2B,663757,Trent Grisham,Andrew Knapp,0,1,7,False,2021-08-21,Stolen,2B,2021
1119,1B,2B,Stolen Base 2B,663757,Trent Grisham,Stephen Vogt,0,4,2,True,2021-07-21,Stolen,2B,2021
1139,1B,2B,Stolen Base 2B,663757,Trent Grisham,Stephen Vogt,0,4,2,True,2021-07-19,Stolen,2B,2021
1164,1B,2B,Stolen Base 2B,663757,Trent Grisham,Tres Barrera,7,7,9,True,2021-07-18,Stolen,2B,2021
1217,1B,2B,Stolen Base 2B,663757,Trent Grisham,Elias Díaz,1,1,4,False,2021-07-11,Stolen,2B,2021
1391,1B,,Caught Stealing 2B,663757,Trent Grisham,Tyler Stephenson,0,0,1,True,2021-07-01,Caught,2B,2021
2113,1B,2B,Stolen Base 2B,663757,Trent Grisham,Yadier Molina,5,3,8,False,2021-05-16,Stolen,2B,2021
2188,2B,,Caught Stealing 3B,663757,Trent Grisham,Elias Díaz,2,2,7,True,2021-05-12,Caught,3B,2021
2216,2B,,Caught Stealing 3B,663757,Trent Grisham,Elias Díaz,2,2,7,True,2021-05-10,Caught,3B,2021
2310,1B,2B,Stolen Base 2B,663757,Trent Grisham,Jacob Stallings,0,2,6,False,2021-05-04,Stolen,2B,2021
2462,1B,2B,Stolen Base 2B,663757,Trent Grisham,Austin Barnes,7,7,11,True,2021-04-25,Stolen,2B,2021
2509,1B,2B,Stolen Base 2B,663757,Trent Grisham,Will Smith,2,3,8,True,2021-04-22,Stolen,2B,2021
2528,1B,2B,Stolen Base 2B,663757,Trent Grisham,Omar Narváez,1,0,3,False,2021-04-21,Stolen,2B,2021
2587,1B,2B,Stolen Base 2B,663757,Trent Grisham,Austin Barnes,0,1,6,False,2021-04-17,Stolen,2B,2021
2626,1B,2B,Stolen Base 2B,663757,Trent Grisham,Jacob Stallings,0,1,1,True,2021-04-15,Stolen,2B,2021
108,1B,,Caught Stealing 2B,663757,Trent Grisham,Brian Serven,2,9,7,True,2022-09-24,Caught,2B,2022
415,1B,2B,Stolen Base 2B,663757,Trent Grisham,Cooper Hummel,4,3,5,False,2022-09-07,Stolen,2B,2022
888,1B,2B,Stolen Base 2B,663757,Trent Grisham,Keibert Ruiz,0,3,6,True,2022-08-13,Stolen,2B,2022
1358,1B,2B,Stolen Base 2B,663757,Trent Grisham,Brian Serven,3,1,3,True,2022-07-14,Stolen,2B,2022
1489,1B,2B,Stolen Base 2B,663757,Trent Grisham,Austin Wynns,0,0,3,False,2022-07-07,Stolen,2B,2022
1886,1B,2B,Stolen Base 2B,663757,Trent Grisham,Willson Contreras,1,2,2,True,2022-06-16,Stolen,2B,2022
2142,2B,3B,Stolen Base 3B,663757,Trent Grisham,Victor Caratini,0,5,5,True,2022-06-03,Stolen,3B,2022
566,1B,2B,Stolen Base 2B,663757,Trent Grisham,Martín Maldonado,1,4,2,True,2023-09-08,Stolen,2B,2023
665,1B,2B,Stolen Base 2B,663757,Trent Grisham,J.T. Realmuto,4,8,4,False,2023-09-04,Stolen,2B,2023
1212,1B,2B,Stolen Base 2B,663757,Trent Grisham,Carson Kelly,1,7,6,True,2023-08-11,Stolen,2B,2023
1490,1B,2B,Stolen Base 2B,663757,Trent Grisham,Sam Huff,4,3,8,False,2023-07-30,Stolen,2B,2023
1718,2B,3B,Stolen Base 3B,663757,Trent Grisham,Danny Jansen,0,0,5,True,2023-07-19,Stolen,3B,2023
1860,1B,2B,Stolen Base 2B,663757,Trent Grisham,J.T. Realmuto,0,1,3,True,2023-07-14,Stolen,2B,2023
2093,1B,2B,Stolen Base 2B,663757,Trent Grisham,Tyler Stephenson,0,0,3,True,2023-07-01,Stolen,2B,2023
2200,1B,2B,Stolen Base 2B,663757,Trent Grisham,Keibert Ruiz,0,1,5,False,2023-06-25,Stolen,2B,2023
2256,1B,2B,Stolen Base 2B,663757,Trent Grisham,Keibert Ruiz,7,1,6,False,2023-06-23,Stolen,2B,2023
2352,1B,2B,Stolen Base 2B,663757,Trent Grisham,Christian Bethancourt,4,2,5,False,2023-06-18,Stolen,2B,2023
2507,1B,2B,Stolen Base 2B,663757,Trent Grisham,David Fry,5,1,4,False,2023-06-13,Stolen,2B,2023
2850,1B,2B,Stolen Base 2B,663757,Trent Grisham,Nick Fortes,4,2,7,True,2023-05-30,Stolen,2B,2023
2855,1B,2B,Stolen Base 2B,663757,Trent Grisham,Nick Fortes,4,9,9,True,2023-05-30,Stolen,2B,2023
2969,1B,2B,Stolen Base 2B,663757,Trent Grisham,Keibert Ruiz,1,5,6,True,2023-05-25,Stolen,2B,2023
3792,1B,,Caught Stealing 2B,663757,Trent Grisham,Gabriel Moreno,5,7,9,True,2023-04-20,Caught,2B,2023
