,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
908,1B,,Caught Stealing 2B,421064,Ty Wigginton,Paul Lo Duca,2,3,8,False,2002-08-16,Caught,2B,2002
1031,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Mike Matheny,1,1,4,True,2002-08-09,Stolen,2B,2002
1094,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Paul Bako,1,5,3,True,2002-08-06,Stolen,2B,2002
72,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Ivan Rodriguez,4,3,9,True,2003-09-26,Stolen,2B,2003
520,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Javy Lopez,6,1,5,False,2003-09-03,Stolen,2B,2003
909,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Benito Santiago,5,1,5,False,2003-08-13,Stolen,2B,2003
1086,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Brad Ausmus,1,6,5,True,2003-08-05,Stolen,2B,2003
1167,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Mike Matheny,2,1,6,False,2003-08-01,Stolen,2B,2003
1464,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Javy Lopez,0,1,2,True,2003-07-19,Stolen,2B,2003
1653,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Kelly Stinnett,0,4,7,True,2003-07-05,Stolen,2B,2003
1840,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Jorge Posada,0,1,1,True,2003-06-27,Stolen,2B,2003
1912,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Jorge Posada,1,0,4,False,2003-06-22,Stolen,2B,2003
2030,1B,,Caught Stealing 2B,421064,Ty Wigginton,Ivan Rodriguez,0,0,1,True,2003-06-17,Caught,2B,2003
2256,1B,,Caught Stealing 2B,421064,Ty Wigginton,Ben Davis,0,0,1,False,2003-06-06,Caught,2B,2003
2416,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Mike Lieberthal,0,2,1,True,2003-05-29,Stolen,2B,2003
2898,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Paul Lo Duca,3,2,5,False,2003-05-06,Stolen,2B,2003
3080,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Chad Moeller,2,3,5,False,2003-04-27,Stolen,2B,2003
3085,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Chad Moeller,2,3,5,False,2003-04-26,Stolen,2B,2003
190,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Michael Barrett,0,1,7,False,2004-09-22,Stolen,2B,2004
1453,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Matt Treanor,7,6,3,False,2004-07-20,Stolen,2B,2004
1454,1B,2B,Stolen Base 2B,421064,Ty Wigginton,Matt Treanor,7,7,5,False,2004-07-20,Stolen,2B,2004
