,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
400,1B,2B,Stolen Base 2B,150484,Vernon Wells,Ivan Rodriguez,4,5,6,True,2001-05-19,Stolen,2B,2001
480,1B,2B,Stolen Base 2B,150484,Vernon Wells,José Molina,3,1,4,True,2001-05-16,Stolen,2B,2001
447,1B,2B,Stolen Base 2B,150484,Vernon Wells,Josh Bard,0,2,1,True,2002-09-09,Stolen,2B,2002
634,1B,,Caught Stealing 2B,150484,Vernon Wells,Jorge Posada,7,2,5,False,2002-08-29,Caught,2B,2002
696,2B,3B,Stolen Base 3B,150484,Vernon Wells,Josh Paul,2,3,3,True,2002-08-26,Stolen,3B,2002
742,1B,2B,Stolen Base 2B,150484,Vernon Wells,Brook Fordyce,1,0,4,True,2002-08-24,Stolen,2B,2002
1176,1B,2B,Stolen Base 2B,150484,Vernon Wells,Brook Fordyce,3,0,1,False,2002-08-02,Stolen,2B,2002
1352,1B,2B,Stolen Base 2B,150484,Vernon Wells,Brook Fordyce,1,0,4,True,2002-07-23,Stolen,2B,2002
1881,1B,2B,Stolen Base 2B,150484,Vernon Wells,Brian Schneider,4,4,9,False,2002-06-29,Stolen,2B,2002
2206,1B,2B,Stolen Base 2B,150484,Vernon Wells,Benito Santiago,0,2,5,False,2002-06-12,Stolen,2B,2002
2557,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jason Varitek,3,0,2,False,2002-05-28,Stolen,2B,2002
2912,1B,,Caught Stealing 2B,150484,Vernon Wells,Ben Davis,1,0,3,False,2002-05-15,Caught,2B,2002
3016,1B,2B,Stolen Base 2B,150484,Vernon Wells,Ramon Hernandez,0,4,2,True,2002-05-10,Stolen,2B,2002
3099,2B,,Caught Stealing 3B,150484,Vernon Wells,Dan Wilson,0,4,4,True,2002-05-07,Caught,3B,2002
3320,1B,,Caught Stealing 2B,150484,Vernon Wells,Bengie Molina,2,3,4,True,2002-04-27,Caught,2B,2002
3389,1B,2B,Stolen Base 2B,150484,Vernon Wells,Bill Haselman,1,6,5,True,2002-04-25,Stolen,2B,2002
167,2B,3B,Stolen Base 3B,150484,Vernon Wells,Geronimo Gil,4,7,8,True,2003-09-21,Stolen,3B,2003
486,2B,3B,Stolen Base 3B,150484,Vernon Wells,Brandon Inge,8,5,4,False,2003-09-05,Stolen,3B,2003
665,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jason Varitek,1,3,3,True,2003-08-26,Stolen,2B,2003
3128,1B,2B,Stolen Base 2B,150484,Vernon Wells,Javier Valentin,2,3,6,True,2003-04-24,Stolen,2B,2003
9,2B,3B,Stolen Base 3B,150484,Vernon Wells,Geronimo Gil,0,3,3,True,2004-09-30,Stolen,3B,2004
271,2B,3B,Stolen Base 3B,150484,Vernon Wells,Brook Fordyce,4,2,7,False,2004-09-18,Stolen,3B,2004
1051,1B,,Caught Stealing 2B,150484,Vernon Wells,Jorge Posada,0,3,5,True,2004-08-09,Caught,2B,2004
1509,1B,2B,Stolen Base 2B,150484,Vernon Wells,Rod Barajas,0,5,7,True,2004-07-18,Stolen,2B,2004
2074,1B,2B,Stolen Base 2B,150484,Vernon Wells,A.J. Pierzynski,0,1,3,True,2004-06-15,Stolen,2B,2004
2354,1B,2B,Stolen Base 2B,150484,Vernon Wells,Dan Wilson,1,5,6,True,2004-06-02,Stolen,2B,2004
2355,2B,3B,Stolen Base 3B,150484,Vernon Wells,Dan Wilson,1,5,6,True,2004-06-02,Stolen,3B,2004
2395,2B,3B,Stolen Base 3B,150484,Vernon Wells,Dan Wilson,4,2,6,True,2004-05-31,Stolen,3B,2004
2555,1B,,Caught Stealing 2B,150484,Vernon Wells,Bengie Molina,4,5,7,False,2004-05-24,Caught,2B,2004
2869,1B,2B,Stolen Base 2B,150484,Vernon Wells,Sandy Alomar Jr.,4,2,8,False,2004-05-08,Stolen,2B,2004
3270,2B,3B,Stolen Base 3B,150484,Vernon Wells,Javy Lopez,0,0,1,False,2004-04-18,Stolen,3B,2004
96,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jason Varitek,5,5,7,True,2005-09-27,Stolen,2B,2005
205,1B,2B,Stolen Base 2B,150484,Vernon Wells,Yorvit Torrealba,0,0,1,False,2005-09-21,Stolen,2B,2005
231,1B,2B,Stolen Base 2B,150484,Vernon Wells,Yorvit Torrealba,4,3,6,False,2005-09-20,Stolen,2B,2005
314,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jorge Posada,10,11,8,False,2005-09-16,Stolen,2B,2005
1072,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jorge Posada,8,4,6,False,2005-08-06,Stolen,2B,2005
1914,2B,,Caught Stealing 3B,150484,Vernon Wells,Geronimo Gil,3,2,7,False,2005-06-22,Caught,3B,2005
2632,1B,,Caught Stealing 2B,150484,Vernon Wells,Josh Bard,0,2,6,True,2005-05-15,Caught,2B,2005
2757,1B,2B,Stolen Base 2B,150484,Vernon Wells,John Buck,2,1,6,False,2005-05-09,Stolen,2B,2005
2831,1B,2B,Stolen Base 2B,150484,Vernon Wells,A.J. Pierzynski,3,2,3,False,2005-05-06,Stolen,2B,2005
2950,1B,2B,Caught Stealing Home,150484,Vernon Wells,Jorge Posada,2,3,5,True,2005-05-01,Caught,Home,2005
3464,1B,,Caught Stealing 2B,150484,Vernon Wells,Toby Hall,0,1,1,True,2005-04-05,Caught,2B,2005
295,1B,2B,Stolen Base 2B,150484,Vernon Wells,Kevin Cash,0,0,1,False,2007-09-17,Stolen,2B,2007
685,1B,,Caught Stealing 2B,150484,Vernon Wells,Kenji Johjima,0,0,5,False,2007-09-01,Caught,2B,2007
804,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jeff Mathis,2,0,5,True,2007-08-26,Stolen,2B,2007
1071,1B,2B,Caught Stealing 3B,150484,Vernon Wells,Jeff Mathis,4,1,5,False,2007-08-14,Caught,3B,2007
1150,2B,3B,Stolen Base 3B,150484,Vernon Wells,Jason LaRue,0,2,6,True,2007-08-10,Stolen,3B,2007
1311,1B,2B,Stolen Base 2B,150484,Vernon Wells,Gerald Laird,6,4,8,False,2007-08-03,Stolen,2B,2007
1363,1B,2B,Stolen Base 2B,150484,Vernon Wells,Dioner Navarro,0,2,2,True,2007-08-01,Stolen,2B,2007
2884,2B,,Caught Stealing 3B,150484,Vernon Wells,Rod Barajas,3,0,4,True,2007-05-20,Caught,3B,2007
3084,1B,,Caught Stealing 2B,150484,Vernon Wells,Josh Paul,0,1,1,False,2007-05-11,Caught,2B,2007
3392,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jorge Posada,0,4,5,True,2007-04-26,Stolen,2B,2007
3438,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jason Varitek,3,10,6,True,2007-04-24,Stolen,2B,2007
3456,2B,3B,Stolen Base 3B,150484,Vernon Wells,Doug Mirabelli,0,1,1,True,2007-04-23,Stolen,3B,2007
3839,2B,3B,Stolen Base 3B,150484,Vernon Wells,Ivan Rodriguez,10,9,8,True,2007-04-04,Stolen,3B,2007
3875,1B,2B,Stolen Base 2B,150484,Vernon Wells,Ivan Rodriguez,0,2,1,True,2007-04-02,Stolen,2B,2007
1562,2B,3B,Stolen Base 3B,150484,Vernon Wells,Ramon Hernandez,9,7,6,False,2008-07-09,Stolen,3B,2008
1633,1B,2B,Stolen Base 2B,150484,Vernon Wells,Mike Napoli,0,3,3,True,2008-07-05,Stolen,2B,2008
2108,1B,2B,Stolen Base 2B,150484,Vernon Wells,Geovany Soto,3,2,8,False,2008-06-13,Stolen,2B,2008
3129,1B,,Caught Stealing 2B,150484,Vernon Wells,Miguel Olivo,2,3,8,True,2008-04-27,Caught,2B,2008
3518,1B,2B,Stolen Base 2B,150484,Vernon Wells,Gerald Laird,4,8,8,True,2008-04-11,Stolen,2B,2008
9,1B,2B,Stolen Base 2B,150484,Vernon Wells,Kurt Suzuki,2,7,7,True,2009-08-02,Stolen,2B,2009
605,1B,,Caught Stealing 2B,150484,Vernon Wells,Jorge Posada,2,0,2,True,2009-07-05,Caught,2B,2009
625,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jorge Posada,5,5,11,True,2009-07-04,Stolen,2B,2009
868,2B,3B,Stolen Base 3B,150484,Vernon Wells,Ramon Hernandez,6,4,7,False,2009-06-23,Stolen,3B,2009
1013,2B,3B,Stolen Base 3B,150484,Vernon Wells,Chris Coste,0,3,1,True,2009-06-17,Stolen,3B,2009
1187,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jarrod Saltalamacchia,0,4,4,True,2009-06-08,Stolen,2B,2009
1416,1B,2B,Stolen Base 2B,150484,Vernon Wells,George Kottaras,1,2,5,False,2009-05-29,Stolen,2B,2009
1518,1B,2B,Stolen Base 2B,150484,Vernon Wells,Brian McCann,2,0,4,True,2009-05-24,Stolen,2B,2009
1519,2B,3B,Stolen Base 3B,150484,Vernon Wells,Brian McCann,2,1,4,True,2009-05-24,Stolen,3B,2009
1731,1B,2B,Stolen Base 2B,150484,Vernon Wells,A.J. Pierzynski,0,1,6,False,2009-05-16,Stolen,2B,2009
1732,1B,2B,Stolen Base 2B,150484,Vernon Wells,A.J. Pierzynski,1,1,8,False,2009-05-16,Stolen,2B,2009
1911,1B,2B,Stolen Base 2B,150484,Vernon Wells,Landon Powell,0,3,3,True,2009-05-09,Stolen,2B,2009
2296,2B,3B,Stolen Base 3B,150484,Vernon Wells,A.J. Pierzynski,0,3,1,True,2009-04-24,Stolen,3B,2009
2506,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jose Morales,2,2,8,True,2009-04-14,Stolen,2B,2009
2522,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jose Morales,6,5,7,True,2009-04-13,Stolen,2B,2009
34,2B,3B,Stolen Base 3B,150484,Vernon Wells,Francisco Cervelli,7,3,7,False,2010-09-29,Stolen,3B,2010
405,1B,,Caught Stealing 2B,150484,Vernon Wells,Kelly Shoppach,3,3,8,False,2010-09-12,Caught,2B,2010
1519,1B,2B,Stolen Base 2B,150484,Vernon Wells,Gerald Laird,2,2,8,True,2010-07-22,Stolen,2B,2010
1763,1B,,Caught Stealing 2B,150484,Vernon Wells,Drew Butera,5,1,6,False,2010-07-08,Caught,2B,2010
2026,1B,2B,Stolen Base 2B,150484,Vernon Wells,Brian Schneider,5,1,7,False,2010-06-26,Stolen,2B,2010
2336,1B,2B,Stolen Base 2B,150484,Vernon Wells,Miguel Olivo,0,0,2,True,2010-06-11,Stolen,2B,2010
3203,1B,2B,Stolen Base 2B,150484,Vernon Wells,Lou Marson,4,5,9,True,2010-05-05,Stolen,2B,2010
3678,1B,2B,Stolen Base 2B,150484,Vernon Wells,Donny Lucy,3,0,3,False,2010-04-15,Stolen,2B,2010
3977,1B,2B,Stolen Base 2B,150484,Vernon Wells,P.J. Pilittere,2,3,3,False,2010-04-01,Stolen,2B,2010
101,1B,2B,Stolen Base 2B,150484,Vernon Wells,Landon Powell,1,0,2,False,2011-09-25,Stolen,2B,2011
309,2B,,Caught Stealing 3B,150484,Vernon Wells,Craig Tatum,1,6,6,True,2011-09-18,Caught,3B,2011
884,2B,,Caught Stealing 3B,150484,Vernon Wells,Tyler Flowers,4,0,4,False,2011-08-24,Caught,3B,2011
947,2B,3B,Stolen Base 3B,150484,Vernon Wells,Craig Tatum,3,0,3,False,2011-08-21,Stolen,3B,2011
1460,1B,2B,Stolen Base 2B,150484,Vernon Wells,Alex Avila,3,2,9,True,2011-07-31,Stolen,2B,2011
1492,1B,2B,Stolen Base 2B,150484,Vernon Wells,Alex Avila,1,5,9,True,2011-07-30,Stolen,2B,2011
1618,1B,2B,Stolen Base 2B,150484,Vernon Wells,Carlos Santana,1,0,4,True,2011-07-25,Stolen,2B,2011
1713,2B,3B,Stolen Base 3B,150484,Vernon Wells,Matt Wieters,0,2,8,True,2011-07-22,Stolen,3B,2011
1875,2B,3B,Stolen Base 3B,150484,Vernon Wells,Kurt Suzuki,0,1,1,True,2011-07-16,Stolen,3B,2011
2328,1B,,Caught Stealing 2B,150484,Vernon Wells,Dioner Navarro,3,5,6,True,2011-06-24,Caught,2B,2011
2629,2B,3B,Stolen Base 3B,150484,Vernon Wells,Matt Treanor,7,5,7,False,2011-06-11,Stolen,3B,2011
3539,1B,2B,Stolen Base 2B,150484,Vernon Wells,Jarrod Saltalamacchia,0,8,5,True,2011-05-05,Stolen,2B,2011
3753,1B,,Caught Stealing 2B,150484,Vernon Wells,Kurt Suzuki,4,3,3,False,2011-04-26,Caught,2B,2011
640,1B,2B,Stolen Base 2B,150484,Vernon Wells,Derek Norris,2,8,8,True,2012-09-03,Stolen,2B,2012
1067,1B,,Caught Stealing 2B,150484,Vernon Wells,Carlos Santana,6,0,3,False,2012-08-15,Caught,2B,2012
3046,1B,2B,Stolen Base 2B,150484,Vernon Wells,Nick Hundley,0,1,2,True,2012-05-20,Stolen,2B,2012
3472,1B,2B,Stolen Base 2B,150484,Vernon Wells,Ryan Doumit,0,0,1,False,2012-05-02,Stolen,2B,2012
238,2B,3B,Caught Stealing 2B,150484,Vernon Wells,J.P. Arencibia,3,4,8,True,2013-09-18,Caught,2B,2013
507,2B,3B,Stolen Base 3B,150484,Vernon Wells,Ryan Lavarnway,3,7,7,False,2013-09-05,Stolen,3B,2013
559,3B,score,Stolen Base Home,150484,Vernon Wells,Josh Phegley,1,1,2,False,2013-09-03,Stolen,Home,2013
1100,1B,2B,Stolen Base 2B,150484,Vernon Wells,Tyler Flowers,0,3,3,True,2013-08-07,Stolen,2B,2013
2581,2B,,Caught Stealing 3B,150484,Vernon Wells,Jose Lobaton,4,9,8,True,2013-05-24,Caught,3B,2013
2806,1B,2B,Stolen Base 2B,150484,Vernon Wells,Salvador Perez,1,4,5,True,2013-05-12,Stolen,2B,2013
2873,1B,2B,Caught Stealing 2B,150484,Vernon Wells,Wilin Rosario,2,2,9,True,2013-05-08,Caught,2B,2013
2955,1B,2B,Stolen Base 2B,150484,Vernon Wells,Derek Norris,1,2,4,False,2013-05-05,Stolen,2B,2013
3107,2B,3B,Stolen Base 3B,150484,Vernon Wells,J.P. Arencibia,5,4,7,False,2013-04-27,Stolen,3B,2013
3487,1B,2B,Stolen Base 2B,150484,Vernon Wells,Carlos Santana,0,3,1,True,2013-04-08,Stolen,2B,2013
