,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
133,1B,,Caught Stealing 2B,150255,Warren Morris,Henry Blanco,0,0,2,True,2000-09-24,Caught,2B,2000
294,1B,,Caught Stealing 2B,150255,Warren Morris,Tom Prince,3,2,6,True,2000-09-18,Caught,2B,2000
368,1B,,Caught Stealing 2B,150255,Warren Morris,Mitch Meluskey,3,6,5,True,2000-09-14,Caught,2B,2000
677,1B,2B,Stolen Base 2B,150255,Warren Morris,George Williams,0,2,3,True,2000-09-02,Stolen,2B,2000
783,1B,,Caught Stealing 2B,150255,Warren Morris,Bobby Estalella,3,0,1,False,2000-08-29,Caught,2B,2000
802,2B,3B,Stolen Base 3B,150255,Warren Morris,Bobby Estalella,3,4,3,False,2000-08-28,Stolen,3B,2000
1069,1B,,Caught Stealing 2B,150255,Warren Morris,Tony Eusebio,2,2,2,True,2000-08-15,Caught,2B,2000
1228,1B,,Caught Stealing 2B,150255,Warren Morris,Ben Petrick,0,0,2,True,2000-08-09,Caught,2B,2000
1389,1B,,Caught Stealing 2B,150255,Warren Morris,Chad Kreuter,3,5,2,False,2000-08-02,Caught,2B,2000
1477,1B,2B,Stolen Base 2B,150255,Warren Morris,Wiki Gonzalez,0,0,1,False,2000-07-29,Stolen,2B,2000
1534,1B,,Caught Stealing 2B,150255,Warren Morris,Henry Blanco,3,3,5,False,2000-07-27,Caught,2B,2000
2280,1B,,Caught Stealing 2B,150255,Warren Morris,Brian Schneider,0,0,6,True,2000-06-19,Caught,2B,2000
2456,1B,,Caught Stealing 2B,150255,Warren Morris,Gregg Zaun,0,0,3,True,2000-06-10,Caught,2B,2000
2623,1B,2B,Stolen Base 2B,150255,Warren Morris,Gregg Zaun,0,1,3,False,2000-06-04,Stolen,2B,2000
3252,1B,2B,Stolen Base 2B,150255,Warren Morris,Joe Girardi,3,7,8,True,2000-05-07,Stolen,2B,2000
3322,1B,2B,Stolen Base 2B,150255,Warren Morris,Jeff Reed,1,4,5,True,2000-05-05,Stolen,2B,2000
3928,1B,2B,Stolen Base 2B,150255,Warren Morris,Damian Miller,1,1,2,True,2000-04-08,Stolen,2B,2000
309,1B,2B,Stolen Base 2B,150255,Warren Morris,Mike DiFelice,0,2,1,False,2003-09-13,Stolen,2B,2003
487,1B,2B,Stolen Base 2B,150255,Warren Morris,Kevin Cash,8,6,6,True,2003-09-05,Stolen,2B,2003
1531,1B,2B,Stolen Base 2B,150255,Warren Morris,Doug Mirabelli,3,0,8,False,2003-07-13,Stolen,2B,2003
1545,1B,2B,Stolen Base 2B,150255,Warren Morris,Jason Varitek,2,2,8,False,2003-07-12,Stolen,2B,2003
1904,1B,,Caught Stealing 2B,150255,Warren Morris,Jason Varitek,0,0,1,True,2003-06-24,Caught,2B,2003
2096,1B,,Caught Stealing 2B,150255,Warren Morris,Charles Johnson,9,5,8,False,2003-06-14,Caught,2B,2003
