,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
797,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Brayan Peña,0,1,1,True,2016-06-30,Stolen,3B,2016
1019,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jarrod Saltalamacchia,7,2,4,False,2016-06-18,Stolen,2B,2016
1137,1B,2B,Caught Stealing 3B,593160,Whit Merrifield,Alex Avila,0,2,2,True,2016-06-12,Caught,3B,2016
1239,1B,,Caught Stealing 2B,593160,Whit Merrifield,Francisco Peña,5,0,3,True,2016-06-07,Caught,2B,2016
1278,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Chris Gimenez,0,0,1,True,2016-06-04,Stolen,2B,2016
1347,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Curt Casali,2,0,1,False,2016-05-31,Stolen,2B,2016
1424,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Alex Avila,1,4,3,False,2016-05-28,Stolen,3B,2016
1443,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Omar Narváez,3,2,5,False,2016-05-26,Stolen,2B,2016
8,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jeff Mathis,1,2,6,False,2017-09-30,Stolen,2B,2017
9,2B,,Caught Stealing 3B,593160,Whit Merrifield,Jeff Mathis,1,2,6,False,2017-09-30,Caught,3B,2017
32,1B,,Caught Stealing 2B,593160,Whit Merrifield,John Ryan Murphy,0,0,1,False,2017-09-29,Caught,2B,2017
89,1B,,Caught Stealing 2B,593160,Whit Merrifield,James McCann,2,1,7,False,2017-09-26,Caught,2B,2017
162,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Omar Narváez,7,6,9,True,2017-09-22,Stolen,2B,2017
202,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Raffy Lopez,0,1,1,True,2017-09-20,Stolen,3B,2017
205,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Raffy Lopez,0,5,2,True,2017-09-20,Stolen,2B,2017
289,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Yan Gomes,1,1,3,True,2017-09-16,Stolen,2B,2017
343,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Kevan Smith,0,0,1,False,2017-09-13,Stolen,2B,2017
344,3B,,Caught Stealing Home,593160,Whit Merrifield,Kevan Smith,0,0,1,False,2017-09-13,Caught,Home,2017
392,1B,,Caught Stealing 2B,593160,Whit Merrifield,Jason Castro,2,2,7,False,2017-09-09,Caught,2B,2017
413,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jason Castro,0,1,1,False,2017-09-08,Stolen,2B,2017
491,2B,3B,Stolen Base 3B,593160,Whit Merrifield,James McCann,0,1,1,True,2017-09-04,Stolen,3B,2017
503,1B,,Caught Stealing 2B,593160,Whit Merrifield,Chris Gimenez,0,1,5,True,2017-09-03,Caught,2B,2017
580,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Wilson Ramos,0,0,1,False,2017-08-30,Stolen,2B,2017
688,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Yan Gomes,0,0,1,True,2017-08-25,Stolen,2B,2017
726,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jonathan Lucroy,2,4,7,False,2017-08-23,Stolen,2B,2017
743,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jonathan Lucroy,0,0,1,False,2017-08-22,Stolen,2B,2017
867,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Dustin Garneau,4,5,8,True,2017-08-16,Stolen,2B,2017
878,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Dustin Garneau,0,0,1,True,2017-08-15,Stolen,2B,2017
895,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Bruce Maxwell,0,0,1,True,2017-08-14,Stolen,2B,2017
981,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Yadier Molina,4,5,6,True,2017-08-09,Stolen,2B,2017
1046,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Carlos Ruiz,8,1,7,False,2017-08-06,Stolen,3B,2017
1059,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Carlos Ruiz,8,1,7,False,2017-08-05,Stolen,3B,2017
1205,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Christian Vázquez,2,4,4,True,2017-07-29,Stolen,2B,2017
1337,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Omar Narváez,4,5,4,False,2017-07-21,Stolen,3B,2017
1430,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Jonathan Lucroy,3,2,7,False,2017-07-16,Stolen,3B,2017
1523,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Yasmani Grandal,0,0,3,True,2017-07-07,Stolen,2B,2017
1557,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Mike Zunino,6,6,7,True,2017-07-05,Stolen,2B,2017
1596,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Mike Zunino,1,3,8,True,2017-07-03,Stolen,2B,2017
1613,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Jason Castro,1,0,3,False,2017-07-02,Stolen,3B,2017
1614,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jason Castro,6,2,8,False,2017-07-02,Stolen,2B,2017
1615,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Jason Castro,6,2,8,False,2017-07-02,Stolen,3B,2017
1704,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Alex Avila,0,5,4,True,2017-06-28,Stolen,2B,2017
1977,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Buster Posey,1,6,8,True,2017-06-14,Stolen,3B,2017
2262,1B,2B,Stolen Base 2B,593160,Whit Merrifield,John Hicks,0,0,5,False,2017-05-30,Stolen,2B,2017
2318,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Roberto Pérez,3,1,5,True,2017-05-28,Stolen,2B,2017
2351,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Yan Gomes,1,0,3,True,2017-05-26,Stolen,2B,2017
2474,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jason Castro,0,3,4,True,2017-05-19,Stolen,2B,2017
2624,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Caleb Joseph,2,2,7,False,2017-05-12,Stolen,2B,2017
3060,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Jonathan Lucroy,0,0,12,True,2017-04-20,Stolen,2B,2017
5,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Eric Haase,1,2,8,False,2018-09-30,Stolen,2B,2018
34,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Roberto Pérez,0,1,1,False,2018-09-29,Stolen,2B,2018
35,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Roberto Pérez,0,1,1,False,2018-09-29,Stolen,3B,2018
86,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Yan Gomes,0,1,1,False,2018-09-27,Stolen,2B,2018
110,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Curt Casali,1,1,3,True,2018-09-26,Stolen,2B,2018
111,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Curt Casali,1,2,3,True,2018-09-26,Stolen,3B,2018
133,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Tucker Barnhart,0,3,5,True,2018-09-25,Stolen,2B,2018
189,1B,2B,Stolen Base 2B,593160,Whit Merrifield,James McCann,0,1,3,True,2018-09-21,Stolen,2B,2018
205,2B,3B,Stolen Base 3B,593160,Whit Merrifield,James McCann,0,3,1,True,2018-09-20,Stolen,3B,2018
222,2B,,Caught Stealing 3B,593160,Whit Merrifield,Francisco Cervelli,1,1,5,True,2018-09-19,Caught,3B,2018
343,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Chris Gimenez,6,4,8,False,2018-09-13,Stolen,2B,2018
359,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Omar Narváez,1,0,3,False,2018-09-12,Stolen,2B,2018
362,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Omar Narváez,2,2,5,False,2018-09-12,Stolen,3B,2018
392,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Welington Castillo,4,1,5,False,2018-09-11,Stolen,2B,2018
393,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Welington Castillo,6,1,5,False,2018-09-11,Stolen,3B,2018
470,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Mitch Garver,0,4,9,True,2018-09-08,Stolen,2B,2018
575,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Caleb Joseph,1,1,3,False,2018-09-02,Stolen,2B,2018
606,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Caleb Joseph,7,2,8,False,2018-08-31,Stolen,3B,2018
756,1B,2B,Stolen Base 2B,593160,Whit Merrifield,Michael Pérez,0,1,3,True,2018-08-23,Stolen,2B,2018
797,1B,,Caught Stealing 2B,593160,Whit Merrifield,Michael Pérez,1,0,3,True,2018-08-21,Caught,2B,2018
832,2B,3B,Stolen Base 3B,593160,Whit Merrifield,Omar Narváez,0,6,4,True,2018-08-19,Stolen,3B,2018
