,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
218,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Brian McCann,0,1,3,True,2017-09-19,Stolen,2B,2017
323,1B,2B,Stolen Base 2B,660162,Yoán Moncada,James McCann,0,2,3,True,2017-09-14,Stolen,2B,2017
706,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Chris Gimenez,2,0,4,False,2017-08-24,Stolen,2B,2017
938,1B,,Caught Stealing 2B,660162,Yoán Moncada,Drew Butera,0,1,1,False,2017-08-12,Caught,2B,2017
1226,1B,,Caught Stealing 2B,660162,Yoán Moncada,Yan Gomes,0,1,2,False,2017-07-28,Caught,2B,2017
163,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Willson Contreras,3,5,6,False,2018-09-22,Stolen,2B,2018
792,1B,,Caught Stealing 2B,660162,Yoán Moncada,Bobby Wilson,1,0,2,False,2018-08-21,Caught,2B,2018
959,1B,,Caught Stealing 2B,660162,Yoán Moncada,James McCann,1,3,4,True,2018-08-13,Caught,2B,2018
1053,1B,,Caught Stealing 2B,660162,Yoán Moncada,Austin Romine,3,7,5,False,2018-08-08,Caught,2B,2018
1201,1B,,Caught Stealing 2B,660162,Yoán Moncada,Salvador Perez,1,2,3,False,2018-08-01,Caught,2B,2018
1277,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Russell Martin,1,5,6,False,2018-07-28,Stolen,2B,2018
1349,1B,2B,Stolen Base 2B,660162,Yoán Moncada,José Briceño,3,5,7,True,2018-07-23,Stolen,2B,2018
1680,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Curt Casali,8,8,11,True,2018-07-03,Stolen,2B,2018
1848,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Jonathan Lucroy,5,2,2,False,2018-06-23,Stolen,2B,2018
1923,1B,,Caught Stealing 2B,660162,Yoán Moncada,Roberto Pérez,0,0,1,True,2018-06-18,Caught,2B,2018
2161,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Bobby Wilson,0,1,5,True,2018-06-05,Stolen,2B,2018
2220,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Erik Kratz,0,1,6,False,2018-06-02,Stolen,2B,2018
2257,1B,,Caught Stealing 2B,660162,Yoán Moncada,Yan Gomes,0,0,1,True,2018-05-30,Caught,2B,2018
2286,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Yan Gomes,0,0,1,True,2018-05-28,Stolen,2B,2018
2972,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Brian McCann,0,5,4,False,2018-04-20,Stolen,2B,2018
3007,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Bruce Maxwell,0,0,1,True,2018-04-18,Stolen,2B,2018
3017,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Jonathan Lucroy,0,0,1,True,2018-04-17,Stolen,2B,2018
3038,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Jonathan Lucroy,0,0,1,True,2018-04-16,Stolen,2B,2018
238,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Tom Murphy,5,8,7,True,2019-09-15,Stolen,2B,2019
388,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Kevan Smith,2,2,1,False,2019-09-07,Stolen,2B,2019
460,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Roberto Pérez,1,1,4,True,2019-09-03,Stolen,2B,2019
1122,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Travis d'Arnaud,0,0,1,True,2019-07-21,Stolen,2B,2019
1382,1B,2B,Stolen Base 2B,660162,Yoán Moncada,John Hicks,6,3,7,False,2019-07-03,Stolen,2B,2019
2080,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Robinson Chirinos,3,8,7,True,2019-05-22,Stolen,2B,2019
2282,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Danny Jansen,4,2,6,True,2019-05-10,Stolen,2B,2019
2283,2B,3B,Stolen Base 3B,660162,Yoán Moncada,Danny Jansen,4,2,6,True,2019-05-10,Stolen,3B,2019
2392,1B,,Caught Stealing 2B,660162,Yoán Moncada,Sandy León,0,3,4,False,2019-05-03,Caught,2B,2019
2468,1B,2B,Stolen Base 2B,660162,Yoán Moncada,John Hicks,6,3,7,False,2019-04-27,Stolen,2B,2019
2573,1B,,Caught Stealing 2B,660162,Yoán Moncada,John Hicks,0,0,2,True,2019-04-21,Caught,2B,2019
2653,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Martín Maldonado,2,2,5,False,2019-04-17,Stolen,2B,2019
2714,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Kyle Higashioka,2,5,5,True,2019-04-14,Stolen,2B,2019
2718,1B,,Caught Stealing 2B,660162,Yoán Moncada,Kyle Higashioka,2,5,9,True,2019-04-14,Caught,2B,2019
878,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Willson Contreras,0,2,6,True,2021-08-06,Stolen,2B,2021
994,1B,,Caught Stealing 2B,660162,Yoán Moncada,Salvador Perez,0,2,7,True,2021-07-28,Caught,2B,2021
1558,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Jacob Stallings,6,3,8,True,2021-06-22,Stolen,2B,2021
1758,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Riley Adams,0,1,6,False,2021-06-08,Stolen,2B,2021
1804,1B,,Caught Stealing 2B,660162,Yoán Moncada,Jake Rogers,3,4,7,False,2021-06-05,Caught,2B,2021
235,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Eric Haase,2,2,5,True,2022-09-18,Stolen,2B,2022
245,1B,2B,Stolen Base 2B,660162,Yoán Moncada,Tucker Barnhart,2,4,11,True,2022-09-17,Stolen,2B,2022
3134,1B,2B,Stolen Base 2B,660162,Yoán Moncada,David Fry,5,1,5,False,2023-05-17,Stolen,2B,2023
