,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1616,1B,2B,Stolen Base 2B,594807,Adam Duvall,676265,Cory Abbott,500743,Miguel Rojas,R,Jose Lobaton,446653,0,6,5,True,2021-06-19,Stolen,2B,2021,2022,28.0
1,1714,1B,2B,Stolen Base 2B,594807,Adam Duvall,650828,Edgar Santana,656371,Isan Díaz,R,William Contreras,661388,4,2,8,False,2021-06-12,Stolen,2B,2021,2022,28.0
2,1774,2B,3B,Stolen Base 3B,594807,Adam Duvall,601713,Nick Pivetta,656371,Isan Díaz,R,Kevin Plawecki,608700,2,0,4,True,2021-06-07,Stolen,3B,2021,2022,28.0
3,1891,2B,3B,Stolen Base 3B,594807,Adam Duvall,601713,Nick Pivetta,656371,Isan Díaz,R,Kevin Plawecki,608700,2,0,4,True,2021-05-30,Stolen,3B,2021,2022,28.0
4,2201,1B,2B,Stolen Base 2B,594807,Adam Duvall,606965,Chris Devenski,605119,Brian Anderson,R,Carson Kelly,608348,6,3,8,True,2021-05-11,Stolen,2B,2021,2022,28.0
5,2469,1B,2B,Stolen Base 2B,594807,Adam Duvall,657277,Logan Webb,542932,Jon Berti,R,Curt Casali,592200,0,0,2,True,2021-04-25,Stolen,2B,2021,2022,28.0
6,3540,1B,2B,Stolen Base 2B,594807,Adam Duvall,676265,Cory Abbott,500743,Miguel Rojas,R,Jose Lobaton,446653,0,6,5,True,2021-06-19,Stolen,2B,2021,2022,28.0
7,3638,1B,2B,Stolen Base 2B,594807,Adam Duvall,650828,Edgar Santana,656371,Isan Díaz,R,William Contreras,661388,4,2,8,False,2021-06-12,Stolen,2B,2021,2022,28.0
8,3698,2B,3B,Stolen Base 3B,594807,Adam Duvall,601713,Nick Pivetta,656371,Isan Díaz,R,Kevin Plawecki,608700,2,0,4,True,2021-06-07,Stolen,3B,2021,2022,28.0
9,3815,2B,3B,Stolen Base 3B,594807,Adam Duvall,601713,Nick Pivetta,656371,Isan Díaz,R,Kevin Plawecki,608700,2,0,4,True,2021-05-30,Stolen,3B,2021,2022,28.0
10,4125,1B,2B,Stolen Base 2B,594807,Adam Duvall,606965,Chris Devenski,605119,Brian Anderson,R,Carson Kelly,608348,6,3,8,True,2021-05-11,Stolen,2B,2021,2022,28.0
11,4393,1B,2B,Stolen Base 2B,594807,Adam Duvall,657277,Logan Webb,542932,Jon Berti,R,Curt Casali,592200,0,0,2,True,2021-04-25,Stolen,2B,2021,2022,28.0
12,1620,1B,2B,Stolen Base 2B,594807,Adam Duvall,471911,Carlos Carrasco,671213,Triston Casas,R,Omar Narváez,553882,1,0,1,False,2023-07-23,Stolen,2B,2023,2024,28.1
13,1725,1B,2B,Stolen Base 2B,594807,Adam Duvall,686610,Ken Waldichuk,657077,Alex Verdugo,L,Shea Langeliers,669127,0,2,1,True,2023-07-19,Stolen,2B,2023,2024,28.1
14,2237,1B,2B,Stolen Base 2B,594807,Adam Duvall,523260,Joe Kelly,671213,Triston Casas,R,Yasmani Grandal,518735,4,3,8,True,2023-06-24,Stolen,2B,2023,2024,28.1
15,2562,1B,2B,Stolen Base 2B,594807,Adam Duvall,593334,Domingo Germán,624414,Christian Arroyo,R,Kyle Higashioka,543309,1,1,6,True,2023-06-10,Stolen,2B,2023,2024,28.1
16,6034,1B,2B,Stolen Base 2B,594807,Adam Duvall,471911,Carlos Carrasco,671213,Triston Casas,R,Omar Narváez,553882,1,0,1,False,2023-07-23,Stolen,2B,2023,2024,28.1
17,6139,1B,2B,Stolen Base 2B,594807,Adam Duvall,686610,Ken Waldichuk,657077,Alex Verdugo,L,Shea Langeliers,669127,0,2,1,True,2023-07-19,Stolen,2B,2023,2024,28.1
